1364535508114185791;metadata_log_format;3 # nanosecond timing
1364535508115803222;metadata_system_time;1364535508116
1364535508117329102;metadata_surveyName;/sdcard/LocationTracker/1364535508105.txt
1364535508119129639;metadata_notes;
1364535508120869141;metadata_deviceInfo;Board: bryce Brand: Verizon Device: bryce Hardware: qcom Manufacturer: LGE Model: VS910 4G Product: bryce
1364535503361000000;latLngE7LastKnown;378748696 -1222585471 55.0 -1.0 -1.0
1364535508170398813;compass/AK8973 Magnetic Field;14.3125 75.625 25.9375 3
1364535508170367813;orientation/AK8973 Compass;352.65625 0.171875 0.25 1
1364535508170367813;accel/kr3dh;0.040861044 -0.027240695 9.697687 3
1364535508170367813;linaccel/Linear Acceleration Sensor;0.0 0.0 0.0 3
1364535508262134813;orientation/AK8973 Compass;352.57813 0.3125 0.25 1
1364535508262134813;accel/kr3dh;0.040861044 -0.05448139 9.724928 3
1364535508262134813;compass/AK8973 Magnetic Field;11.25 73.5625 25.9375 3
1364535508262134813;linaccel/Linear Acceleration Sensor;0.0 -0.026885504 0.026885986 3
1364535508354968813;orientation/AK8973 Compass;352.5 0.0 0.25 1
1364535508354968813;accel/kr3dh;0.040861044 -0.0 9.724928 3
1364535508354968813;compass/AK8973 Magnetic Field;11.25 72.5625 25.9375 3
1364535508354968813;linaccel/Linear Acceleration Sensor;0.0 0.028929098 0.024814606 3
1364535508449176813;compass/AK8973 Magnetic Field;12.5 74.0625 26.1875 3
1364535508449145813;accel/kr3dh;0.040861044 -0.027240695 9.697687 3
1364535508449145813;linaccel/Linear Acceleration Sensor;0.0 0.0030782 -0.0073480606 3
1364535508449115813;orientation/AK8973 Compass;352.375 0.171875 0.25 1
1364535508543475813;compass/AK8973 Magnetic Field;12.0 73.3125 26.4375 3
1364535508543445813;orientation/AK8973 Compass;352.28125 0.25 0.25 1
1364535508543445813;accel/kr3dh;0.040861044 -0.040861044 9.684067 3
1364535508543445813;linaccel/Linear Acceleration Sensor;-3.7252903E-9 -0.011132043 -0.026384354 3
1364535508641467813;compass/AK8973 Magnetic Field;12.75 72.8125 26.6875 3
1364535508641406813;accel/kr3dh;0.040861044 -0.05448139 9.765789 3
1364535508641406813;linaccel/Linear Acceleration Sensor;-3.7252903E-9 -0.026258774 0.053257942 3
1364535508641376813;orientation/AK8973 Compass;352.15625 0.3125 0.25 1
1364535508739368813;compass/AK8973 Magnetic Field;13.25 73.3125 26.6875 3
1364535508739337813;accel/kr3dh;0.040861044 -0.05448139 9.684067 3
1364535508739337813;linaccel/Linear Acceleration Sensor;0.0 -0.024305522 -0.028083801 3
1364535508739307813;orientation/AK8973 Compass;352.01563 0.34375 0.25 1
1364535508832965813;orientation/AK8973 Compass;351.89063 0.171875 0.171875 1
1364535508832965813;accel/kr3dh;0.027240695 -0.027240695 9.697687 3
1364535508832965813;compass/AK8973 Magnetic Field;13.0 73.0625 26.4375 3
1364535508832965813;linaccel/Linear Acceleration Sensor;-0.013430862 0.009098569 -0.014942169 3
1364535508926318813;orientation/AK8973 Compass;351.76563 0.3125 0.25 1
1364535508926318813;accel/kr3dh;0.040861044 -0.05448139 9.765789 3
1364535508926318813;linaccel/Linear Acceleration Sensor;0.0010644831 -0.011267256 0.052285194 3
