1364534577650704590;metadata_log_format;3 # nanosecond timing
1364534577651833740;metadata_system_time;1364534577651
1364534577652688232;metadata_surveyName;/sdcard/LocationTracker/1364534577640.txt
1364534577653878418;metadata_notes;
1364534577655129638;metadata_deviceInfo;Board: bryce Brand: Verizon Device: bryce Hardware: qcom Manufacturer: LGE Model: VS910 4G Product: bryce
1364534565275000000;latLngE7LastKnown;378748565 -1222584974 55.0 -1.0 -1.0
1364534577702858562;compass/AK8973 Magnetic Field;-24.125 79.625 -6.4375 3
1364534577702828562;orientation/AK8973 Compass;2.109375 9.578125 1.203125 1
1364534577702828562;accel/kr3dh;0.24516626 -1.9477097 11.536434 3
1364534577702828562;linaccel/Linear Acceleration Sensor;0.0 0.0 0.0 3
1364534577797340562;compass/AK8973 Magnetic Field;-23.125 80.625 -5.4375 3
1364534577797310562;orientation/AK8973 Compass;9.0 6.53125 2.734375 1
1364534577797310562;accel/kr3dh;0.47671217 -1.1304889 9.874752 3
1364534577797310562;linaccel/Linear Acceleration Sensor;0.22822905 0.8055141 -1.6378775 3
1364534577891914562;compass/AK8973 Magnetic Field;-23.125 78.625 -3.4375 3
1364534577891884562;accel/kr3dh;0.7082581 -0.81722087 8.036005 3
1364534577891884562;linaccel/Linear Acceleration Sensor;0.4377557 1.0483088 -3.316059 3
1364534577891853562;orientation/AK8973 Compass;9.4375 5.765625 5.015625 1
1364534577989906562;compass/AK8973 Magnetic Field;-23.625 79.875 -5.1875 3
1364534577989876562;accel/kr3dh;0.7218784 -0.9670447 8.771504 3
1364534577989876562;linaccel/Linear Acceleration Sensor;0.38229024 0.7017797 -2.0827513 3
1364534577989845562;orientation/AK8973 Compass;9.859375 6.28125 4.671875 1
1364534578088356562;compass/AK8973 Magnetic Field;-23.125 80.125 -5.1875 3
1364534578088326562;accel/kr3dh;0.7491191 -1.1577295 9.80665 3
1364534578088326562;linaccel/Linear Acceleration Sensor;0.28791004 0.21324885 -0.23179054 3
1364534578088295562;orientation/AK8973 Compass;10.234375 6.703125 4.34375 1
1364534578185890562;compass/AK8973 Magnetic Field;-23.625 80.125 -4.9375 3
1364534578185860562;accel/kr3dh;0.3949901 -1.1168685 8.825985 3
1364534578185860562;linaccel/Linear Acceleration Sensor;-0.19879824 -0.014742017 -0.43997192 3
1364534578185799562;orientation/AK8973 Compass;10.625 7.203125 2.546875 1
1364534578280861562;compass/AK8973 Magnetic Field;-23.875 80.125 -5.6875 3
1364534578280800562;accel/kr3dh;0.84446156 -1.1577295 9.874752 3
1364534578280800562;linaccel/Linear Acceleration Sensor;0.16568518 -0.1888634 1.0006695 3
1364534578280769562;orientation/AK8973 Compass;10.96875 6.671875 4.84375 1
1364534578376839562;accel/kr3dh;0.9670447 -1.1985906 10.147159 3
1364534578376839562;linaccel/Linear Acceleration Sensor;0.26266503 -0.22580051 1.249917 3
1364534578376778562;orientation/AK8973 Compass;11.296875 6.703125 5.40625 1
1364534578498269288;wifi;c0:c1:c0:23:05:83,UNKNOWN,-60 00:24:14:31:f6:e1,UNKNOWN,-68 00:24:14:31:e6:21,UNKNOWN,-82 00:24:14:31:eb:b1,UNKNOWN,-88 00:24:14:31:f6:e3,UNKNOWN,-74 00:24:14:31:e6:23,UNKNOWN,-81 00:24:14:31:eb:b3,UNKNOWN,-86 00:24:14:31:f6:e0,UNKNOWN,-66 00:24:14:31:f6:e9,UNKNOWN,-67 00:24:14:31:f6:e2,UNKNOWN,-73 00:24:14:31:f6:e4,UNKNOWN,-74 00:24:14:31:e6:22,UNKNOWN,-80 00:24:14:31:e6:24,UNKNOWN,-81 00:24:14:31:e6:20,UNKNOWN,-83 00:24:14:31:e6:29,UNKNOWN,-83 00:24:14:31:eb:b9,UNKNOWN,-88 00:24:14:31:eb:b0,UNKNOWN,-89 00:24:14:31:eb:b4,UNKNOWN,-90 
1364534578493691562;compass/AK8973 Magnetic Field;-24.625 79.875 -5.9375 3
1364534578493660562;accel/kr3dh;0.81722087 -1.1713499 9.942854 3
1364534578493660562;linaccel/Linear Acceleration Sensor;0.093909204 -0.095163465 0.6387129 3
1364534578493599562;orientation/AK8973 Compass;11.640625 6.703125 4.671875 1
1364534578502000000;latLngE7Network;378748696 -1222585471 55.0 -1.0 -1.0
1364534578587624562;accel/kr3dh;0.667397 -1.1032481 9.656827 3
1364534578587624562;compass/AK8973 Magnetic Field;-24.125 79.625 -6.4375 3
1364534578587624562;linaccel/Linear Acceleration Sensor;-0.103863955 0.047909737 -0.021343231 3
1364534578587593562;orientation/AK8973 Compass;11.953125 6.5 3.921875 1
1364534578684456562;compass/AK8973 Magnetic Field;-24.125 79.625 -6.1875 3
1364534578684425562;accel/kr3dh;0.7354988 -1.1985906 9.507003 3
