1364535753041169433;metadata_log_format;3 # nanosecond timing
1364535753042329101;metadata_system_time;1364535753042
1364535753043214111;metadata_surveyName;/sdcard/LocationTracker/1364535753030.txt
1364535753044465332;metadata_notes;
1364535753045533447;metadata_deviceInfo;Board: bryce Brand: Verizon Device: bryce Hardware: qcom Manufacturer: LGE Model: VS910 4G Product: bryce
1364535743224000000;latLngE7LastKnown;378748831 -1222585587 55.0 -1.0 -1.0
1364535753086609819;compass/AK8973 Magnetic Field;13.25 64.5 21.875 3
1364535753086578819;accel/kr3dh;0.040861044 -0.027240695 9.697687 3
1364535753086578819;linaccel/Linear Acceleration Sensor;0.0 0.0 0.0 3
1364535753086548819;orientation/AK8973 Compass;3.953125 0.171875 0.25 1
1364535753185547819;accel/kr3dh;0.05448139 -0.05448139 9.697687 3
1364535753185547819;compass/AK8973 Magnetic Field;15.3125 62.5 23.875 3
1364535753185547819;linaccel/Linear Acceleration Sensor;0.013393875 -0.026787743 0.0 3
1364535753185516819;orientation/AK8973 Compass;355.17188 0.34375 0.34375 1
1364535753278931819;accel/kr3dh;0.05448139 -0.027240695 9.738548 3
1364535753278931819;compass/AK8973 Magnetic Field;15.3125 64.5 22.875 3
1364535753278931819;linaccel/Linear Acceleration Sensor;0.012287207 0.0022904892 0.040296555 3
1364535753278900819;orientation/AK8973 Compass;350.96875 0.171875 0.3125 1
1364535753372711819;orientation/AK8973 Compass;350.75 0.171875 0.25 1
1364535753372711819;accel/kr3dh;0.040861044 -0.027240695 9.738548 3
1364535753372711819;compass/AK8973 Magnetic Field;14.3125 64.0 22.875 3
1364535753372711819;linaccel/Linear Acceleration Sensor;-0.0038286261 0.0055201594 0.037082672 3
1364535753467865819;compass/AK8973 Magnetic Field;14.8125 63.75 22.625 3
1364535753467834819;accel/kr3dh;0.05448139 -0.027240695 9.724928 3
1364535753467834819;linaccel/Linear Acceleration Sensor;0.006784953 0.00791054 0.015503883 3
1364535753467804819;orientation/AK8973 Compass;350.51563 0.171875 0.3125 1
1364535753566925819;orientation/AK8973 Compass;350.3125 0.171875 0.3125 1
1364535753567017819;compass/AK8973 Magnetic Field;14.5625 64.25 21.875 3
1364535753662872819;orientation/AK8973 Compass;350.14063 0.078125 0.484375 1
1364535753662872819;accel/kr3dh;0.08172209 -0.013620348 9.724928 3
1364535753662872819;compass/AK8973 Magnetic Field;14.3125 64.25 21.875 3
1364535753662872819;linaccel/Linear Acceleration Sensor;0.025479093 0.014462187 -0.011289597 3
1364535753756622819;compass/AK8973 Magnetic Field;14.5625 64.0 21.875 3
1364535753756561819;accel/kr3dh;0.040861044 -0.013620348 9.724928 3
1364535753756561819;linaccel/Linear Acceleration Sensor;-0.019691348 0.0089874035 -0.015985489 3
1364535753756531819;orientation/AK8973 Compass;349.96875 0.078125 0.25 1
1364535753852600819;compass/AK8973 Magnetic Field;14.3125 64.25 22.375 3
1364535753852569819;accel/kr3dh;0.040861044 -0.040861044 9.711308 3
1364535753852569819;linaccel/Linear Acceleration Sensor;-0.022554588 -0.023313362 -0.024456024 3
1364535753852508819;orientation/AK8973 Compass;349.8125 0.25 0.25 1
1364535753916383057;wifi;c0:c1:c0:23:05:83,UNKNOWN,-50 00:24:14:31:f6:e1,UNKNOWN,-69 00:24:14:31:e6:21,UNKNOWN,-72 00:24:14:31:eb:b1,UNKNOWN,-93 00:24:14:31:f6:e3,UNKNOWN,-65 00:24:14:31:e6:23,UNKNOWN,-79 00:24:14:31:eb:b3,UNKNOWN,-95 00:24:14:31:e6:20,UNKNOWN,-64 00:24:14:31:f6:e2,UNKNOWN,-65 00:24:14:31:f6:e4,UNKNOWN,-65 00:24:14:31:f6:e9,UNKNOWN,-68 00:24:14:31:f6:e0,UNKNOWN,-70 00:24:14:31:e6:29,UNKNOWN,-72 00:24:14:31:e6:22,UNKNOWN,-79 00:24:14:31:e6:24,UNKNOWN,-81 00:24:14:31:eb:b9,UNKNOWN,-92 00:24:14:31:eb:b0,UNKNOWN,-94 
1364535753897000000;latLngE7Network;378748532 -1222585364 55.0 -1.0 -1.0
1364535753947296819;compass/AK8973 Magnetic Field;14.5625 64.5 23.125 3
1364535753947266819;accel/kr3dh;0.05448139 -0.013620348 9.738548 3
1364535753947266819;linaccel/Linear Acceleration Sensor;-0.007912252 0.002075323 0.009643555 3
1364535753947204819;orientation/AK8973 Compass;349.65625 0.078125 0.3125 1
1364535754045929819;compass/AK8973 Magnetic Field;14.8125 64.5 22.875 3
1364535754045868819;accel/kr3dh;0.05448139 -0.0 9.697687 3
1364535754045868819;linaccel/Linear Acceleration Sensor;-0.0025994293 0.017427556 -0.02588749 3
1364535754045837819;orientation/AK8973 Compass;349.5 0.0 0.34375 1
1364535754141388819;compass/AK8973 Magnetic Field;15.3125 64.5 22.625 3
1364535754141357819;accel/kr3dh;0.040861044 -0.0 9.507003 3
1364535754141357819;linaccel/Linear Acceleration Sensor;-0.010803845 0.018699871 -0.21025181 3
1364535754141327819;orientation/AK8973 Compass;349.32813 0.0 0.25 1
1364535754239288819;compass/AK8973 Magnetic Field;15.3125 64.75 22.375 3
1364535754239258819;accel/kr3dh;0.040861044 -0.0 9.684067 3
1364535754239258819;linaccel/Linear Acceleration Sensor;-0.007550966 0.015793975 -0.015001297 3
1364535754239227819;orientation/AK8973 Compass;349.17188 0.0 0.25 1
1364535754333282819;orientation/AK8973 Compass;349.03125 0.3125 0.25 1
1364535754333282819;accel/kr3dh;0.040861044 -0.05448139 9.779409 3
1364535754333282819;compass/AK8973 Magnetic Field;15.0625 64.5 21.875 3
1364535754333282819;linaccel/Linear Acceleration Sensor;-0.005659722 -0.044046234 0.10938549 3
1364535754426727819;accel/kr3dh;0.040861044 -0.040861044 9.738548 3
1364535754426727819;compass/AK8973 Magnetic Field;14.8125 64.25 22.125 3
1364535754426727819;linaccel/Linear Acceleration Sensor;-0.0037420802 -0.032610625 0.08798218 3
1364535754426697819;orientation/AK8973 Compass;348.90625 0.25 0.25 1
1364535754522400819;compass/AK8973 Magnetic Field;14.8125 64.5 22.375 3
1364535754522339819;accel/kr3dh;0.040861044 -0.027240695 9.697687 3
1364535754522339819;linaccel/Linear Acceleration Sensor;-0.00167685 -0.013411481 0.03722477 3
1364535754522308819;orientation/AK8973 Compass;348.79688 0.171875 0.25 1
1364535754616150819;accel/kr3dh;0.05448139 -0.05448139 9.697687 3
1364535754616150819;compass/AK8973 Magnetic Field;15.5625 64.25 22.625 3
1364535754616150819;linaccel/Linear Acceleration Sensor;0.013285372 -0.0298918 0.0077466965 3
1364535754616119819;orientation/AK8973 Compass;348.65625 0.34375 0.34375 1
1364535754699000000;rawNmea;$GPGSV,3,1,11,02,24,180,,04,46,143,,09,54,170,,12,18,293,*7A
