1364532113971862061;metadata_log_format;3 # nanosecond timing
1364532113972319825;metadata_system_time;1364532113973
1364532113972838624;metadata_surveyName;/sdcard/LocationTracker/1364532113957.txt
1364532113973296388;metadata_notes;
1364532113973662598;metadata_deviceInfo;Board: bryce Brand: Verizon Device: bryce Hardware: qcom Manufacturer: LGE Model: VS910 4G Product: bryce
1364532097984000000;latLngE7LastKnown;378749151 -1222585392 55.0 -1.0 -1.0
1364532114013304620;orientation/AK8973 Compass;26.921875 0.890625 -0.171875 1
1364532114013304620;accel/kr3dh;-0.027240695 -0.14982383 9.697687 3
1364532114013304620;compass/AK8973 Magnetic Field;-43.375 80.625 -0.375 3
1364532114013304620;linaccel/Linear Acceleration Sensor;0.0 0.0 0.0 3
1364532114105986620;accel/kr3dh;-0.06810174 -0.095342435 9.697687 3
1364532114105986620;compass/AK8973 Magnetic Field;-42.375 78.625 -0.375 3
1364532114105986620;linaccel/Linear Acceleration Sensor;-0.04031091 0.053747885 0.0 3
1364532114105955620;orientation/AK8973 Compass;27.015625 0.5625 -0.390625 1
1364532114201536620;accel/kr3dh;-0.040861044 -0.10896278 9.765789 3
1364532114201536620;compass/AK8973 Magnetic Field;-45.375 78.625 -0.375 3
1364532114201536620;linaccel/Linear Acceleration Sensor;-0.010146905 0.035892628 0.06709099 3
1364532114201475620;orientation/AK8973 Compass;27.203125 0.640625 -0.25 1
1364532114296873620;accel/kr3dh;-0.040861044 -0.12258313 9.711308 3
1364532114296873620;compass/AK8973 Magnetic Field;-43.625 79.375 -0.375 3
1364532114296873620;linaccel/Linear Acceleration Sensor;-0.0041348822 0.012578301 0.0077762604 3
1364532114296843620;orientation/AK8973 Compass;27.296875 0.734375 -0.25 1
1364532114394865620;compass/AK8973 Magnetic Field;-44.375 78.625 -0.625 3
1364532114394804620;accel/kr3dh;-0.040861044 -0.095342435 9.711308 3
1364532114394804620;linaccel/Linear Acceleration Sensor;0.0023666732 0.027105987 -0.0018501282 3
1364532114394774620;orientation/AK8973 Compass;27.4375 0.5625 -0.25 1
1364532114492735620;compass/AK8973 Magnetic Field;-45.125 79.125 -1.125 3
1364532114492704620;accel/kr3dh;-0.027240695 -0.13620348 9.724928 3
1364532114492704620;linaccel/Linear Acceleration Sensor;0.018852135 -0.023531973 0.002784729 3
1364532114492674620;orientation/AK8973 Compass;27.578125 0.8125 -0.171875 1
1364532114588560620;compass/AK8973 Magnetic Field;-44.875 79.125 -1.875 3
1364532114588530620;accel/kr3dh;-0.040861044 -0.13620348 9.738548 3
1364532114588530620;linaccel/Linear Acceleration Sensor;0.003597837 -0.026918322 0.012805939 3
1364532114588469620;orientation/AK8973 Compass;27.703125 0.8125 -0.25 1
1364532114682676620;compass/AK8973 Magnetic Field;-44.875 78.875 -2.375 3
1364532114682646620;orientation/AK8973 Compass;27.828125 0.5625 -0.34375 1
1364532114682646620;accel/kr3dh;-0.05448139 -0.095342435 9.697687 3
1364532114682646620;linaccel/Linear Acceleration Sensor;-0.013749395 0.016762458 -0.027737617 3
1364532114777830620;compass/AK8973 Magnetic Field;-44.375 79.125 -2.125 3
1364532114777769620;accel/kr3dh;-0.05448139 -0.14982383 9.697687 3
1364532114777769620;linaccel/Linear Acceleration Sensor;-0.01586882 -0.031943053 -0.025698662 3
