1354227386280931152;metadata_log_format;3 # nanosecond timing
1354227386282792725;metadata_system_time;1354227386283
1354227386284104981;metadata_surveyName;/sdcard/LocationTracker/1354227386239.txt
1354227386285875000;metadata_notes;
1354227386287339844;metadata_deviceInfo;Board: bryce Brand: Verizon Device: bryce Hardware: qcom Manufacturer: LGE Model: VS910 4G Product: bryce
1354227369649000000;latLngE7LastKnown;378754155 -1222587261 45.0 -1.0 -1.0
1354227386326859419;compass/AK8973 Magnetic Field;18.0 18.4375 -68.9375 3
1354227386326829419;orientation/AK8973 Compass;336.85938 0.171875 0.484375 1
1354227386326829419;accel/kr3dh;0.08172209 -0.027240695 9.779409 3
1354227386326829419;linaccel/Linear Acceleration Sensor;0.0 0.0 0.0 3
1354227386418931419;compass/AK8973 Magnetic Field;18.0 17.375 -68.9375 3
1354227386418900419;orientation/AK8973 Compass;325.0 0.171875 0.25 1
1354227386418900419;accel/kr3dh;0.040861044 -0.027240695 9.697687 3
1354227386418900419;linaccel/Linear Acceleration Sensor;-0.04032253 -1.8626451E-9 -0.08064556 3
1354227386512284419;compass/AK8973 Magnetic Field;18.0 18.4375 -68.9375 3
1354227386512253419;accel/kr3dh;0.06810174 0.05448139 9.629586 3
1354227386512253419;linaccel/Linear Acceleration Sensor;-0.010306574 0.0805959 -0.1415062 3
1354227386512223419;orientation/AK8973 Compass;320.28125 -0.34375 0.390625 1
1354227386606522419;compass/AK8973 Magnetic Field;17.75 17.875 -68.6875 3
1354227386606492419;accel/kr3dh;0.095342435 -0.027240695 9.724928 3
1354227386606492419;linaccel/Linear Acceleration Sensor;0.022386387 -0.0064579304 -0.026100159 3
1354227386606461419;orientation/AK8973 Compass;319.875 0.171875 0.5625 1
1354227386700700419;orientation/AK8973 Compass;319.51563 0.0 0.390625 1
1354227386700700419;accel/kr3dh;0.06810174 -0.0 9.697687 3
1354227386700700419;compass/AK8973 Magnetic Field;17.75 17.625 -69.1875 3
1354227386700700419;linaccel/Linear Acceleration Sensor;-3.363937E-4 0.010795619 -0.023758888 3
1354227386794846419;compass/AK8973 Magnetic Field;17.5 17.875 -69.1875 3
1354227386794816419;accel/kr3dh;0.14982383 -0.0 9.711308 3
1354227386794816419;linaccel/Linear Acceleration Sensor;0.0803574 0.0013865549 0.014741898 3
1354227386794785419;orientation/AK8973 Compass;319.17188 0.0 0.890625 1
1354227386889512419;compass/AK8973 Magnetic Field;17.0 17.875 -69.4375 3
1354227386889481419;accel/kr3dh;0.013620348 0.05448139 9.765789 3
1354227386889481419;linaccel/Linear Acceleration Sensor;-0.06318503 0.050915603 0.07811642 3
1354227386889451419;orientation/AK8973 Compass;319.03125 -0.3125 0.078125 1
1354227386984605419;compass/AK8973 Magnetic Field;16.75 17.875 -69.75 3
1354227386984574419;accel/kr3dh;0.095342435 -0.013620348 9.765789 3
1354227386984574419;linaccel/Linear Acceleration Sensor;0.010369517 -0.020345774 0.069664 3
1354227386984544419;orientation/AK8973 Compass;318.8125 0.078125 0.5625 1
1354227387078202419;orientation/AK8973 Compass;318.70313 0.0 0.390625 1
1354227387078202419;accel/kr3dh;0.06810174 -0.0 9.765789 3
1354227387078202419;compass/AK8973 Magnetic Field;16.5 18.1875 -69.4375 3
1354227387078202419;linaccel/Linear Acceleration Sensor;-0.018750273 -0.010649549 0.049549103 3
1354227387223375000;wifi;00:22:90:39:07:12,UNKNOWN,-73 00:23:04:89:cd:b2,UNKNOWN,-74 00:17:df:a7:33:12,UNKNOWN,-78 00:17:df:a7:4c:f2,UNKNOWN,-79 00:23:04:89:cd:b5,UNKNOWN,-71 00:17:df:a7:33:15,UNKNOWN,-78 00:17:df:a7:4c:f5,UNKNOWN,-80 00:22:90:39:07:15,UNKNOWN,-84 00:17:df:a8:60:65,UNKNOWN,-90 00:23:04:89:bb:f5,UNKNOWN,-94 00:23:04:89:cd:b1,UNKNOWN,-70 00:22:90:39:07:16,UNKNOWN,-73 00:22:90:39:07:10,UNKNOWN,-73 00:23:04:89:cd:b0,UNKNOWN,-73 00:22:90:39:07:11,UNKNOWN,-74 00:17:df:a7:33:10,UNKNOWN,-78 00:17:df:a7:33:11,UNKNOWN,-78 00:17:df:a7:33:16,UNKNOWN,-78 00:17:df:a7:4c:f1,UNKNOWN,-80 00:17:df:a7:4c:f6,UNKNOWN,-80 00:17:df:a7:4c:f0,UNKNOWN,-81 00:22:90:39:65:b1,UNKNOWN,-92 
1354227387213395419;accel/kr3dh;0.12258313 -0.027240695 9.765789 3
1354227387213395419;compass/AK8973 Magnetic Field;16.5 18.1875 -70.0 3
1354227387213395419;linaccel/Linear Acceleration Sensor;0.042155184 -0.037788577 0.013555527 3
1354227387213334419;orientation/AK8973 Compass;318.53125 0.171875 0.734375 1
1354227387235000000;latLngE7Network;378754111 -1222587420 50.0 -1.0 -1.0
1354227387306931419;orientation/AK8973 Compass;318.42188 0.0 0.25 1
1354227387306931419;accel/kr3dh;0.040861044 -0.0 9.670447 3
1354227387306931419;compass/AK8973 Magnetic Field;16.75 18.1875 -69.4375 3
1354227387306931419;linaccel/Linear Acceleration Sensor;-0.038805407 -0.003809688 -0.097678185 3
1354227387401505419;compass/AK8973 Magnetic Field;17.25 18.4375 -69.1875 3
1354227387401444419;accel/kr3dh;0.05448139 -0.0 9.779409 3
1354227387401444419;linaccel/Linear Acceleration Sensor;-0.027752806 0.006361655 0.012155533 3
1354227387401414419;orientation/AK8973 Compass;318.28125 0.0 0.3125 1
1354227387497636419;accel/kr3dh;0.095342435 0.095342435 9.833891 3
1354227387497636419;compass/AK8973 Magnetic Field;17.25 17.875 -68.9375 3
1354227387497636419;linaccel/Linear Acceleration Sensor;0.014116012 0.106409445 0.07746792 3
1354227387497605419;orientation/AK8973 Compass;318.14063 -0.5625 0.5625 1
1354227387591508419;compass/AK8973 Magnetic Field;17.75 18.1875 -68.1875 3
1354227387591447419;accel/kr3dh;0.12258313 0.027240695 9.833891 3
