1354233651103725831;metadata_log_format;3 # nanosecond timing
1354233651105617921;metadata_system_time;1354233651106
1354233651106869142;metadata_surveyName;/sdcard/LocationTracker/1354233651091.txt
1354233651108578126;metadata_notes;
1354233651110165040;metadata_deviceInfo;Board: bryce Brand: Verizon Device: bryce Hardware: qcom Manufacturer: LGE Model: VS910 4G Product: bryce
1354233623974000000;latLngE7LastKnown;378754124 -1222587184 50.0 -1.0 -1.0
1354233651155238639;compass/AK8973 Magnetic Field;112.75 41.9375 76.375 3
1354233651155208639;orientation/AK8973 Compass;289.64063 -1.09375 -0.3125 1
1354233651155208639;accel/kr3dh;-0.05448139 0.19068487 10.010956 3
1354233651155208639;linaccel/Linear Acceleration Sensor;0.0 0.0 0.0 3
1354233650000000000;latLngE7Gps;378750572 -1222584838 49.0 -1.0 0.0
1354233651186000000;latLngE7Network;378754124 -1222587184 50.0 -1.0 -1.0
1354233651249263639;accel/kr3dh;-0.20430522 0.23154591 9.888372 3
1354233651249263639;linaccel/Linear Acceleration Sensor;-0.14770868 0.0402842 -0.12085247 3
1354233651249233639;orientation/AK8973 Compass;289.625 -1.34375 -1.171875 1
1354233651343745639;compass/AK8973 Magnetic Field;112.75 42.4375 76.625 3
1354233651343715639;accel/kr3dh;-0.14982383 0.54481393 9.384419 3
1354233651343715639;linaccel/Linear Acceleration Sensor;-0.08198342 0.3457901 -0.6077566 3
1354233651343684639;orientation/AK8973 Compass;289.54688 -3.328125 -0.921875 1
1354233651476864259;wifi;00:17:df:a7:4c:f2,UNKNOWN,-58 dc:7b:94:35:25:02,UNKNOWN,-94 00:17:df:a7:4c:f5,UNKNOWN,-57 00:17:df:a7:4c:f1,UNKNOWN,-56 00:17:df:a7:4c:f6,UNKNOWN,-57 00:17:df:a7:4c:f0,UNKNOWN,-57 00:22:90:39:07:10,UNKNOWN,-69 00:22:90:39:07:16,UNKNOWN,-70 00:22:90:39:07:11,UNKNOWN,-70 
1354233651468623639;compass/AK8973 Magnetic Field;112.5 42.9375 76.375 3
1354233651468593639;accel/kr3dh;-0.17706452 0.2860273 10.446807 3
1354233651468593639;linaccel/Linear Acceleration Sensor;-0.0697639 0.035770833 0.5323448 3
1354233651468562639;orientation/AK8973 Compass;289.5625 -1.5625 -0.984375 1
1354233651562343639;accel/kr3dh;0.3677494 0.7899802 9.561484 3
1354233651562343639;compass/AK8973 Magnetic Field;112.5 43.1875 76.625 3
1354233651562343639;linaccel/Linear Acceleration Sensor;0.5027423 0.4713835 -0.28791142 3
1354233651562312639;orientation/AK8973 Compass;289.5 -4.734375 2.1875 1
1354233651657710639;compass/AK8973 Magnetic Field;112.5 43.4375 76.375 3
1354233651657680639;accel/kr3dh;0.12258313 0.21792556 10.18802 3
1354233651657680639;linaccel/Linear Acceleration Sensor;0.24440816 -0.18480079 0.36236286 3
1354233651657619639;orientation/AK8973 Compass;289.5625 -1.234375 0.703125 1
1354233651754146639;compass/AK8973 Magnetic Field;112.75 43.1875 75.875 3
