1364535436516519288;metadata_log_format;3 # nanosecond timing
1364535436518289307;metadata_system_time;1364535436518
1364535436519662598;metadata_surveyName;/sdcard/LocationTracker/1364535436503.txt
1364535436521768311;metadata_notes;
1364535436523477295;metadata_deviceInfo;Board: bryce Brand: Verizon Device: bryce Hardware: qcom Manufacturer: LGE Model: VS910 4G Product: bryce
1364535423137000000;latLngE7LastKnown;378748696 -1222585471 55.0 -1.0 -1.0
1364535436567239497;orientation/AK8973 Compass;19.265625 0.390625 -0.0 1
1364535436567239497;accel/kr3dh;0.0 -0.06810174 9.738548 3
1364535436567239497;compass/AK8973 Magnetic Field;5.1875 46.3125 3.6875 3
1364535436567239497;linaccel/Linear Acceleration Sensor;0.0 0.0 0.0 3
1364535436659768497;orientation/AK8973 Compass;7.0 0.3125 0.078125 1
1364535436659768497;accel/kr3dh;0.013620348 -0.05448139 9.711308 3
1364535436659768497;compass/AK8973 Magnetic Field;4.1875 45.3125 4.6875 3
1364535436659768497;linaccel/Linear Acceleration Sensor;0.013437944 0.013437945 -0.026875496 3
1364535436752785497;compass/AK8973 Magnetic Field;6.1875 46.3125 3.6875 3
1364535436752755497;orientation/AK8973 Compass;359.70313 0.171875 -0.0 1
1364535436752755497;accel/kr3dh;0.0 -0.027240695 9.697687 3
1364535436752755497;linaccel/Linear Acceleration Sensor;-0.0010421262 0.039262928 -0.03822136 3
1364535436848000497;compass/AK8973 Magnetic Field;5.1875 46.3125 4.1875 3
1364535436847970497;accel/kr3dh;0.0 -0.06810174 9.697687 3
1364535436847970497;linaccel/Linear Acceleration Sensor;-0.0026441668 -0.0059102066 -0.031707764 3
1364535436847939497;orientation/AK8973 Compass;359.32813 0.390625 -0.0 1
1364535436946206497;compass/AK8973 Magnetic Field;5.6875 46.5625 4.1875 3
1364535436946175497;accel/kr3dh;0.0 -0.05448139 9.711308 3
1364535436946175497;linaccel/Linear Acceleration Sensor;-0.0038470589 0.0012537278 -0.007273674 3
1364535436946145497;orientation/AK8973 Compass;358.9375 0.3125 -0.0 1
1364535437045235497;compass/AK8973 Magnetic Field;6.1875 47.125 4.1875 3
1364535437045205497;accel/kr3dh;0.0 -0.05448139 9.697687 3
1364535437045205497;linaccel/Linear Acceleration Sensor;-0.0035104547 -0.0031803846 -0.010135651 3
1364535437045174497;orientation/AK8973 Compass;358.53125 0.34375 -0.0 1
1364535437142373497;compass/AK8973 Magnetic Field;5.9375 46.875 4.4375 3
1364535437142312497;accel/kr3dh;0.0 -0.040861044 9.711308 3
1364535437142312497;linaccel/Linear Acceleration Sensor;-0.0020638024 0.009885598 0.009775162 3
1364535437142281497;orientation/AK8973 Compass;358.17188 0.25 -0.0 1
1364535437236275497;accel/kr3dh;-0.013620348 -0.05448139 9.711308 3
1364535437236275497;compass/AK8973 Magnetic Field;6.1875 46.5625 4.1875 3
1364535437236275497;linaccel/Linear Acceleration Sensor;-0.014043885 -0.0028413385 0.011059761 3
1364535437236245497;orientation/AK8973 Compass;357.8125 0.3125 -0.078125 1
1364535437329446497;accel/kr3dh;0.0 -0.05448139 9.711308 3
1364535437329446497;compass/AK8973 Magnetic Field;5.6875 46.3125 4.4375 3
1364535437329446497;linaccel/Linear Acceleration Sensor;0.0013140367 -0.0027298294 0.008933067 3
1364535437329415497;orientation/AK8973 Compass;357.51563 0.3125 -0.0 1
1364535437422616497;orientation/AK8973 Compass;357.20313 0.25 -0.078125 1
1364535437422616497;accel/kr3dh;-0.013620348 -0.040861044 9.697687 3
1364535437422616497;compass/AK8973 Magnetic Field;5.9375 46.0625 4.1875 3
1364535437422616497;linaccel/Linear Acceleration Sensor;-0.010297327 0.01024691 -0.008106232 3
1364535437517220497;compass/AK8973 Magnetic Field;5.9375 46.3125 4.4375 3
1364535437517190497;accel/kr3dh;-0.013620348 -0.040861044 9.711308 3
1364535437517190497;linaccel/Linear Acceleration Sensor;-0.008114325 0.009315159 0.003019333 3
1364535437517159497;orientation/AK8973 Compass;356.92188 0.25 -0.078125 1
1364535437531106691;wifi;c0:c1:c0:23:05:83,UNKNOWN,-77 00:24:14:31:eb:b1,UNKNOWN,-81 00:24:14:31:f6:e1,UNKNOWN,-88 00:24:14:31:e6:21,UNKNOWN,-91 00:24:14:31:f6:e3,UNKNOWN,-80 00:24:14:31:f6:e2,UNKNOWN,-81 00:24:14:31:eb:b0,UNKNOWN,-81 00:24:14:31:eb:b9,UNKNOWN,-81 00:24:14:31:f6:e4,UNKNOWN,-81 00:24:14:31:eb:b4,UNKNOWN,-82 00:24:14:31:eb:b2,UNKNOWN,-82 00:24:14:31:f6:e0,UNKNOWN,-85 00:24:14:31:f6:e9,UNKNOWN,-86 00:24:14:31:e6:22,UNKNOWN,-91 00:24:14:31:e6:20,UNKNOWN,-91 00:24:14:31:e6:29,UNKNOWN,-91 
