1354058705970298584;metadata_log_format;3 # nanosecond timing
1354058705970725830;metadata_system_time;1354058705970
1354058705971031006;metadata_surveyName;/sdcard/LocationTracker/1354058705958.txt
1354058705971488769;metadata_notes;
1354058705971854980;metadata_deviceInfo;Board: bryce Brand: Verizon Device: bryce Hardware: qcom Manufacturer: LGE Model: VS910 4G Product: bryce
1354058692641000000;latLngE7LastKnown;378754452 -1222586619 50.0 -1.0 -1.0
1354058706010581174;accel/kr3dh;0.040861044 0.13620348 9.874752 3
1354058706010581174;compass/AK8973 Magnetic Field;-30.5 49.6875 -45.6875 3
1354058706010581174;linaccel/Linear Acceleration Sensor;0.0 0.0 0.0 3
1354058706010551174;orientation/AK8973 Compass;27.65625 -0.78125 0.21875 1
1354058706102836174;orientation/AK8973 Compass;28.0 -0.703125 0.21875 1
1354058706102836174;accel/kr3dh;0.040861044 0.12258313 9.901993 3
1354058706102836174;compass/AK8973 Magnetic Field;-31.5625 47.6875 -44.6875 3
1354058706102836174;linaccel/Linear Acceleration Sensor;-3.7252903E-9 -0.013439693 0.026880264 3
1354058706197227174;orientation/AK8973 Compass;28.3125 -0.484375 -0.390625 1
1354058706197227174;accel/kr3dh;-0.06810174 0.08172209 9.861132 3
1354058706197227174;compass/AK8973 Magnetic Field;-31.5625 48.6875 -44.6875 3
1354058706197227174;linaccel/Linear Acceleration Sensor;-0.10740673 -0.052640192 -0.015550613 3
1354058706290275174;accel/kr3dh;-0.027240695 0.17706452 9.901993 3
1354058706290275174;compass/AK8973 Magnetic Field;-31.5625 48.9375 -45.1875 3
1354058706290275174;linaccel/Linear Acceleration Sensor;-0.05861129 0.047223434 0.022663116 3
1354058706290244174;orientation/AK8973 Compass;28.578125 -1.03125 -0.171875 1
1354058706384299174;accel/kr3dh;0.0 0.10896278 9.861132 3
1354058706384299174;compass/AK8973 Magnetic Field;-32.3125 48.1875 -45.1875 3
1354058706384299174;linaccel/Linear Acceleration Sensor;-0.013648601 -0.015553437 -0.020618439 3
1354058706384269174;orientation/AK8973 Compass;28.890625 -0.640625 -0.0 1
1354058706478751174;compass/AK8973 Magnetic Field;-32.5625 47.9375 -45.1875 3
1354058706478721174;accel/kr3dh;-0.05448139 0.095342435 9.874752 3
1354058706478721174;linaccel/Linear Acceleration Sensor;-0.046453044 -0.0269664 -0.007736206 3
1354058706478690174;orientation/AK8973 Compass;29.21875 -0.5625 -0.3125 1
1354058706575309174;compass/AK8973 Magnetic Field;-32.8125 47.9375 -45.4375 3
1354058706575278174;accel/kr3dh;-0.095342435 0.16344418 9.901993 3
1354058706575278174;linaccel/Linear Acceleration Sensor;-0.069578424 0.040859476 0.02083397 3
1354058706575217174;orientation/AK8973 Compass;29.53125 -0.953125 -0.5625 1
1354058706671287174;compass/AK8973 Magnetic Field;-32.5625 47.1875 -45.1875 3
1354058706671256174;accel/kr3dh;0.0 0.05448139 9.901993 3
1354058706671256174;linaccel/Linear Acceleration Sensor;0.038626123 -0.06767517 0.02188778 3
1354058706671226174;orientation/AK8973 Compass;29.84375 -0.3125 -0.0 1
1354058706766563174;compass/AK8973 Magnetic Field;-32.0625 47.4375 -45.4375 3
1354058706766502174;accel/kr3dh;-0.05448139 0.12258313 9.820271 3
1354058706766502174;linaccel/Linear Acceleration Sensor;-0.006589424 0.0031756982 -0.061279297 3
1354058706766471174;orientation/AK8973 Compass;30.09375 -0.734375 -0.3125 1
1354058706884971435;wifi;00:22:90:39:07:12,UNKNOWN,-77 00:17:df:a7:4c:f2,UNKNOWN,-81 dc:7b:94:35:25:02,UNKNOWN,-90 00:17:df:a7:33:12,UNKNOWN,-92 00:22:90:39:07:15,UNKNOWN,-79 00:17:df:a7:4c:f5,UNKNOWN,-79 dc:7b:94:35:25:05,UNKNOWN,-90 00:17:df:a7:33:15,UNKNOWN,-92 00:22:90:39:07:11,UNKNOWN,-77 00:22:90:39:07:16,UNKNOWN,-79 00:17:df:a7:4c:f6,UNKNOWN,-79 00:17:df:a7:4c:f0,UNKNOWN,-79 00:22:90:39:07:10,UNKNOWN,-80 00:17:df:a7:4c:f1,UNKNOWN,-81 dc:7b:94:35:25:01,UNKNOWN,-89 dc:7b:94:35:25:00,UNKNOWN,-91 00:17:df:a7:33:16,UNKNOWN,-91 00:17:df:a7:33:11,UNKNOWN,-92 dc:7b:94:35:25:06,UNKNOWN,-93 00:22:90:39:70:a1,UNKNOWN,-93 
1354058706869498174;compass/AK8973 Magnetic Field;-31.5625 47.4375 -45.6875 3
1354058706869468174;accel/kr3dh;-0.05448139 0.14982383 9.847511 3
1354058706869468174;linaccel/Linear Acceleration Sensor;-0.0032121688 0.035821915 -0.033964157 3
1354058706869437174;orientation/AK8973 Compass;30.3125 -0.875 -0.3125 1
1354058706873000000;latLngE7Network;378754460 -1222586705 50.0 -1.0 -1.0
1354058706963767174;accel/kr3dh;0.040861044 0.095342435 9.79303 3
1354058706963767174;compass/AK8973 Magnetic Field;-31.0625 47.4375 -45.4375 3
1354058706963767174;linaccel/Linear Acceleration Sensor;0.089334026 -0.015435331 -0.08018589 3
1354058706963737174;orientation/AK8973 Compass;30.46875 -0.5625 0.25 1
1354058707058951174;compass/AK8973 Magnetic Field;-31.3125 47.1875 -45.9375 3
1354058707058921174;orientation/AK8973 Compass;30.640625 -0.3125 0.3125 1
1354058707058921174;accel/kr3dh;0.05448139 0.05448139 9.874752 3
1354058707058921174;linaccel/Linear Acceleration Sensor;0.093379155 -0.056857485 0.018346786 3
1354058707145000000;rawNmea;$GPGSV,3,1,12,14,50,180,35,03,42,272,,06,50,248,,09,14,066,*74
1354058707150000000;rawNmea;$GPGSV,3,2,12,15,06,039,,16,01,243,,18,52,046,,19,32,306,*70
1354058707155112174;compass/AK8973 Magnetic Field;-31.0625 47.1875 -45.9375 3
1354058707155082174;accel/kr3dh;-0.05448139 -0.0 9.861132 3
1354058707155082174;linaccel/Linear Acceleration Sensor;-0.033638142 -0.10851236 0.021284103 3
1354058707155051174;orientation/AK8973 Compass;30.828125 0.0 -0.3125 1
1354058707158000000;rawNmea;$GPGSV,3,3,12,21,40,111,,22,69,312,,24,15,073,,27,,,*40
1354058707163000000;rawNmea;$GPGGA,232505.0,,,,,0,,,,,,,,*7B
1354058707164000000;rawNmea;$GPVTG,,T,,M,,N,,K,N*2C
1354058707166000000;rawNmea;$GPRMC,,V,,,,,,,,,,N*53
1354058707168000000;rawNmea;$GPGSA,A,1,,,,,,,,,,,,,,,*1E
1354058707249137174;orientation/AK8973 Compass;30.96875 -0.5625 0.21875 1
1354058707249137174;accel/kr3dh;0.040861044 0.095342435 9.874752 3
1354058707249137174;compass/AK8973 Magnetic Field;-31.3125 47.1875 -45.4375 3
1354058707249137174;linaccel/Linear Acceleration Sensor;0.041547056 9.667799E-4 0.040852547 3
1354058707342795174;compass/AK8973 Magnetic Field;-31.5625 46.6875 -45.6875 3
1354058707342734174;accel/kr3dh;0.0 0.12258313 9.80665 3
1354058707342734174;linaccel/Linear Acceleration Sensor;-0.012036532 0.049042344 -0.033058167 3
1354058707342704174;orientation/AK8973 Compass;31.140625 -0.734375 -0.0 1
1354058707438712174;compass/AK8973 Magnetic Field;-31.5625 47.4375 -45.1875 3
1354058707438682174;accel/kr3dh;-0.040861044 0.10896278 9.901993 3
1354058707438682174;linaccel/Linear Acceleration Sensor;-0.05521562 0.047414236 0.052430153 3
1354058707438651174;orientation/AK8973 Compass;31.296875 -0.640625 -0.21875 1
1354058707534110174;accel/kr3dh;0.0 0.040861044 9.833891 3
1354058707534110174;compass/AK8973 Magnetic Field;-32.0625 47.4375 -44.9375 3
1354058707534110174;linaccel/Linear Acceleration Sensor;-0.008959214 -0.02646305 -0.021839142 3
1354058707534080174;orientation/AK8973 Compass;31.46875 -0.25 -0.0 1
1354058707628867174;compass/AK8973 Magnetic Field;-32.3125 47.6875 -45.4375 3
1354058707628837174;accel/kr3dh;-0.06810174 0.21792556 9.820271 3
1354058707628837174;linaccel/Linear Acceleration Sensor;-0.06664983 0.13503581 -0.037089348 3
1354058707628776174;orientation/AK8973 Compass;31.609375 -1.265625 -0.390625 1
1354058707720725832;wifi;00:17:df:a7:4c:f2,UNKNOWN,-78 00:22:90:39:07:12,UNKNOWN,-81 00:17:df:a7:4c:f5,UNKNOWN,-78 00:22:90:39:07:15,UNKNOWN,-80 00:17:df:a7:33:15,UNKNOWN,-89 dc:7b:94:35:25:05,UNKNOWN,-89 00:17:df:a7:4c:f0,UNKNOWN,-75 00:17:df:a7:4c:f1,UNKNOWN,-76 00:17:df:a7:4c:f6,UNKNOWN,-79 00:22:90:39:07:10,UNKNOWN,-79 00:22:90:39:07:11,UNKNOWN,-80 00:22:90:39:07:16,UNKNOWN,-80 dc:7b:94:35:25:06,UNKNOWN,-88 00:17:df:a7:33:11,UNKNOWN,-89 00:17:df:a7:33:10,UNKNOWN,-90 00:17:df:a7:33:16,UNKNOWN,-90 dc:7b:94:35:25:01,UNKNOWN,-91 dc:7b:94:35:25:00,UNKNOWN,-92 dc:7b:94:35:24:26,UNKNOWN,-92 00:22:90:39:70:a0,UNKNOWN,-96 
1354058707724998174;compass/AK8973 Magnetic Field;-32.5625 47.9375 -45.4375 3
1354058707724967174;accel/kr3dh;-0.027240695 0.12258313 9.833891 3
1354058707724967174;linaccel/Linear Acceleration Sensor;-0.0126215415 0.022572868 -0.020525932 3
1354058707724937174;orientation/AK8973 Compass;31.765625 -0.734375 -0.171875 1
1354058707820243174;compass/AK8973 Magnetic Field;-32.3125 47.9375 -45.4375 3
1354058707820212174;accel/kr3dh;-0.095342435 0.05448139 9.861132 3
1354058707820212174;linaccel/Linear Acceleration Sensor;-0.06707656 -0.062145595 0.013915062 3
1354058707820182174;orientation/AK8973 Compass;31.921875 -0.3125 -0.5625 1
1354058707915458174;orientation/AK8973 Compass;32.0625 -0.703125 -1.09375 1
1354058707915458174;accel/kr3dh;-0.19068487 0.12258313 9.970095 3
1354058707915458174;compass/AK8973 Magnetic Field;-32.3125 48.4375 -45.4375 3
1354058707915458174;linaccel/Linear Acceleration Sensor;-0.14685912 -0.0046937987 0.12804985 3
1354058708008994174;compass/AK8973 Magnetic Field;-31.8125 48.6875 -45.9375 3
1354058708008964174;orientation/AK8973 Compass;32.09375 -0.875 0.21875 1
1354058708008964174;accel/kr3dh;0.040861044 0.14982383 9.861132 3
1354058708008964174;linaccel/Linear Acceleration Sensor;0.10460526 0.023604348 0.0126132965 3
1354058708104056174;compass/AK8973 Magnetic Field;-31.0625 48.9375 -46.1875 3
1354058708103995174;accel/kr3dh;-0.08172209 0.14982383 9.833891 3
1354058708103995174;linaccel/Linear Acceleration Sensor;8.4804744E-4 0.030176386 -0.033207893 3
1354058708103965174;orientation/AK8973 Compass;32.109375 -0.875 -0.46875 1
1354058708157000000;rawNmea;$GPGSV,3,1,12,14,50,180,34,03,42,272,,06,50,248,,09,14,066,*75
1354058708160000000;rawNmea;$GPGSV,3,2,12,15,06,039,,16,01,243,,18,52,046,,19,32,306,*70
1354058708165000000;rawNmea;$GPGSV,3,3,12,21,40,111,,22,69,312,,24,15,073,,27,,,*40
1354058708177000000;rawNmea;$GPGGA,232506.0,,,,,0,,,,,,,,*78
1354058708181000000;rawNmea;$GPVTG,,T,,M,,N,,K,N*2C
1354058708185000000;rawNmea;$GPRMC,,V,,,,,,,,,,N*53
1354058708190000000;rawNmea;$GPGSA,A,1,,,,,,,,,,,,,,,*1E
1354058708199088174;compass/AK8973 Magnetic Field;-30.8125 48.4375 -46.6875 3
1354058708199058174;accel/kr3dh;-0.027240695 0.16344418 9.861132 3
1354058708199058174;linaccel/Linear Acceleration Sensor;0.05962859 0.04374984 -0.021990776 3
1354058708198997174;orientation/AK8973 Compass;32.109375 -0.953125 -0.171875 1
1354058708293204174;compass/AK8973 Magnetic Field;-30.25 48.1875 -46.6875 3
1354058708293174174;orientation/AK8973 Compass;32.125 -0.5625 -0.5625 1
1354058708293174174;accel/kr3dh;-0.095342435 0.095342435 9.833891 3
1354058708293174174;linaccel/Linear Acceleration Sensor;-0.019918613 -0.033315964 -0.050001144 3
1354058708387931174;compass/AK8973 Magnetic Field;-30.5 48.1875 -46.1875 3
1354058708387900174;accel/kr3dh;-0.05448139 0.12258313 9.956474 3
1354058708387900174;linaccel/Linear Acceleration Sensor;0.0063540153 -0.015745051 0.083610535 3
1354058708387870174;orientation/AK8973 Compass;32.125 -0.703125 -0.3125 1
1354058708501395997;wifi;00:17:df:a7:4c:f2,UNKNOWN,-76 00:22:90:39:07:12,UNKNOWN,-80 dc:7b:94:35:25:02,UNKNOWN,-89 00:22:90:39:70:a2,UNKNOWN,-91 dc:7b:94:35:24:22,UNKNOWN,-92 00:17:df:a7:4c:f5,UNKNOWN,-76 00:22:90:39:07:15,UNKNOWN,-80 dc:7b:94:35:24:25,UNKNOWN,-91 00:22:90:39:70:a5,UNKNOWN,-91 dc:7b:94:35:25:05,UNKNOWN,-93 00:17:df:a7:33:15,UNKNOWN,-94 00:17:df:a7:4c:f1,UNKNOWN,-75 00:17:df:a7:4c:f6,UNKNOWN,-75 00:17:df:a7:4c:f0,UNKNOWN,-76 00:22:90:39:07:11,UNKNOWN,-78 00:22:90:39:07:10,UNKNOWN,-80 00:22:90:39:07:16,UNKNOWN,-80 dc:7b:94:35:24:26,UNKNOWN,-89 00:17:df:a7:33:11,UNKNOWN,-89 dc:7b:94:35:25:01,UNKNOWN,-89 dc:7b:94:35:24:20,UNKNOWN,-90 00:26:cb:b9:54:70,UNKNOWN,-90 00:17:df:a7:33:10,UNKNOWN,-90 00:17:df:a7:33:16,UNKNOWN,-90 00:22:90:39:70:a1,UNKNOWN,-93 00:22:90:39:70:a0,UNKNOWN,-93 00:22:90:39:70:a6,UNKNOWN,-96 
1354058708493522174;compass/AK8973 Magnetic Field;-31.3125 47.9375 -45.9375 3
1354058708493491174;accel/kr3dh;0.0 0.16344418 9.80665 3
1354058708493491174;linaccel/Linear Acceleration Sensor;0.053133797 0.023567602 -0.056848526 3
1354058708493430174;orientation/AK8973 Compass;32.171875 -0.953125 -0.0 1
1354058708586845174;compass/AK8973 Magnetic Field;-31.5625 48.4375 -45.9375 3
1354058708586814174;orientation/AK8973 Compass;32.203125 -0.875 0.21875 1
1354058708586814174;accel/kr3dh;0.040861044 0.14982383 9.901993 3
1354058708586814174;linaccel/Linear Acceleration Sensor;0.089877486 0.013489023 0.037469864 3
1354058708681632174;compass/AK8973 Magnetic Field;-31.8125 48.1875 -45.9375 3
1354058708681602174;accel/kr3dh;-0.05448139 0.24516626 9.80665 3
1354058708681602174;linaccel/Linear Acceleration Sensor;-0.015597466 0.10865967 -0.062898636 3
1354058708681541174;orientation/AK8973 Compass;32.25 -1.421875 -0.3125 1
1354058708776054174;orientation/AK8973 Compass;32.28125 -1.09375 0.21875 1
1354058708776054174;accel/kr3dh;0.040861044 0.19068487 9.915613 3
1354058708776054174;compass/AK8973 Magnetic Field;-31.8125 48.1875 -45.6875 3
1354058708776054174;linaccel/Linear Acceleration Sensor;0.063023694 0.043034643 0.04552746 3
1354058708871696174;compass/AK8973 Magnetic Field;-31.3125 48.1875 -45.9375 3
1354058708871635174;accel/kr3dh;0.040861044 0.10896278 9.80665 3
1354058708871635174;linaccel/Linear Acceleration Sensor;0.046482004 -0.058736585 -0.05912018 3
1354058708871604174;orientation/AK8973 Compass;32.296875 -0.640625 0.25 1
1354058708967490174;compass/AK8973 Magnetic Field;-31.0625 47.9375 -45.6875 3
1354058708967460174;accel/kr3dh;-0.013620348 0.10896278 9.874752 3
1354058708967460174;linaccel/Linear Acceleration Sensor;-0.020921659 -0.07324167 0.014289856 3
1354058708967429174;orientation/AK8973 Compass;32.328125 -0.640625 -0.078125 1
1354058709061637174;accel/kr3dh;-0.027240695 0.06810174 9.820271 3
1354058709061637174;compass/AK8973 Magnetic Field;-31.0625 47.6875 -45.6875 3
1354058709061637174;linaccel/Linear Acceleration Sensor;-0.042799078 -0.10878614 -0.03542328 3
1354058709061607174;orientation/AK8973 Compass;32.375 -0.390625 -0.171875 1
1354058709156943174;compass/AK8973 Magnetic Field;-31.0625 47.9375 -45.9375 3
1354058709156882174;accel/kr3dh;0.0 0.10896278 9.874752 3
1354058709156882174;linaccel/Linear Acceleration Sensor;-0.015622538 -0.042334966 0.023563385 3
1354058709156852174;orientation/AK8973 Compass;32.390625 -0.640625 -0.0 1
1354058709159000000;rawNmea;$GPGSV,3,1,12,14,50,180,35,16,01,243,22,03,42,272,,06,50,248,*7B
1354058709161000000;rawNmea;$GPGSV,3,2,12,09,14,066,,15,06,039,,18,52,046,,19,32,306,*7F
1354058709163000000;rawNmea;$GPGSV,3,3,12,21,40,111,,22,69,312,,24,15,073,,27,,,*40
1354058709167000000;rawNmea;$GPGGA,232507.0,,,,,0,,,,,,,,*79
1354058709168000000;rawNmea;$GPVTG,,T,,M,,N,,K,N*2C
1354058709170000000;rawNmea;$GPRMC,,V,,,,,,,,,,N*53
1354058709174000000;rawNmea;$GPGSA,A,1,,,,,,,,,,,,,,,*1E
1354058709249930174;compass/AK8973 Magnetic Field;-31.3125 47.9375 -45.6875 3
1354058709249900174;accel/kr3dh;0.0 0.14982383 9.861132 3
1354058709249900174;linaccel/Linear Acceleration Sensor;-0.007658577 0.0290353 0.012809753 3
1354058709249869174;orientation/AK8973 Compass;32.421875 -0.875 -0.0 1
1354058709320457276;wifi;00:17:df:a7:4c:f2,UNKNOWN,-76 00:22:90:39:07:12,UNKNOWN,-81 00:17:df:a7:4c:f5,UNKNOWN,-76 00:22:90:39:07:15,UNKNOWN,-80 00:17:df:a7:33:15,UNKNOWN,-89 dc:7b:94:35:25:05,UNKNOWN,-93 00:17:df:a7:4c:f1,UNKNOWN,-76 00:17:df:a7:4c:f0,UNKNOWN,-76 00:17:df:a7:4c:f6,UNKNOWN,-77 00:22:90:39:07:10,UNKNOWN,-80 00:22:90:39:07:11,UNKNOWN,-81 00:22:90:39:07:16,UNKNOWN,-81 dc:7b:94:35:25:01,UNKNOWN,-86 00:26:cb:b9:54:70,UNKNOWN,-89 00:17:df:a7:33:16,UNKNOWN,-89 00:19:cb:e1:21:50,UNKNOWN,-94 00:17:df:a7:33:10,UNKNOWN,-92 
1354058709345756174;accel/kr3dh;-0.013620348 0.23154591 9.779409 3
1354058709345756174;compass/AK8973 Magnetic Field;-31.8125 47.9375 -45.9375 3
1354058709345756174;linaccel/Linear Acceleration Sensor;-0.011108508 0.1287877 -0.068556786 3
1354058709345725174;orientation/AK8973 Compass;32.453125 -1.34375 -0.078125 1
1354058709439414174;orientation/AK8973 Compass;32.484375 -0.5625 0.25 1
1354058709439414174;accel/kr3dh;0.040861044 0.095342435 9.80665 3
1354058709439414174;compass/AK8973 Magnetic Field;-31.8125 48.1875 -45.9375 3
1354058709439414174;linaccel/Linear Acceleration Sensor;0.04877542 -0.012969844 -0.039491653 3
