1354230723130732910;metadata_log_format;3 # nanosecond timing
1354230723131831543;metadata_system_time;1354230723132
1354230723132350341;metadata_surveyName;/sdcard/LocationTracker/1354230723116.txt
1354230723133143798;metadata_notes;
1354230723134120361;metadata_deviceInfo;Board: bryce Brand: Verizon Device: bryce Hardware: qcom Manufacturer: LGE Model: VS910 4G Product: bryce
1354227638817000000;latLngE7LastKnown;378754031 -1222587216 50.0 -1.0 -1.0
1354230723210291660;compass/AK8973 Magnetic Field;-10.3125 20.4375 -56.8125 3
1354230723210261660;orientation/AK8973 Compass;358.26563 1.09375 1.90625 1
1354230723210261660;accel/kr3dh;0.32688835 -0.19068487 9.888372 3
1354230723210261660;linaccel/Linear Acceleration Sensor;0.0 0.0 0.0 3
1354230723302393660;accel/kr3dh;0.21792556 -0.12258313 9.779409 3
1354230723302393660;linaccel/Linear Acceleration Sensor;-0.107523665 0.06720229 -0.10752487 3
1354230723302363660;orientation/AK8973 Compass;11.4375 0.734375 1.28125 1
1354230723425593660;orientation/AK8973 Compass;16.75 0.734375 1.28125 1
1354230723425593660;accel/kr3dh;0.21792556 -0.12258313 9.656827 3
1354230723425593660;compass/AK8973 Magnetic Field;-9.3125 20.4375 -57.8125 3
1354230723425593660;linaccel/Linear Acceleration Sensor;-0.09170683 0.057316743 -0.21020794 3
1354230723521601660;orientation/AK8973 Compass;17.15625 0.25 1.375 1
1354230723521601660;accel/kr3dh;0.23154591 -0.040861044 9.656827 3
1354230723521601660;compass/AK8973 Magnetic Field;-10.0625 20.4375 -57.8125 3
1354230723521601660;linaccel/Linear Acceleration Sensor;-0.052036628 0.121396646 -0.17156982 3
1354230723621241660;compass/AK8973 Magnetic Field;-10.0625 20.6875 -57.8125 3
1354230723621210660;accel/kr3dh;0.21792556 -0.013620348 9.738548 3
1354230723621210660;linaccel/Linear Acceleration Sensor;-0.031923965 0.11900443 -0.028679848 3
1354230723621180660;orientation/AK8973 Compass;17.53125 0.078125 1.28125 1
1354230723719996660;compass/AK8973 Magnetic Field;-10.0625 20.6875 -58.0625 3
1354230723719965660;accel/kr3dh;0.24516626 -0.040861044 9.670447 3
1354230723719965660;linaccel/Linear Acceleration Sensor;0.020244911 0.05482241 -0.039855003 3
1354230723719935660;orientation/AK8973 Compass;17.859375 0.25 1.453125 1
