1364533969494925781;metadata_log_format;3 # nanosecond timing
1364533969496054932;metadata_system_time;1364533969496
1364533969497000978;metadata_surveyName;/sdcard/LocationTracker/1364533969471.txt
1364533969498221681;metadata_notes;
1364533969499350831;metadata_deviceInfo;Board: bryce Brand: Verizon Device: bryce Hardware: qcom Manufacturer: LGE Model: VS910 4G Product: bryce
1364533946168000000;latLngE7LastKnown;378749268 -1222585587 55.0 -1.0 -1.0
1364533969564963462;compass/AK8973 Magnetic Field;-41.3125 57.4375 -4.4375 3
1364533969564932462;orientation/AK8973 Compass;22.46875 5.015625 3.671875 1
1364533969564932462;accel/kr3dh;0.7763598 -1.0623871 12.081248 3
1364533969564932462;linaccel/Linear Acceleration Sensor;0.0 0.0 0.0 3
1364533969657675462;compass/AK8973 Magnetic Field;-42.375 56.4375 -2.375 3
1364533969657645462;orientation/AK8973 Compass;29.71875 5.15625 2.546875 1
1364533969657645462;accel/kr3dh;0.50395286 -1.0215261 11.318509 3
1364533969657645462;linaccel/Linear Acceleration Sensor;-0.2687354 0.040310383 -0.7524595 3
1364533969755484462;compass/AK8973 Magnetic Field;-42.375 55.4375 -1.375 3
1364533969755453462;accel/kr3dh;0.54481393 -0.87170225 10.773695 3
1364533969755453462;linaccel/Linear Acceleration Sensor;-0.20518023 0.18423337 -1.223175 3
1364533969755392462;orientation/AK8973 Compass;33.5625 4.625 2.875 1
1364533969854208462;compass/AK8973 Magnetic Field;-42.125 56.1875 -2.625 3
1364533969854178462;accel/kr3dh;0.55843425 -0.6537767 10.20164 3
1364533969854178462;linaccel/Linear Acceleration Sensor;-0.13663566 0.37616462 -1.57166 3
1364533969854117462;orientation/AK8973 Compass;33.765625 3.671875 3.140625 1
1364533969951102462;compass/AK8973 Magnetic Field;-42.125 55.9375 -2.125 3
1364533969951041462;accel/kr3dh;0.55843425 -0.6810174 9.929234 3
1364533969951041462;linaccel/Linear Acceleration Sensor;-0.06503391 0.28613752 -1.4455471 3
1364533969951010462;orientation/AK8973 Compass;33.96875 3.921875 3.21875 1
1364533970047873462;accel/kr3dh;0.58567494 -0.6401563 9.901993 3
1364533970047873462;compass/AK8973 Magnetic Field;-42.125 55.6875 -1.625 3
1364533970047873462;linaccel/Linear Acceleration Sensor;0.020471573 0.22714013 -0.9597645 3
1364533970047842462;orientation/AK8973 Compass;34.15625 3.6875 3.390625 1
1364533970142599462;compass/AK8973 Magnetic Field;-42.625 55.9375 -2.125 3
