1364533497824793946;metadata_log_format;3 # nanosecond timing
1364533497825892579;metadata_system_time;1364533497826
1364533497826747071;metadata_surveyName;/sdcard/LocationTracker/1364533497811.txt
1364533497828333986;metadata_notes;
1364533497829402101;metadata_deviceInfo;Board: bryce Brand: Verizon Device: bryce Hardware: qcom Manufacturer: LGE Model: VS910 4G Product: bryce
1364533484190000000;latLngE7LastKnown;378747774 -1222585595 62.0 -1.0 -1.0
1364533497888696994;orientation/AK8973 Compass;12.75 0.171875 -1.125 1
1364533497888696994;accel/kr3dh;-0.19068487 -0.027240695 9.697687 3
1364533497888696994;compass/AK8973 Magnetic Field;-39.3125 106.875 -56.0 3
1364533497888696994;linaccel/Linear Acceleration Sensor;0.0 0.0 0.0 3
1364533497981378994;compass/AK8973 Magnetic Field;-38.3125 108.875 -57.0 3
1364533497981348994;orientation/AK8973 Compass;16.40625 0.34375 -1.28125 1
1364533497981348994;accel/kr3dh;-0.21792556 -0.05448139 9.697687 3
1364533497981348994;linaccel/Linear Acceleration Sensor;-0.026874319 -0.02687432 0.0 3
1364533498075311994;accel/kr3dh;-0.19068487 -0.027240695 9.724928 3
1364533498075311994;compass/AK8973 Magnetic Field;-39.3125 107.875 -58.0 3
1364533498075311994;linaccel/Linear Acceleration Sensor;0.002122432 0.002122432 0.026857376 3
1364533498075281994;orientation/AK8973 Compass;16.671875 0.171875 -1.125 1
1364533498169763994;compass/AK8973 Magnetic Field;-38.8125 107.375 -57.0 3
1364533498169702994;accel/kr3dh;-0.19068487 -0.05448139 9.711308 3
1364533498169702994;linaccel/Linear Acceleration Sensor;0.0053165406 -0.021535125 0.011249542 3
1364533498169672994;orientation/AK8973 Compass;16.90625 0.3125 -1.125 1
1364533498264825994;compass/AK8973 Magnetic Field;-38.8125 107.625 -57.25 3
1364533498264764994;accel/kr3dh;-0.21792556 -0.040861044 9.711308 3
1364533498264764994;linaccel/Linear Acceleration Sensor;-0.01911132 -0.0034770481 0.0068998337 3
1364533498264734994;orientation/AK8973 Compass;17.125 0.25 -1.28125 1
1364533498359125994;compass/AK8973 Magnetic Field;-39.0625 107.375 -57.75 3
1364533498359094994;orientation/AK8973 Compass;17.34375 0.171875 -1.28125 1
1364533498359094994;accel/kr3dh;-0.21792556 -0.027240695 9.711308 3
1364533498359094994;linaccel/Linear Acceleration Sensor;-0.017340124 0.013852304 0.001791954 3
1364533498452753994;compass/AK8973 Magnetic Field;-39.3125 107.375 -57.75 3
1364533498452722994;orientation/AK8973 Compass;17.5625 0.171875 -1.203125 1
1364533498452722994;accel/kr3dh;-0.20430522 -0.027240695 9.711308 3
1364533498452722994;linaccel/Linear Acceleration Sensor;-0.0012322217 0.015186721 -0.001660347 3
1364533498547082994;compass/AK8973 Magnetic Field;-39.3125 107.625 -57.75 3
1364533498547052994;accel/kr3dh;-0.19068487 -0.027240695 9.697687 3
1364533498547052994;linaccel/Linear Acceleration Sensor;0.015904143 0.012974909 -0.016055107 3
1364533498547021994;orientation/AK8973 Compass;17.75 0.171875 -1.125 1
1364533498616694579;wifi;00:24:14:31:f6:e1,UNKNOWN,-84 c0:c1:c0:23:05:83,UNKNOWN,-80 00:24:14:31:e6:21,UNKNOWN,-88 00:24:14:31:e5:91,UNKNOWN,-97 00:24:14:31:e6:23,UNKNOWN,-87 00:24:14:31:f6:e3,UNKNOWN,-87 00:24:14:31:f7:a3,UNKNOWN,-93 00:24:14:31:f6:e2,UNKNOWN,-85 00:24:14:31:f6:e0,UNKNOWN,-86 00:24:14:31:f6:e4,UNKNOWN,-86 00:24:14:31:f6:e9,UNKNOWN,-86 00:24:14:31:e6:29,UNKNOWN,-87 00:24:14:31:e6:24,UNKNOWN,-88 00:24:14:31:e6:20,UNKNOWN,-88 00:24:14:31:e6:22,UNKNOWN,-89 00:24:14:31:f7:a9,UNKNOWN,-93 00:24:14:31:f7:a0,UNKNOWN,-93 00:24:14:31:f7:a2,UNKNOWN,-93 
1364533498597000000;latLngE7Network;378748615 -1222585202 55.0 -1.0 -1.0
1364533498644403994;accel/kr3dh;-0.19068487 -0.040861044 9.779409 3
1364533498644403994;linaccel/Linear Acceleration Sensor;0.017512307 -0.0054794587 0.066290855 3
1364533498644373994;orientation/AK8973 Compass;17.9375 0.25 -1.125 1
1364533498739374994;compass/AK8973 Magnetic Field;-39.0625 107.625 -57.25 3
1364533498739343994;accel/kr3dh;-0.20430522 -0.027240695 9.738548 3
1364533498739343994;linaccel/Linear Acceleration Sensor;0.0013555735 0.0040528085 0.02311802 3
1364533498739313994;orientation/AK8973 Compass;18.09375 0.171875 -1.203125 1
