1354051915513465331;metadata_log_format;3 # nanosecond timing
1354051915516303466;metadata_system_time;1354051915517
1354051915517859862;metadata_surveyName;/sdcard/LocationTracker/1354051915499.txt
1354051915519843504;metadata_notes;
1354051915539313718;metadata_deviceInfo;Board: bryce Brand: Verizon Device: bryce Hardware: qcom Manufacturer: LGE Model: VS910 4G Product: bryce
1354051904936000000;latLngE7LastKnown;378754501 -1222586434 50.0 -1.0 -1.0
1354051915593055160;compass/AK8973 Magnetic Field;22.0625 48.6875 0.8125 3
1354051915593024160;accel/kr3dh;-0.24516626 -0.0 9.820271 3
1354051915593024160;linaccel/Linear Acceleration Sensor;0.0 0.0 0.0 3
1354051915592963160;orientation/AK8973 Compass;338.25 0.0 -1.421875 1
1354051915689002160;compass/AK8973 Magnetic Field;21.0625 49.6875 -0.1875 3
1354051915688971160;orientation/AK8973 Compass;338.17188 0.0 -1.125 1
1354051915688971160;accel/kr3dh;-0.19068487 -0.0 9.861132 3
1354051915688971160;linaccel/Linear Acceleration Sensor;0.053661287 -0.0 0.04024601 3
1354051915780890160;accel/kr3dh;-0.13620348 -0.12258313 9.915613 3
1354051915780890160;compass/AK8973 Magnetic Field;20.0625 48.6875 1.8125 3
1354051915780890160;linaccel/Linear Acceleration Sensor;0.10324091 -0.1209762 0.090872765 3
1354051915780860160;orientation/AK8973 Compass;338.14063 0.703125 -0.78125 1
1354051915878119160;orientation/AK8973 Compass;338.0625 -0.171875 -0.734375 1
1354051915878119160;accel/kr3dh;-0.12258313 0.027240695 9.765789 3
1354051915878119160;compass/AK8973 Magnetic Field;21.0625 49.1875 0.0625 3
1354051915878119160;linaccel/Linear Acceleration Sensor;0.100891136 0.036807053 -0.06956196 3
1354051915972571160;compass/AK8973 Magnetic Field;20.8125 48.6875 0.0625 3
1354051915972541160;accel/kr3dh;-0.05448139 -0.027240695 9.861132 3
1354051915972541160;linaccel/Linear Acceleration Sensor;0.14030707 -0.0045161545 0.014028549 3
1354051915972510160;orientation/AK8973 Compass;337.98438 0.171875 -0.3125 1
1354051916066962160;compass/AK8973 Magnetic Field;20.5625 48.1875 -0.1875 3
1354051916066931160;accel/kr3dh;-0.06810174 -0.040861044 9.765789 3
1354051916066931160;linaccel/Linear Acceleration Sensor;0.08821235 -0.008047052 -0.08449268 3
1354051916066901160;orientation/AK8973 Compass;337.92188 0.25 -0.390625 1
1354051916161139160;compass/AK8973 Magnetic Field;20.5625 47.9375 -0.6875 3
1354051916161109160;accel/kr3dh;-0.08172209 -0.013620348 9.779409 3
1354051916161109160;linaccel/Linear Acceleration Sensor;0.034541182 0.020947553 -0.06116581 3
1354051916161078160;orientation/AK8973 Compass;337.84375 0.078125 -0.484375 1
1354051916256079160;orientation/AK8973 Compass;337.76563 0.0 -0.734375 1
1354051916256079160;accel/kr3dh;-0.12258313 -0.0 9.79303 3
1354051916256079160;compass/AK8973 Magnetic Field;20.5625 47.4375 0.0625 3
1354051916256079160;linaccel/Linear Acceleration Sensor;-0.037625425 0.030746266 -0.028367043 3
1354051916352332160;orientation/AK8973 Compass;337.6875 0.5625 -0.5625 1
1354051916352332160;accel/kr3dh;-0.095342435 -0.095342435 9.983715 3
1354051916352332160;compass/AK8973 Magnetic Field;20.5625 47.4375 -0.4375 3
1354051916352332160;linaccel/Linear Acceleration Sensor;-0.023945555 -0.06951142 0.18021584 3
1354051916427283688;wifi;00:17:df:a7:4c:f2,UNKNOWN,-63 00:22:90:39:07:12,UNKNOWN,-73 00:17:df:a7:33:12,UNKNOWN,-85 00:22:90:39:07:15,UNKNOWN,-73 00:17:df:a7:33:15,UNKNOWN,-85 00:22:90:39:07:16,UNKNOWN,-73 00:22:90:39:07:10,UNKNOWN,-73 00:22:90:39:07:11,UNKNOWN,-74 00:17:df:a7:33:16,UNKNOWN,-85 00:17:df:a7:33:10,UNKNOWN,-85 00:17:df:a7:33:11,UNKNOWN,-85 00:26:cb:b9:54:70,UNKNOWN,-93 00:22:90:39:70:a1,UNKNOWN,-94 
1354051916448340160;compass/AK8973 Magnetic Field;20.8125 47.1875 -0.1875 3
1354051916448279160;accel/kr3dh;-0.16344418 -0.027240695 9.820271 3
1354051916448279160;linaccel/Linear Acceleration Sensor;-0.08685519 -0.0025128033 0.016986847 3
1354051916448249160;orientation/AK8973 Compass;337.59375 0.171875 -0.953125 1
1354051916422000000;latLngE7Network;378754291 -1222586992 50.0 -1.0 -1.0
1354051916542395160;compass/AK8973 Magnetic Field;21.3125 46.6875 0.0625 3
1354051916542334160;accel/kr3dh;-0.14982383 -0.027240695 9.765789 3
1354051916542334160;linaccel/Linear Acceleration Sensor;-0.056066513 0.0028096065 -0.057593346 3
1354051916542304160;orientation/AK8973 Compass;337.46875 0.171875 -0.875 1
1354051916639685160;compass/AK8973 Magnetic Field;21.0625 46.9375 0.0625 3
1354051916639655160;accel/kr3dh;-0.13620348 -0.0 9.820271 3
1354051916639655160;linaccel/Linear Acceleration Sensor;-0.019772723 0.03730607 -0.024615288 3
1354051916639563160;orientation/AK8973 Compass;337.35938 0.0 -0.78125 1
1354051916743506160;accel/kr3dh;-0.16344418 -0.095342435 9.765789 3
1354051916743506160;compass/AK8973 Magnetic Field;21.0625 47.1875 0.3125 3
1354051916743506160;linaccel/Linear Acceleration Sensor;-0.025956795 -0.056546126 -0.07814598 3
1354051916743476160;orientation/AK8973 Compass;337.26563 0.5625 -0.953125 1
1354051916778000000;rawNmea;$GPGSV,3,1,11,03,11,316,,06,29,312,,15,38,075,,16,24,289,*7E
1354051916779000000;rawNmea;$GPGSV,3,2,11,18,74,243,,21,69,014,,22,33,233,,26,15,043,*7B
1354051916781000000;rawNmea;$GPGSV,3,3,11,29,35,146,,30,21,254,,27,,,*71
1354051916785000000;rawNmea;$GPGGA,213155.4,,,,,0,,,,,,,,*7D
1354051916787000000;rawNmea;$GPVTG,,T,,M,,N,,K,N*2C
1354051916789000000;rawNmea;$GPRMC,,V,,,,,,,,,,N*53
1354051916791000000;rawNmea;$GPGSA,A,1,,,,,,,,,,,,,,,*1E
1354051916836341160;orientation/AK8973 Compass;337.21875 0.171875 -0.953125 1
1354051916836341160;accel/kr3dh;-0.16344418 -0.027240695 9.874752 3
1354051916836341160;compass/AK8973 Magnetic Field;20.8125 47.6875 0.5625 3
1354051916836341160;linaccel/Linear Acceleration Sensor;-0.013632208 0.009610163 0.047976494 3
1354051916933753160;compass/AK8973 Magnetic Field;20.3125 48.4375 0.3125 3
1354051916933722160;accel/kr3dh;-0.13620348 -0.08172209 9.779409 3
1354051916933722160;linaccel/Linear Acceleration Sensor;0.019228578 -0.043717764 -0.028962135 3
1354051916933661160;orientation/AK8973 Compass;337.21875 0.46875 -0.8125 1
1354051917029364160;compass/AK8973 Magnetic Field;20.5625 47.9375 0.5625 3
1354051917029303160;accel/kr3dh;-0.21792556 -0.12258313 9.861132 3
1354051917029303160;linaccel/Linear Acceleration Sensor;-0.060034484 -0.07705283 0.058610916 3
1354051917029273160;orientation/AK8973 Compass;337.1875 0.703125 -1.265625 1
1354051917123847160;orientation/AK8973 Compass;337.14063 0.46875 -0.734375 1
1354051917123847160;accel/kr3dh;-0.12258313 -0.08172209 9.711308 3
1354051917123847160;compass/AK8973 Magnetic Field;20.8125 47.9375 0.5625 3
1354051917123847160;linaccel/Linear Acceleration Sensor;0.03775131 -0.022650663 -0.095516205 3
1354051917219306394;wifi;00:17:df:a7:4c:f2,UNKNOWN,-64 00:17:df:a7:33:12,UNKNOWN,-87 00:22:90:39:70:a2,UNKNOWN,-95 00:17:df:a7:4c:f5,UNKNOWN,-63 00:17:df:a7:33:15,UNKNOWN,-88 00:22:90:39:70:a5,UNKNOWN,-95 00:17:df:a7:4c:f0,UNKNOWN,-63 00:17:df:a7:4c:f6,UNKNOWN,-63 00:17:df:a7:4c:f1,UNKNOWN,-64 00:17:df:a7:33:10,UNKNOWN,-88 00:17:df:a7:33:16,UNKNOWN,-88 00:17:df:a7:33:11,UNKNOWN,-88 00:22:90:39:70:a1,UNKNOWN,-93 
1354051917222602160;compass/AK8973 Magnetic Field;20.8125 47.4375 0.8125 3
1354051917222571160;accel/kr3dh;-0.08172209 -0.05448139 9.724928 3
1354051917222571160;linaccel/Linear Acceleration Sensor;0.08044372 0.021564443 -0.08342934 3
1354051917222510160;orientation/AK8973 Compass;337.09375 0.3125 -0.484375 1
1354051917323584160;compass/AK8973 Magnetic Field;21.0625 47.4375 1.5625 3
1354051917323554160;accel/kr3dh;-0.14982383 0.027240695 9.80665 3
1354051917323554160;linaccel/Linear Acceleration Sensor;0.0065451562 0.11278725 0.011772156 3
1354051917323523160;orientation/AK8973 Compass;337.03125 -0.171875 -0.875 1
1354051917418189160;compass/AK8973 Magnetic Field;21.0625 47.9375 1.5625 3
1354051917418158160;accel/kr3dh;-0.12258313 -0.013620348 9.833891 3
1354051917418158160;linaccel/Linear Acceleration Sensor;0.019899882 0.06406445 0.058813095 3
1354051917418128160;orientation/AK8973 Compass;336.98438 0.078125 -0.734375 1
1354051917514014160;compass/AK8973 Magnetic Field;20.8125 47.9375 1.8125 3
1354051917513983160;orientation/AK8973 Compass;336.95313 0.390625 -0.890625 1
1354051917513983160;accel/kr3dh;-0.14982383 -0.06810174 9.738548 3
1354051917513983160;linaccel/Linear Acceleration Sensor;-0.021518156 -0.014206141 -0.026247978 3
1354051917609046160;compass/AK8973 Magnetic Field;20.5625 47.9375 1.3125 3
1354051917609015160;accel/kr3dh;-0.095342435 -0.05448139 9.80665 3
1354051917609015160;linaccel/Linear Acceleration Sensor;0.026790291 -0.024029499 0.037042618 3
1354051917608985160;orientation/AK8973 Compass;336.9375 0.3125 -0.5625 1
1354051917704657160;compass/AK8973 Magnetic Field;20.3125 47.9375 0.8125 3
