1354133506353688234;metadata_log_format;3 # nanosecond timing
1354133506354481691;metadata_system_time;1354133506355
1354133506354878419;metadata_surveyName;/sdcard/LocationTracker/1354133506340.txt
1354133506355397218;metadata_notes;
1354133506356129640;metadata_deviceInfo;Board: bryce Brand: Verizon Device: bryce Hardware: qcom Manufacturer: LGE Model: VS910 4G Product: bryce
1354132805256000000;latLngE7LastKnown;378754034 -1222587272 50.0 -1.0 -1.0
1354133506401935589;accel/kr3dh;0.040861044 0.027240695 9.615966 3
1354133506401935589;compass/AK8973 Magnetic Field;2.875 48.6875 -58.875 3
1354133506401935589;linaccel/Linear Acceleration Sensor;0.0 0.0 0.0 3
1354133506401905589;orientation/AK8973 Compass;351.92188 -0.171875 0.25 1
1354133506494251589;accel/kr3dh;0.05448139 0.040861044 9.575105 3
1354133506494251589;compass/AK8973 Magnetic Field;0.8125 48.6875 -56.8125 3
1354133506494251589;linaccel/Linear Acceleration Sensor;0.013439298 0.013439296 -0.040317535 3
1354133506494221589;orientation/AK8973 Compass;352.34375 -0.25 0.34375 1
1354133506586567589;orientation/AK8973 Compass;352.59375 0.0 0.34375 1
1354133506586567589;accel/kr3dh;0.05448139 -0.0 9.575105 3
1354133506586567589;compass/AK8973 Magnetic Field;2.875 48.6875 -57.8125 3
1354133506586567589;linaccel/Linear Acceleration Sensor;0.012411974 -0.02790592 -0.03723526 3
1354133506681751589;compass/AK8973 Magnetic Field;2.3125 48.9375 -57.5625 3
1354133506681721589;orientation/AK8973 Compass;352.85938 -0.078125 0.34375 1
1354133506681721589;accel/kr3dh;0.05448139 0.013620348 9.575105 3
1354133506681721589;linaccel/Linear Acceleration Sensor;0.009721801 -0.013886086 -0.029165268 3
1354133506780872589;compass/AK8973 Magnetic Field;1.8125 49.1875 -57.0625 3
1354133506780842589;orientation/AK8973 Compass;353.15625 -0.25 0.34375 1
1354133506780842589;accel/kr3dh;0.05448139 0.040861044 9.575105 3
1354133506780842589;linaccel/Linear Acceleration Sensor;0.005605519 0.016297426 -0.01681614 3
1354133506881336589;compass/AK8973 Magnetic Field;1.8125 49.4375 -56.8125 3
1354133506881306589;accel/kr3dh;0.040861044 0.013620348 9.602345 3
1354133506881306589;linaccel/Linear Acceleration Sensor;-0.011633385 -0.007294678 0.021518707 3
1354133506881245589;orientation/AK8973 Compass;353.4375 -0.078125 0.25 1
1354133506981434589;compass/AK8973 Magnetic Field;1.3125 49.4375 -56.5625 3
1354133506981403589;accel/kr3dh;0.05448139 -0.013620348 9.575105 3
1354133506981403589;linaccel/Linear Acceleration Sensor;7.869862E-4 -0.03281064 -0.0010652542 3
1354133506981342589;orientation/AK8973 Compass;353.73438 0.078125 0.34375 1
1354133507079334589;compass/AK8973 Magnetic Field;1.0625 49.6875 -56.3125 3
1354133507079304589;orientation/AK8973 Compass;354.03125 -0.078125 0.34375 1
1354133507079304589;accel/kr3dh;0.05448139 0.013620348 9.602345 3
1354133507079304589;linaccel/Linear Acceleration Sensor;0.00189716 -0.003778833 0.024157524 3
1354133507175556589;compass/AK8973 Magnetic Field;1.3125 49.4375 -56.5625 3
1354133507175495589;accel/kr3dh;0.08172209 0.013620348 9.575105 3
1354133507175495589;linaccel/Linear Acceleration Sensor;0.030144345 4.2022113E-4 -0.008108139 3
1354133507175464589;orientation/AK8973 Compass;354.28125 -0.078125 0.484375 1
1354133507278065675;wifi;00:17:df:a7:4c:f2,UNKNOWN,-74 00:22:90:39:07:12,UNKNOWN,-78 00:22:90:39:70:a2,UNKNOWN,-91 00:17:df:a7:4c:f5,UNKNOWN,-72 00:22:90:39:70:a5,UNKNOWN,-91 00:17:df:a7:4c:f0,UNKNOWN,-71 00:17:df:a7:4c:f1,UNKNOWN,-72 00:17:df:a7:4c:f6,UNKNOWN,-72 00:22:90:39:07:16,UNKNOWN,-78 00:22:90:39:07:11,UNKNOWN,-77 00:22:90:39:07:10,UNKNOWN,-89 00:22:90:39:70:a6,UNKNOWN,-91 
1354133507274677589;compass/AK8973 Magnetic Field;1.3125 49.1875 -57.0625 3
1354133507274647589;accel/kr3dh;0.05448139 -0.013620348 9.602345 3
1354133507274647589;linaccel/Linear Acceleration Sensor;9.3683973E-4 -0.021734405 0.014631271 3
1354133507274586589;orientation/AK8973 Compass;354.51563 0.078125 0.34375 1
1354133507281000000;latLngE7Network;378754688 -1222586554 50.0 -1.0 -1.0
1354133507367817589;orientation/AK8973 Compass;354.73438 0.078125 0.25 1
1354133507367817589;accel/kr3dh;0.040861044 -0.013620348 9.575105 3
1354133507367817589;compass/AK8973 Magnetic Field;1.5625 49.4375 -57.3125 3
1354133507367817589;linaccel/Linear Acceleration Sensor;-0.016920343 -0.018029407 -0.014798164 3
1354133507462604589;accel/kr3dh;0.040861044 0.027240695 9.575105 3
