1364531509923361816;metadata_log_format;3 # nanosecond timing
1364531509923880615;metadata_system_time;1364531509923
1364531509924246826;metadata_surveyName;/sdcard/LocationTracker/1364531509915.txt
1364531509924674072;metadata_notes;
1364531509925040283;metadata_deviceInfo;Board: bryce Brand: Verizon Device: bryce Hardware: qcom Manufacturer: LGE Model: VS910 4G Product: bryce
1364531496997000000;latLngE7LastKnown;378749490 -1222585522 55.0 -1.0 -1.0
1364531509969168194;accel/kr3dh;-0.027240695 -0.0 9.697687 3
1364531509969168194;compass/AK8973 Magnetic Field;-12.0 61.5 -7.4375 3
1364531509969168194;linaccel/Linear Acceleration Sensor;0.0 0.0 0.0 3
1364531509969137194;orientation/AK8973 Compass;6.46875 0.0 -0.171875 1
1364531510062857194;orientation/AK8973 Compass;6.859375 0.0 -0.0 1
1364531510062857194;accel/kr3dh;0.0 -0.0 9.711308 3
1364531510062857194;compass/AK8973 Magnetic Field;-14.0625 62.5 -5.4375 3
1364531510062857194;linaccel/Linear Acceleration Sensor;0.026860926 -0.0 0.013430595 3
1364531510157126194;compass/AK8973 Magnetic Field;-14.0625 59.4375 -4.4375 3
1364531510157095194;accel/kr3dh;0.0 0.013620348 9.656827 3
1364531510157095194;linaccel/Linear Acceleration Sensor;0.024691302 0.013426854 -0.0413599 3
1364531510157034194;orientation/AK8973 Compass;7.265625 -0.078125 -0.0 1
1364531510256399194;compass/AK8973 Magnetic Field;-13.25 61.25 -5.4375 3
1364531510256369194;accel/kr3dh;0.0 -0.013620348 9.697687 3
1364531510256369194;linaccel/Linear Acceleration Sensor;0.018870194 -0.014575205 7.791519E-4 3
1364531510256308194;orientation/AK8973 Compass;7.578125 0.078125 -0.0 1
1364531510351584194;orientation/AK8973 Compass;7.875 0.078125 -0.0 1
1364531510351584194;compass/AK8973 Magnetic Field;-13.5 61.25 -4.9375 3
1364531510444632194;compass/AK8973 Magnetic Field;-13.25 60.6875 -5.1875 3
1364531510444601194;accel/kr3dh;0.0 -0.05448139 9.697687 3
1364531510444601194;linaccel/Linear Acceleration Sensor;-0.0017504268 -0.047977217 0.011090279 3
1364531510444571194;orientation/AK8973 Compass;8.15625 0.34375 -0.0 1
1364531510540396194;compass/AK8973 Magnetic Field;-12.75 61.5 -5.4375 3
1364531510540335194;accel/kr3dh;0.040861044 -0.0 9.697687 3
1364531510540335194;linaccel/Linear Acceleration Sensor;0.032555193 0.015643056 0.0136117935 3
1364531510540304194;orientation/AK8973 Compass;8.375 0.0 0.25 1
1364531510635336194;compass/AK8973 Magnetic Field;-12.75 61.25 -5.9375 3
1364531510635306194;accel/kr3dh;0.0 -0.0 9.697687 3
1364531510635306194;linaccel/Linear Acceleration Sensor;-0.010880432 0.025852706 0.011180878 3
1364531510635275194;orientation/AK8973 Compass;8.59375 0.0 -0.0 1
1364531510750327149;wifi;00:24:14:31:f9:41,UNKNOWN,-81 00:24:14:31:e6:21,UNKNOWN,-83 00:24:14:31:f8:a1,UNKNOWN,-86 00:24:14:31:f6:e1,UNKNOWN,-92 00:24:14:31:f9:43,UNKNOWN,-77 00:24:14:31:f8:a3,UNKNOWN,-87 00:24:14:31:e6:23,UNKNOWN,-88 00:24:14:31:f9:44,UNKNOWN,-77 00:24:14:31:f9:42,UNKNOWN,-77 00:24:14:31:f9:49,UNKNOWN,-81 00:24:14:31:f9:40,UNKNOWN,-82 00:24:14:31:e6:20,UNKNOWN,-83 00:24:14:31:e6:29,UNKNOWN,-84 00:24:14:31:f8:a9,UNKNOWN,-85 00:24:14:31:f8:a0,UNKNOWN,-86 00:24:14:31:e6:22,UNKNOWN,-89 00:24:14:31:f8:a4,UNKNOWN,-90 00:24:14:31:f8:a2,UNKNOWN,-90 00:24:14:31:f6:e9,UNKNOWN,-91 00:24:14:31:f6:e0,UNKNOWN,-92 
1364531510747214194;accel/kr3dh;0.0 0.013620348 9.697687 3
1364531510747214194;linaccel/Linear Acceleration Sensor;-0.0134728495 0.041216727 0.0052890778 3
1364531510747183194;orientation/AK8973 Compass;8.796875 -0.078125 -0.0 1
1364531510743000000;latLngE7Network;378749956 -1222585649 55.0 -1.0 -1.0
1364531510841086194;compass/AK8973 Magnetic Field;-13.0 61.5 -5.4375 3
1364531510841055194;orientation/AK8973 Compass;9.0 0.078125 -0.078125 1
1364531510841055194;accel/kr3dh;-0.013620348 -0.013620348 9.697687 3
1364531510841055194;linaccel/Linear Acceleration Sensor;-0.02736798 0.0057864627 0.0011119843 3
1364531510934195194;orientation/AK8973 Compass;9.21875 0.0 -0.0 1
1364531510934195194;accel/kr3dh;0.0 -0.0 9.724928 3
1364531510934195194;compass/AK8973 Magnetic Field;-13.5 60.9375 -5.4375 3
1364531510934195194;linaccel/Linear Acceleration Sensor;-0.0099093765 0.0071470356 0.025889397 3
1364531511027304194;accel/kr3dh;0.0 -0.0 9.670447 3
1364531511027304194;compass/AK8973 Magnetic Field;-13.5 61.25 -5.1875 3
1364531511027304194;linaccel/Linear Acceleration Sensor;-0.003372002 -0.0013487204 -0.030405045 3
1364531511027273194;orientation/AK8973 Compass;9.421875 0.0 -0.0 1
1364531511124899194;compass/AK8973 Magnetic Field;-13.5 60.9375 -5.1875 3
1364531511124869194;accel/kr3dh;0.0 -0.027240695 9.697687 3
1364531511124869194;linaccel/Linear Acceleration Sensor;0.0024177334 -0.030383794 -0.0041246414 3
1364531511124808194;orientation/AK8973 Compass;9.609375 0.171875 -0.0 1
1364531511221091194;compass/AK8973 Magnetic Field;-13.0 60.6875 -5.4375 3
1364531511221060194;accel/kr3dh;0.0 -0.013620348 9.765789 3
1364531511221060194;linaccel/Linear Acceleration Sensor;0.0045900214 -0.013278577 0.06450462 3
1364531511220999194;orientation/AK8973 Compass;9.765625 0.078125 -0.0 1
1364531511314749194;accel/kr3dh;0.0 -0.027240695 9.724928 3
1364531511314749194;compass/AK8973 Magnetic Field;-12.5 60.9375 -5.4375 3
1364531511314749194;linaccel/Linear Acceleration Sensor;0.0037504514 -0.020594459 0.022044182 3
1364531511314719194;orientation/AK8973 Compass;9.875 0.171875 -0.0 1
1364531511407461194;orientation/AK8973 Compass;10.015625 0.0 -0.0 1
1364531511407461194;accel/kr3dh;0.0 -0.0 9.684067 3
1364531511407461194;compass/AK8973 Magnetic Field;-13.0 60.9375 -5.4375 3
1364531511407461194;linaccel/Linear Acceleration Sensor;0.001836381 0.013286257 -0.025892258 3
1364531511501547194;accel/kr3dh;0.0 -0.0 9.670447 3
1364531511501547194;compass/AK8973 Magnetic Field;-13.25 60.9375 -5.1875 3
1364531511501547194;linaccel/Linear Acceleration Sensor;2.6379735E-4 0.01734697 -0.047261238 3
1364531511501517194;orientation/AK8973 Compass;10.15625 0.0 -0.0 1
1364531511595694194;compass/AK8973 Magnetic Field;-13.75 60.9375 -5.1875 3
1364531511595663194;orientation/AK8973 Compass;10.3125 0.0 -0.0 1
1364531511595663194;accel/kr3dh;0.0 -0.0 9.697687 3
1364531511595663194;linaccel/Linear Acceleration Sensor;-4.5922206E-4 0.01656184 -0.019281387 3
1364531511689291194;orientation/AK8973 Compass;10.484375 0.078125 0.25 1
1364531511689291194;accel/kr3dh;0.040861044 -0.013620348 9.697687 3
1364531511689291194;compass/AK8973 Magnetic Field;-14.3125 61.25 -4.9375 3
1364531511689291194;linaccel/Linear Acceleration Sensor;0.03976628 -0.0018892782 -0.009233475 3
1364531511700000000;rawNmea;$GPGSV,3,1,11,01,16,047,,04,16,163,,08,26,129,,09,84,300,*79
1364531511702000000;rawNmea;$GPGSV,3,2,11,11,01,037,,15,31,272,,17,85,099,,24,20,313,*72
1364531511704000000;rawNmea;$GPGSV,3,3,11,26,34,220,,28,45,056,,27,,,*77
1364531511748587647;wifi;00:24:14:31:f9:41,UNKNOWN,-82 00:24:14:31:e6:21,UNKNOWN,-83 00:24:14:31:f8:a1,UNKNOWN,-90 c0:c1:c0:23:05:83,UNKNOWN,-89 00:24:14:31:f9:43,UNKNOWN,-77 00:24:14:31:e6:23,UNKNOWN,-89 00:24:14:31:f8:a3,UNKNOWN,-90 00:24:14:31:f6:e3,UNKNOWN,-93 00:24:14:31:f9:42,UNKNOWN,-77 00:24:14:31:f9:44,UNKNOWN,-77 00:24:14:31:f9:40,UNKNOWN,-80 00:24:14:31:f9:49,UNKNOWN,-80 00:24:14:31:e6:29,UNKNOWN,-83 00:24:14:31:e6:24,UNKNOWN,-88 00:24:14:31:e6:22,UNKNOWN,-89 00:24:14:31:f8:a2,UNKNOWN,-89 00:24:14:31:f8:a9,UNKNOWN,-89 00:24:14:31:f8:a4,UNKNOWN,-91 00:24:14:31:f6:e0,UNKNOWN,-91 00:24:14:31:f6:e2,UNKNOWN,-93 00:24:14:31:f6:e9,UNKNOWN,-93 00:24:14:31:f6:e4,UNKNOWN,-95 
1364531511738000000;rawNmea;$GPGGA,,,,,,0,,,,,,,,*66
1364531511740000000;rawNmea;$GPVTG,,T,,M,,N,,K,N*2C
1364531511761000000;rawNmea;$GPRMC,,V,,,,,,,,,,N*53
1364531511763000000;rawNmea;$GPGSA,A,1,,,,,,,,,,,,,,,*1E
1364531511782065194;orientation/AK8973 Compass;10.625 0.0 -0.0 1
1364531511782065194;accel/kr3dh;0.0 -0.0 9.697687 3
