1354227007184911133;metadata_log_format;3 # nanosecond timing
1354227007185368897;metadata_system_time;1354227007185
1354227007186528565;metadata_surveyName;/sdcard/LocationTracker/1354227007176.txt
1354227007187016846;metadata_notes;
1354227007187413575;metadata_deviceInfo;Board: bryce Brand: Verizon Device: bryce Hardware: qcom Manufacturer: LGE Model: VS910 4G Product: bryce
1354226981228000000;latLngE7LastKnown;378754214 -1222587023 45.0 -1.0 -1.0
1354227007224858323;compass/AK8973 Magnetic Field;5.875 52.6875 -42.6875 3
1354227007224827323;orientation/AK8973 Compass;344.09375 0.078125 -0.890625 1
1354227007224827323;accel/kr3dh;-0.14982383 -0.013620348 9.697687 3
1354227007224827323;linaccel/Linear Acceleration Sensor;0.0 0.0 0.0 3
1354227007316563323;accel/kr3dh;-0.24516626 -0.0 9.765789 3
1354227007316563323;compass/AK8973 Magnetic Field;6.875 52.6875 -40.625 3
1354227007316563323;linaccel/Linear Acceleration Sensor;-0.094100595 0.013442948 0.06721401 3
1354227007316533323;orientation/AK8973 Compass;348.85938 0.0 -1.421875 1
1354227007409794323;accel/kr3dh;-0.13620348 0.013620348 9.670447 3
1354227007409794323;compass/AK8973 Magnetic Field;6.875 50.6875 -44.6875 3
1354227007409794323;linaccel/Linear Acceleration Sensor;0.020679131 0.025831793 -0.03204441 3
1354227007409764323;orientation/AK8973 Compass;349.125 -0.078125 -0.8125 1
1354227007503575323;accel/kr3dh;-0.095342435 -0.0 9.711308 3
1354227007503575323;compass/AK8973 Magnetic Field;6.125 52.1875 -42.9375 3
1354227007503575323;linaccel/Linear Acceleration Sensor;0.07092219 0.008687327 0.0025081635 3
1354227007503544323;orientation/AK8973 Compass;349.42188 0.0 -0.5625 1
1354227007597935323;accel/kr3dh;-0.12258313 -0.040861044 9.684067 3
1354227007597935323;compass/AK8973 Magnetic Field;5.875 52.1875 -42.9375 3
1354227007597935323;linaccel/Linear Acceleration Sensor;0.04660032 -0.037087087 -0.028294563 3
1354227007597905323;orientation/AK8973 Compass;349.71875 0.25 -0.734375 1
1354227007691502323;accel/kr3dh;-0.10896278 0.05448139 9.779409 3
1354227007691502323;compass/AK8973 Magnetic Field;5.875 51.9375 -43.6875 3
1354227007691502323;linaccel/Linear Acceleration Sensor;0.049110465 0.05525385 0.06847191 3
1354227007691472323;orientation/AK8973 Compass;350.0 -0.3125 -0.640625 1
1354227007785985323;compass/AK8973 Magnetic Field;5.625 52.1875 -43.4375 3
1354227007785954323;orientation/AK8973 Compass;350.29688 0.0 -1.203125 1
1354227007785954323;accel/kr3dh;-0.20430522 -0.0 9.765789 3
1354227007785954323;linaccel/Linear Acceleration Sensor;-0.06527439 -1.8062606E-4 0.05513954 3
1354227007880375323;compass/AK8973 Magnetic Field;5.875 51.9375 -42.9375 3
1354227007880314323;accel/kr3dh;-0.21792556 0.12258313 9.765789 3
1354227007880314323;linaccel/Linear Acceleration Sensor;-0.08980702 0.11829204 0.04621029 3
1354227007880284323;orientation/AK8973 Compass;350.5625 -0.734375 -1.28125 1
1354227007976658323;orientation/AK8973 Compass;350.79688 0.0 -0.8125 1
1354227007976658323;accel/kr3dh;-0.13620348 -0.0 9.765789 3
1354227007976658323;compass/AK8973 Magnetic Field;5.875 51.9375 -43.1875 3
1354227007976658323;linaccel/Linear Acceleration Sensor;1.3817847E-4 -0.016621355 0.027968407 3
1354227008076207519;wifi;00:22:90:39:07:12,UNKNOWN,-62 00:17:df:a7:33:12,UNKNOWN,-65 00:17:df:a7:4c:f2,UNKNOWN,-65 00:23:04:89:cd:b2,UNKNOWN,-83 00:22:90:39:07:15,UNKNOWN,-57 00:17:df:a7:33:15,UNKNOWN,-65 00:17:df:a7:4c:f5,UNKNOWN,-65 00:23:04:89:cd:b5,UNKNOWN,-83 00:22:90:39:07:16,UNKNOWN,-57 00:22:90:39:07:10,UNKNOWN,-59 00:22:90:39:07:11,UNKNOWN,-62 00:17:df:a7:33:10,UNKNOWN,-64 00:17:df:a7:33:11,UNKNOWN,-64 00:17:df:a7:4c:f1,UNKNOWN,-64 00:17:df:a7:33:16,UNKNOWN,-65 00:17:df:a7:4c:f0,UNKNOWN,-65 00:17:df:a7:4c:f6,UNKNOWN,-65 00:23:04:89:cd:b1,UNKNOWN,-76 00:23:04:89:cd:b0,UNKNOWN,-83 
1354227008070500323;compass/AK8973 Magnetic Field;5.625 51.9375 -43.1875 3
1354227008070469323;accel/kr3dh;-0.12258313 0.05448139 9.670447 3
1354227008070469323;linaccel/Linear Acceleration Sensor;0.033310495 0.020854034 -0.084261894 3
1354227008070439323;orientation/AK8973 Compass;351.03125 -0.328125 -0.734375 1
1354227008072000000;latLngE7Network;378754125 -1222587136 50.0 -1.0 -1.0
1354227008163487323;compass/AK8973 Magnetic Field;5.375 52.1875 -42.9375 3
1354227008163456323;orientation/AK8973 Compass;351.25 -0.25 -0.5625 1
1354227008163456323;accel/kr3dh;-0.095342435 0.040861044 9.779409 3
1354227008163456323;linaccel/Linear Acceleration Sensor;0.07327772 -0.0060292184 0.018976212 3
1354227008259434323;accel/kr3dh;-0.16344418 -0.040861044 9.779409 3
1354227008259434323;compass/AK8973 Magnetic Field;5.625 52.4375 -43.1875 3
1354227008259434323;linaccel/Linear Acceleration Sensor;-3.5120547E-4 -0.09097868 0.025249481 3
1354227008259404323;orientation/AK8973 Compass;351.46875 0.25 -0.953125 1
1354227008353673323;compass/AK8973 Magnetic Field;6.125 52.4375 -42.9375 3
1354227008353642323;accel/kr3dh;-0.13620348 -0.027240695 9.724928 3
1354227008353642323;linaccel/Linear Acceleration Sensor;0.010306358 -0.06887955 -0.021987915 3
1354227008353581323;orientation/AK8973 Compass;351.625 0.171875 -0.8125 1
1354227008447972323;orientation/AK8973 Compass;351.76563 0.0 -0.890625 1
1354227008447972323;accel/kr3dh;-0.14982383 -0.0 9.697687 3
1354227008447972323;compass/AK8973 Magnetic Field;6.375 52.4375 -42.9375 3
1354227008447972323;linaccel/Linear Acceleration Sensor;-0.016769543 -0.022754345 -0.047493935 3
1354227008542088323;compass/AK8973 Magnetic Field;6.125 52.1875 -42.9375 3
1354227008542058323;accel/kr3dh;-0.12258313 -0.05448139 9.670447 3
1354227008542058323;linaccel/Linear Acceleration Sensor;0.0072076544 -0.054680835 -0.07248688 3
1354227008541996323;orientation/AK8973 Compass;351.89063 0.328125 -0.734375 1
1354227008638432323;orientation/AK8973 Compass;352.07813 0.0 -1.265625 1
1354227008638432323;accel/kr3dh;-0.21792556 -0.0 9.861132 3
1354227008638432323;compass/AK8973 Magnetic Field;5.625 52.1875 -42.9375 3
1354227008638432323;linaccel/Linear Acceleration Sensor;-0.083447576 0.018037286 0.12710094 3
1354227008715000000;rawNmea;$GPGSV,4,1,15,03,28,307,,06,45,298,,09,03,094,,14,17,182,*7E
1354227008716000000;rawNmea;$GPGSV,4,2,15,15,30,052,,16,18,268,,18,77,358,,19,08,319,*75
1354227008718000000;rawNmea;$GPGSV,4,3,15,21,63,067,,22,51,251,,24,02,099,,26,01,030,*7D
1354227008721000000;rawNmea;$GPGSV,4,4,15,27,09,222,,29,15,153,,30,08,237,*46
1354227008724000000;rawNmea;$GPGGA,221008.4,,,,,0,,,,,,,,*75
1354227008726000000;rawNmea;$GPVTG,,T,,M,,N,,K,N*2C
1354227008728000000;rawNmea;$GPRMC,,V,,,,,,,,,,N*53
1354227008731541323;compass/AK8973 Magnetic Field;5.625 51.9375 -42.9375 3
1354227008731511323;orientation/AK8973 Compass;352.25 -0.3125 -1.125 1
1354227008731511323;accel/kr3dh;-0.19068487 0.05448139 9.765789 3
1354227008731511323;linaccel/Linear Acceleration Sensor;-0.04695715 0.08093475 0.038347244 3
1354227008734000000;rawNmea;$GPGSA,A,1,,,,,,,,,,,,,,,*1E
1354227008826298323;accel/kr3dh;-0.095342435 0.10896278 9.779409 3
1354227008826298323;linaccel/Linear Acceleration Sensor;0.0615936 0.12987176 0.043813705 3
1354227008826237323;orientation/AK8973 Compass;352.375 -0.640625 -0.5625 1
1354227008883885743;wifi;00:17:df:a7:33:12,UNKNOWN,-66 00:17:df:a7:4c:f2,UNKNOWN,-66 00:23:04:89:cd:b2,UNKNOWN,-74 00:22:90:39:07:15,UNKNOWN,-60 00:17:df:a7:33:15,UNKNOWN,-65 00:17:df:a7:4c:f5,UNKNOWN,-66 00:17:df:a8:60:65,UNKNOWN,-90 00:22:90:39:07:11,UNKNOWN,-61 00:22:90:39:07:10,UNKNOWN,-61 00:22:90:39:07:16,UNKNOWN,-59 00:17:df:a7:4c:f6,UNKNOWN,-64 00:17:df:a7:4c:f1,UNKNOWN,-65 00:17:df:a7:4c:f0,UNKNOWN,-65 00:17:df:a7:33:16,UNKNOWN,-65 00:17:df:a7:33:10,UNKNOWN,-65 00:17:df:a7:33:11,UNKNOWN,-66 00:23:04:89:cd:b1,UNKNOWN,-73 00:23:04:89:cd:b0,UNKNOWN,-85 00:23:04:89:cd:b6,UNKNOWN,-86 
1354227008922307323;compass/AK8973 Magnetic Field;5.875 51.9375 -43.1875 3
1354227008922276323;accel/kr3dh;-0.19068487 -0.0 9.765789 3
1354227008922276323;linaccel/Linear Acceleration Sensor;-0.022896603 -9.536501E-4 0.0093688965 3
1354227008922246323;orientation/AK8973 Compass;352.5 0.0 -1.125 1
1354227009015996323;orientation/AK8973 Compass;352.59375 -0.390625 -1.03125 1
1354227009015996323;accel/kr3dh;-0.17706452 0.06810174 9.765789 3
1354227009015996323;compass/AK8973 Magnetic Field;6.125 51.4375 -43.4375 3
1354227009015996323;linaccel/Linear Acceleration Sensor;-0.0072551817 0.03859262 -0.008897781 3
1354227009109990323;compass/AK8973 Magnetic Field;5.875 51.1875 -43.6875 3
1354227009109959323;accel/kr3dh;-0.16344418 -0.0 9.615966 3
1354227009109959323;linaccel/Linear Acceleration Sensor;0.0031093508 -0.05038991 -0.16377926 3
1354227009109898323;orientation/AK8973 Compass;352.70313 0.0 -0.984375 1
1354227009205082323;compass/AK8973 Magnetic Field;5.375 51.1875 -43.4375 3
