1354231061556378661;metadata_log_format;3 # nanosecond timing
1354231061557874022;metadata_system_time;1354231061558
1354231061559247313;metadata_surveyName;/sdcard/LocationTracker/1354231061537.txt
1354231061560986815;metadata_notes;
1354231061562512693;metadata_deviceInfo;Board: bryce Brand: Verizon Device: bryce Hardware: qcom Manufacturer: LGE Model: VS910 4G Product: bryce
1354231048783000000;latLngE7LastKnown;378754106 -1222587065 50.0 -1.0 -1.0
1354231061620708855;compass/AK8973 Magnetic Field;5.875 0.25 -47.75 3
1354231061620678855;orientation/AK8973 Compass;314.59375 -0.21875 -3.0 1
1354231061620678855;accel/kr3dh;-0.51757324 0.040861044 9.901993 3
1354231061620678855;linaccel/Linear Acceleration Sensor;0.0 0.0 0.0 3
1354231061714947855;accel/kr3dh;-0.3677494 0.16344418 9.656827 3
1354231061714947855;compass/AK8973 Magnetic Field;6.875 -1.75 -44.6875 3
1354231061714947855;linaccel/Linear Acceleration Sensor;0.14769316 0.12083985 -0.24168015 3
1354231061714916855;orientation/AK8973 Compass;286.9375 -0.984375 -2.1875 1
1354231061807751855;accel/kr3dh;-0.32688835 0.05448139 9.80665 3
1354231061807751855;compass/AK8973 Magnetic Field;5.875 -1.75 -44.6875 3
1354231061807751855;linaccel/Linear Acceleration Sensor;0.17640123 0.0038590543 -0.07490063 3
1354231061807720855;orientation/AK8973 Compass;269.04688 -0.3125 -1.90625 1
1354231061903820855;compass/AK8973 Magnetic Field;6.375 -1.25 -45.6875 3
1354231061903789855;accel/kr3dh;-0.313268 0.10896278 9.765789 3
1354231061903789855;linaccel/Linear Acceleration Sensor;0.15623015 0.04177504 -0.07804489 3
1354231061903759855;orientation/AK8973 Compass;265.3125 -0.640625 -1.84375 1
1354231061999218855;accel/kr3dh;-0.35412905 0.06810174 9.80665 3
1354231061999218855;compass/AK8973 Magnetic Field;6.375 -1.75 -45.1875 3
1354231061999218855;linaccel/Linear Acceleration Sensor;0.06305447 -0.01644224 0.0063095093 3
1354231061999187855;orientation/AK8973 Compass;259.26563 -0.390625 -2.0625 1
1354231062094128855;compass/AK8973 Magnetic Field;6.375 -1.5 -45.6875 3
1354231062094097855;accel/kr3dh;-0.29964766 0.10896278 9.820271 3
1354231062094097855;linaccel/Linear Acceleration Sensor;0.06477782 0.0144908205 0.047756195 3
1354231062094067855;orientation/AK8973 Compass;259.23438 -0.640625 -1.734375 1
1354231062188946855;compass/AK8973 Magnetic Field;6.375 -1.75 -45.6875 3
1354231062188915855;accel/kr3dh;-0.35412905 -0.0 9.575105 3
1354231062188915855;linaccel/Linear Acceleration Sensor;-0.025573492 -0.09506607 -0.19029808 3
1354231062188854855;orientation/AK8973 Compass;254.3125 0.0 -2.125 1
1354231062284679855;compass/AK8973 Magnetic Field;6.625 -1.75 -45.4375 3
1354231062284649855;accel/kr3dh;-0.38136974 0.06810174 9.80665 3
1354231062284649855;linaccel/Linear Acceleration Sensor;-0.0662711 -0.018899374 0.04355049 3
1354231062284588855;orientation/AK8973 Compass;254.25 -0.390625 -2.234375 1
1354231062378338855;orientation/AK8973 Compass;254.6875 -1.203125 -1.8125 1
1354231062378338855;accel/kr3dh;-0.313268 0.20430522 9.80665 3
1354231062378338855;compass/AK8973 Magnetic Field;6.625 -1.75 -45.6875 3
1354231062378338855;linaccel/Linear Acceleration Sensor;0.0064118207 0.12933332 0.0543499 3
1354231062438733396;wifi;00:17:df:a7:33:12,UNKNOWN,-65 00:23:04:89:cd:b2,UNKNOWN,-74 00:17:df:a7:4c:f2,UNKNOWN,-84 00:17:df:a7:33:15,UNKNOWN,-69 00:22:90:39:07:15,UNKNOWN,-71 00:23:04:89:cd:b5,UNKNOWN,-75 00:17:df:a7:4c:f5,UNKNOWN,-87 00:17:df:a8:60:65,UNKNOWN,-92 00:17:df:a7:33:10,UNKNOWN,-66 00:17:df:a7:33:11,UNKNOWN,-66 00:17:df:a7:33:16,UNKNOWN,-68 00:22:90:39:07:16,UNKNOWN,-70 00:23:04:89:cd:b0,UNKNOWN,-71 00:22:90:39:07:11,UNKNOWN,-72 00:23:04:89:cd:b1,UNKNOWN,-75 00:22:90:39:07:10,UNKNOWN,-81 00:17:df:a7:4c:f6,UNKNOWN,-83 00:17:df:a7:4c:f1,UNKNOWN,-83 00:17:df:a7:4c:f0,UNKNOWN,-85 00:22:90:39:65:b6,UNKNOWN,-90 00:17:df:a8:60:60,UNKNOWN,-91 
1354231062471416855;accel/kr3dh;-0.35412905 0.20430522 9.765789 3
1354231062471416855;compass/AK8973 Magnetic Field;7.125 -2.0 -45.4375 3
1354231062471416855;linaccel/Linear Acceleration Sensor;-0.02132985 0.1320072 0.023827553 3
1354231062471386855;orientation/AK8973 Compass;254.96875 -1.203125 -2.0625 1
1354231062452000000;latLngE7Network;378754152 -1222587553 50.0 -1.0 -1.0
1354231062564800855;orientation/AK8973 Compass;255.10938 -0.3125 -1.984375 1
1354231062564800855;accel/kr3dh;-0.3405087 0.05448139 9.765789 3
1354231062564800855;compass/AK8973 Magnetic Field;7.125 -1.5 -45.6875 3
1354231062564800855;linaccel/Linear Acceleration Sensor;0.003430277 -0.036279034 0.020514488 3
1354231062659283855;orientation/AK8973 Compass;259.95313 -0.953125 -1.984375 1
1354231062659283855;accel/kr3dh;-0.3405087 0.16344418 9.765789 3
1354231062659283855;compass/AK8973 Magnetic Field;6.875 -1.25 -45.6875 3
1354231062659283855;linaccel/Linear Acceleration Sensor;0.0076794624 0.041932896 0.0069055557 3
1354231062753826855;compass/AK8973 Magnetic Field;6.875 -0.75 -45.4375 3
1354231062753796855;accel/kr3dh;-0.3677494 0.16344418 9.779409 3
1354231062753796855;linaccel/Linear Acceleration Sensor;-0.020141065 0.020048842 0.008760452 3
1354231062753734855;orientation/AK8973 Compass;265.0625 -0.953125 -2.15625 1
1354231062847820855;compass/AK8973 Magnetic Field;6.375 -0.75 -44.9375 3
1354231062847790855;orientation/AK8973 Compass;265.4375 -1.0625 -1.953125 1
1354231062847790855;accel/kr3dh;-0.32688835 0.17706452 9.615966 3
1354231062847790855;linaccel/Linear Acceleration Sensor;0.019460678 0.026214615 -0.1572876 3
1354231062940929855;orientation/AK8973 Compass;265.40625 -0.734375 -2.0625 1
1354231062940929855;accel/kr3dh;-0.35412905 0.12258313 9.779409 3
1354231062940929855;compass/AK8973 Magnetic Field;6.625 -1.0 -44.4375 3
1354231062940929855;linaccel/Linear Acceleration Sensor;-0.007870644 -0.030248873 0.015939713 3
1354231063035931855;compass/AK8973 Magnetic Field;6.125 -1.0 -45.1875 3
1354231063035900855;accel/kr3dh;-0.38136974 0.13620348 9.820271 3
1354231063035900855;linaccel/Linear Acceleration Sensor;-0.034276515 -0.01809369 0.075315475 3
1354231063035839855;orientation/AK8973 Compass;265.375 -0.78125 -2.21875 1
1354231063130199855;accel/kr3dh;-0.3405087 0.14982383 9.765789 3
1354231063130199855;compass/AK8973 Magnetic Field;6.125 -1.25 -45.1875 3
1354231063130199855;linaccel/Linear Acceleration Sensor;0.0088346 -0.0031837076 0.031677246 3
1354231063130169855;orientation/AK8973 Compass;265.21875 -0.859375 -1.984375 1
