1353892764737549805;metadata_log_format;3 # nanosecond timing
1353892764738007569;metadata_system_time;1353892764738
1353892764738404297;metadata_surveyName;/sdcard/LocationTracker/1353892764724.txt
1353892764738862061;metadata_notes;
1353892764739258789;metadata_deviceInfo;Board: bryce Brand: Verizon Device: bryce Hardware: qcom Manufacturer: LGE Model: VS910 4G Product: bryce
1353856623678000000;latLngE7LastKnown;378756222 -1222782500 45.0 -1.0 -1.0
1353892764709716825;accel/kr3dh;0.0 0.3677494 9.561484 3
1353892764802581825;orientation/AK8973 Compass;2.03125 -2.65625 0.390625 1
1353892764802581825;accel/kr3dh;0.06810174 0.44947147 9.629586 3
1353892764802581825;compass/AK8973 Magnetic Field;-0.8125 19.9375 -12.1875 3
1353892764802581825;linaccel/Linear Acceleration Sensor;0.0 0.0 0.0 3
1353892764898834825;compass/AK8973 Magnetic Field;-0.5625 19.9375 -12.6875 3
1353892764898803825;accel/kr3dh;0.095342435 0.40861043 9.643207 3
1353892764898803825;linaccel/Linear Acceleration Sensor;0.02682688 -0.040240318 0.013413429 3
1353892764898773825;orientation/AK8973 Compass;1.984375 -2.4375 0.5625 1
1353892764999115825;compass/AK8973 Magnetic Field;-0.8125 20.1875 -12.6875 3
1353892764999084825;accel/kr3dh;0.040861044 0.42223078 9.643207 3
1353892764999084825;linaccel/Linear Acceleration Sensor;-0.029234808 -0.02306825 0.012150764 3
1353892764999054825;orientation/AK8973 Compass;2.0 -2.515625 0.25 1
1353892765096740825;compass/AK8973 Magnetic Field;-0.8125 19.9375 -12.6875 3
1353892765096649825;accel/kr3dh;0.08172209 0.43585113 9.615966 3
1353892765096649825;linaccel/Linear Acceleration Sensor;0.009970911 -0.0020366013 -0.017606735 3
1353892765096618825;orientation/AK8973 Compass;2.0 -2.609375 0.484375 1
1353892765193390825;compass/AK8973 Magnetic Field;-1.0625 19.9375 -12.6875 3
1353892765193359825;accel/kr3dh;0.040861044 0.44947147 9.670447 3
1353892765193359825;linaccel/Linear Acceleration Sensor;-0.030381825 0.019504756 0.0343256 3
1353892765193329825;orientation/AK8973 Compass;2.046875 -2.65625 0.25 1
1353892765290558825;compass/AK8973 Magnetic Field;-1.0625 19.4375 -11.6875 3
1353892765290527825;accel/kr3dh;0.05448139 0.43585113 9.643207 3
1353892765290527825;linaccel/Linear Acceleration Sensor;-0.013164531 0.00893268 0.004886627 3
1353892765290496825;orientation/AK8973 Compass;2.09375 -2.578125 0.34375 1
1353892765390197825;compass/AK8973 Magnetic Field;-0.5625 18.9375 -11.6875 3
1353892765390167825;accel/kr3dh;0.06810174 0.42223078 9.670447 3
1353892765390167825;linaccel/Linear Acceleration Sensor;0.006087985 -0.00774312 0.028425217 3
1353892765390136825;orientation/AK8973 Compass;2.046875 -2.484375 0.390625 1
1353892765485778825;orientation/AK8973 Compass;1.953125 -2.4375 0.390625 1
1353892765485778825;accel/kr3dh;0.06810174 0.40861043 9.629586 3
1353892765485778825;compass/AK8973 Magnetic Field;-0.3125 19.1875 -11.9375 3
1353892765485778825;linaccel/Linear Acceleration Sensor;0.010513701 -0.025170833 -0.017808914 3
1353892765605469727;wifi;00:22:6b:98:8c:d6,UNKNOWN,-73 00:17:df:a7:4c:f2,UNKNOWN,-77 00:22:90:39:70:a2,UNKNOWN,-80 00:23:04:89:cc:82,UNKNOWN,-87 00:17:df:a7:4c:f5,UNKNOWN,-77 00:22:90:39:70:a5,UNKNOWN,-80 00:23:04:89:cc:85,UNKNOWN,-88 00:22:90:39:b2:05,UNKNOWN,-93 00:17:df:a7:4c:f0,UNKNOWN,-78 00:17:df:a7:4c:f6,UNKNOWN,-78 00:22:90:39:70:a6,UNKNOWN,-79 00:22:90:39:70:a0,UNKNOWN,-80 00:22:90:39:70:a1,UNKNOWN,-80 00:22:90:39:07:16,UNKNOWN,-80 00:23:04:89:cc:86,UNKNOWN,-87 00:23:04:89:cc:80,UNKNOWN,-88 00:17:df:a7:33:10,UNKNOWN,-89 00:22:90:39:b2:01,UNKNOWN,-94 00:22:90:39:b2:06,UNKNOWN,-94 
1353892765601928825;compass/AK8973 Magnetic Field;-0.5625 19.1875 -12.1875 3
