1364531608834552001;metadata_log_format;3 # nanosecond timing
1364531608836047362;metadata_system_time;1364531608836
1364531608837359618;metadata_surveyName;/sdcard/LocationTracker/1364531608825.txt
1364531608839404296;metadata_notes;
1364531608841174315;metadata_deviceInfo;Board: bryce Brand: Verizon Device: bryce Hardware: qcom Manufacturer: LGE Model: VS910 4G Product: bryce
1364531576181000000;latLngE7LastKnown;378749289 -1222585590 55.0 -1.0 -1.0
1364531608884264495;compass/AK8973 Magnetic Field;-23.125 66.5 20.875 3
1364531608884203495;accel/kr3dh;-0.21792556 0.12258313 9.629586 3
1364531608884203495;linaccel/Linear Acceleration Sensor;0.0 0.0 0.0 3
1364531608884173495;orientation/AK8973 Compass;12.5625 -0.734375 -1.28125 1
1364531608988909495;compass/AK8973 Magnetic Field;-23.125 68.5625 19.875 3
1364531608988878495;orientation/AK8973 Compass;12.9375 -1.125 -0.703125 1
1364531608988878495;accel/kr3dh;-0.12258313 0.19068487 9.861132 3
1364531608988878495;linaccel/Linear Acceleration Sensor;0.09344613 0.066747256 0.22694016 3
1364531609084337495;accel/kr3dh;-0.21792556 0.21792556 9.779409 3
1364531609084337495;compass/AK8973 Magnetic Field;-21.125 68.5625 19.875 3
1364531609084337495;linaccel/Linear Acceleration Sensor;-0.008923575 0.08755672 0.1259327 3
1364531609084307495;orientation/AK8973 Compass;13.1875 -1.28125 -1.28125 1
1364531609179400495;compass/AK8973 Magnetic Field;-22.625 68.0 20.375 3
1364531609179369495;accel/kr3dh;-0.24516626 0.20430522 9.602345 3
1364531609179369495;linaccel/Linear Acceleration Sensor;-0.04754229 0.057891876 -0.08945179 3
1364531609179339495;orientation/AK8973 Compass;13.5 -1.234375 -1.453125 1
1364531609274584495;compass/AK8973 Magnetic Field;-22.875 68.5625 20.375 3
1364531609274553495;orientation/AK8973 Compass;13.796875 -1.53125 -1.28125 1
1364531609274553495;accel/kr3dh;-0.21792556 0.25878662 9.643207 3
1364531609274553495;linaccel/Linear Acceleration Sensor;-0.026639774 0.08757132 -0.08479881 3
1364531609368944495;compass/AK8973 Magnetic Field;-22.625 68.3125 19.875 3
1364531609368914495;orientation/AK8973 Compass;14.0625 -1.203125 -1.28125 1
1364531609368914495;accel/kr3dh;-0.21792556 0.20430522 9.765789 3
1364531609368914495;linaccel/Linear Acceleration Sensor;-0.021108165 0.0064303577 0.030611038 3
1364531609463305495;compass/AK8973 Magnetic Field;-22.625 68.0 20.125 3
1364531609463274495;accel/kr3dh;-0.23154591 0.21792556 9.711308 3
1364531609463274495;linaccel/Linear Acceleration Sensor;-0.021901235 -0.0010587722 -0.00573349 3
1364531609463213495;orientation/AK8973 Compass;14.3125 -1.28125 -1.375 1
1364531609561876495;accel/kr3dh;-0.20430522 0.21792556 9.684067 3
1364531609561876495;compass/AK8973 Magnetic Field;-22.375 68.0 20.125 3
1364531609561876495;linaccel/Linear Acceleration Sensor;0.016809002 -0.011518627 -0.014742851 3
1364531609561846495;orientation/AK8973 Compass;14.546875 -1.28125 -1.203125 1
1364531609662585448;wifi;00:24:14:31:f9:41,UNKNOWN,-78 00:24:14:31:f8:a1,UNKNOWN,-83 00:24:14:31:e6:21,UNKNOWN,-84 00:24:14:31:f6:e1,UNKNOWN,-88 c0:c1:c0:23:05:83,UNKNOWN,-85 00:24:14:31:f9:43,UNKNOWN,-74 00:24:14:31:e6:23,UNKNOWN,-86 00:24:14:31:f6:e3,UNKNOWN,-90 00:24:14:31:f9:42,UNKNOWN,-73 00:24:14:31:f9:44,UNKNOWN,-74 00:24:14:31:f9:49,UNKNOWN,-77 00:24:14:31:f9:40,UNKNOWN,-77 00:24:14:31:f8:a0,UNKNOWN,-82 00:24:14:31:f8:a9,UNKNOWN,-83 00:24:14:31:e6:20,UNKNOWN,-84 00:24:14:31:f6:e9,UNKNOWN,-85 00:24:14:31:e6:29,UNKNOWN,-86 00:24:14:31:e6:22,UNKNOWN,-87 00:24:14:31:f6:e0,UNKNOWN,-88 00:24:14:31:e6:24,UNKNOWN,-88 00:24:14:31:f6:e4,UNKNOWN,-90 00:24:14:31:f6:e2,UNKNOWN,-90 00:24:14:31:f8:a4,UNKNOWN,-91 00:24:14:31:f8:a2,UNKNOWN,-92 
1364531609658068495;compass/AK8973 Magnetic Field;-22.125 68.0 19.875 3
1364531609658037495;accel/kr3dh;-0.21792556 0.23154591 9.765789 3
1364531609658037495;linaccel/Linear Acceleration Sensor;0.0077438504 0.0020268708 0.069773674 3
1364531609658007495;orientation/AK8973 Compass;14.75 -1.375 -1.28125 1
1364531609650000000;latLngE7Network;378749943 -1222585858 55.0 -1.0 -1.0
1364531609750933495;compass/AK8973 Magnetic Field;-21.875 68.0 20.125 3
1364531609750902495;orientation/AK8973 Compass;14.921875 -1.203125 -1.453125 1
1364531609750902495;accel/kr3dh;-0.24516626 0.20430522 9.670447 3
1364531609750902495;linaccel/Linear Acceleration Sensor;-0.02059044 -0.020921037 -0.032723427 3
1364531609843706495;accel/kr3dh;-0.21792556 0.23154591 9.684067 3
1364531609843706495;compass/AK8973 Magnetic Field;-21.875 68.5625 19.875 3
1364531609843706495;linaccel/Linear Acceleration Sensor;0.0042886734 0.010303602 -0.027142525 3
1364531609843676495;orientation/AK8973 Compass;15.078125 -1.375 -1.28125 1
1364531609936480495;compass/AK8973 Magnetic Field;-21.875 68.3125 19.625 3
1364531609936449495;orientation/AK8973 Compass;15.234375 -1.28125 -1.203125 1
1364531609936449495;accel/kr3dh;-0.20430522 0.21792556 9.697687 3
1364531609936449495;linaccel/Linear Acceleration Sensor;0.017588839 -0.001209572 -0.015079498 3
1364531610030657495;compass/AK8973 Magnetic Field;-21.875 68.0 19.3125 3
1364531610030626495;accel/kr3dh;-0.19068487 0.20430522 9.684067 3
1364531610030626495;linaccel/Linear Acceleration Sensor;0.031278268 -0.014330283 -0.022167206 3
1364531610030565495;orientation/AK8973 Compass;15.390625 -1.203125 -1.125 1
1364531610130236495;accel/kr3dh;-0.19068487 0.21792556 9.670447 3
1364531610130236495;compass/AK8973 Magnetic Field;-22.375 68.3125 19.875 3
1364531610130236495;linaccel/Linear Acceleration Sensor;0.027198434 -3.5709143E-4 -0.025421143 3
1364531610130205495;orientation/AK8973 Compass;15.546875 -1.28125 -1.125 1
1364531610224291495;compass/AK8973 Magnetic Field;-22.625 68.0 19.875 3
1364531610224260495;orientation/AK8973 Compass;15.703125 -1.28125 -1.453125 1
1364531610224260495;accel/kr3dh;-0.24516626 0.21792556 9.711308 3
1364531610224260495;linaccel/Linear Acceleration Sensor;-0.03495471 0.0010487288 0.023447037 3
1364531610318834495;accel/kr3dh;-0.21792556 0.21792556 9.765789 3
1364531610318834495;linaccel/Linear Acceleration Sensor;-0.013667941 0.0027459115 0.08060646 3
1364531610318804495;orientation/AK8973 Compass;15.859375 -1.28125 -1.28125 1
1364531610412554495;orientation/AK8973 Compass;16.0 -1.203125 -1.28125 1
1364531610412554495;accel/kr3dh;-0.21792556 0.20430522 9.697687 3
1364531610412554495;compass/AK8973 Magnetic Field;-22.625 68.3125 20.125 3
1364531610412554495;linaccel/Linear Acceleration Sensor;-0.012638226 -0.0101842135 0.0064878464 3
1364531610463488768;wifi;00:24:14:31:f9:41,UNKNOWN,-76 00:24:14:31:e6:21,UNKNOWN,-85 00:24:14:31:f6:e1,UNKNOWN,-88 c0:c1:c0:23:05:83,UNKNOWN,-84 00:24:14:31:f9:43,UNKNOWN,-74 00:24:14:31:e6:23,UNKNOWN,-85 00:24:14:31:f6:e3,UNKNOWN,-90 00:24:14:31:f9:40,UNKNOWN,-74 00:24:14:31:f9:44,UNKNOWN,-74 00:24:14:31:f9:42,UNKNOWN,-76 00:24:14:31:f9:49,UNKNOWN,-76 00:24:14:31:f8:a0,UNKNOWN,-83 00:24:14:31:e6:20,UNKNOWN,-84 00:24:14:31:e6:29,UNKNOWN,-85 00:24:14:31:e6:22,UNKNOWN,-86 00:24:14:31:f8:a2,UNKNOWN,-86 00:24:14:31:f8:a4,UNKNOWN,-88 00:24:14:31:f6:e0,UNKNOWN,-89 00:24:14:31:f6:e9,UNKNOWN,-89 00:24:14:31:f6:e4,UNKNOWN,-90 00:1a:e3:76:5f:40,UNKNOWN,-90 00:1a:e3:76:5f:41,UNKNOWN,-90 00:24:14:31:f6:e2,UNKNOWN,-90 
1364531610505633495;compass/AK8973 Magnetic Field;-22.375 68.3125 20.125 3
1364531610505602495;orientation/AK8973 Compass;16.125 -1.28125 -1.28125 1
1364531610505602495;accel/kr3dh;-0.21792556 0.21792556 9.684067 3
1364531610505602495;linaccel/Linear Acceleration Sensor;-0.006143093 0.0034767538 -0.019974709 3
1364531610599413495;compass/AK8973 Magnetic Field;-22.375 68.0 20.125 3
1364531610599383495;accel/kr3dh;-0.19068487 0.21792556 9.765789 3
1364531610599383495;linaccel/Linear Acceleration Sensor;0.027235612 0.003740713 0.050365448 3
1364531610599352495;orientation/AK8973 Compass;16.25 -1.28125 -1.125 1
1364531610694048495;orientation/AK8973 Compass;16.375 -1.375 -1.453125 1
1364531610694048495;accel/kr3dh;-0.24516626 0.23154591 9.684067 3
1364531610694048495;compass/AK8973 Magnetic Field;-22.625 68.0 20.125 3
1364531610694048495;linaccel/Linear Acceleration Sensor;-0.0256031 0.017356023 -0.036066055 3
1364531610699000000;rawNmea;$GPGSV,3,1,11,01,16,047,,04,17,163,,08,25,129,,09,84,293,*70
1364531610701000000;rawNmea;$GPGSV,3,2,11,11,01,036,,15,31,271,,17,84,088,,24,20,313,*71
1364531610702000000;rawNmea;$GPGSV,3,3,11,26,34,219,,28,45,057,,27,,,*7C
1364531610706000000;rawNmea;$GPGGA,,,,,,0,,,,,,,,*66
1364531610708000000;rawNmea;$GPVTG,,T,,M,,N,,K,N*2C
1364531610709000000;rawNmea;$GPRMC,,V,,,,,,,,,,N*53
1364531610711000000;rawNmea;$GPGSA,A,1,,,,,,,,,,,,,,,*1E
1364531610788439495;compass/AK8973 Magnetic Field;-22.625 68.0 20.375 3
1364531610788408495;accel/kr3dh;-0.24516626 0.21792556 9.697687 3
1364531610788408495;linaccel/Linear Acceleration Sensor;-0.026795223 0.002192825 -0.022292137 3
1364531610788378495;orientation/AK8973 Compass;16.484375 -1.28125 -1.453125 1
1364531610884600495;orientation/AK8973 Compass;16.59375 -1.203125 -1.28125 1
1364531610884600495;accel/kr3dh;-0.21792556 0.20430522 9.697687 3
1364531610884600495;linaccel/Linear Acceleration Sensor;0.001614064 -0.014248714 -0.018590927 3
1364531610977343495;accel/kr3dh;-0.23154591 0.24516626 9.697687 3
1364531610977343495;compass/AK8973 Magnetic Field;-22.375 68.0 20.375 3
1364531610977343495;linaccel/Linear Acceleration Sensor;-0.007179901 0.0246384 -0.011997223 3
1364531610977312495;orientation/AK8973 Compass;16.6875 -1.453125 -1.375 1
1364531611071947495;compass/AK8973 Magnetic Field;-22.375 68.3125 20.375 3
