1354227540496573243;metadata_log_format;3 # nanosecond timing
1354227540497031006;metadata_system_time;1354227540497
1354227540497366700;metadata_surveyName;/sdcard/LocationTracker/1354227540484.txt
1354227540497824463;metadata_notes;
1354227540498251709;metadata_deviceInfo;Board: bryce Brand: Verizon Device: bryce Hardware: qcom Manufacturer: LGE Model: VS910 4G Product: bryce
1354227526835000000;latLngE7LastKnown;378754315 -1222587495 50.0 -1.0 -1.0
1354227540538717960;orientation/AK8973 Compass;337.26563 0.34375 -1.84375 1
1354227540538717960;accel/kr3dh;-0.313268 -0.05448139 9.656827 3
1354227540538717960;compass/AK8973 Magnetic Field;25.125 46.6875 -33.5625 3
1354227540538717960;linaccel/Linear Acceleration Sensor;0.0 0.0 0.0 3
1354227540631246960;orientation/AK8973 Compass;337.01563 0.171875 -1.84375 1
1354227540631246960;accel/kr3dh;-0.313268 -0.027240695 9.738548 3
1354227540631246960;compass/AK8973 Magnetic Field;25.125 47.6875 -33.5625 3
1354227540631246960;linaccel/Linear Acceleration Sensor;0.0 0.026875889 0.08062744 3
1354227540724874960;compass/AK8973 Magnetic Field;26.125 46.6875 -33.5625 3
1354227540724843960;accel/kr3dh;-0.35412905 -0.12258313 9.724928 3
1354227540724843960;linaccel/Linear Acceleration Sensor;-0.040293187 -0.069261156 0.06083584 3
1354227540724782960;orientation/AK8973 Compass;336.6875 0.734375 -2.09375 1
1354227540818502960;orientation/AK8973 Compass;336.4375 0.5625 -1.8125 1
1354227540818502960;accel/kr3dh;-0.313268 -0.095342435 9.833891 3
1354227540818502960;compass/AK8973 Magnetic Field;25.375 47.1875 -33.5625 3
1354227540818502960;linaccel/Linear Acceleration Sensor;0.0032084584 -0.040210973 0.15345001 3
1354227540911916960;accel/kr3dh;-0.38136974 -0.027240695 9.643207 3
1354227540911916960;compass/AK8973 Magnetic Field;25.625 47.1875 -33.5625 3
1354227540911916960;linaccel/Linear Acceleration Sensor;-0.05920589 0.035635352 -0.06360817 3
1354227540911886960;orientation/AK8973 Compass;336.20313 0.171875 -2.265625 1
1354227541007619960;compass/AK8973 Magnetic Field;25.625 46.9375 -33.8125 3
1354227541007589960;accel/kr3dh;-0.3405087 -0.12258313 9.765789 3
1354227541007589960;linaccel/Linear Acceleration Sensor;-0.009716511 -0.049191967 0.03230667 3
1354227541007558960;orientation/AK8973 Compass;335.95313 0.734375 -1.984375 1
1354227541101644960;accel/kr3dh;-0.2860273 -0.06810174 9.670447 3
1354227541101644960;compass/AK8973 Magnetic Field;25.375 46.9375 -33.5625 3
1354227541101644960;linaccel/Linear Acceleration Sensor;0.053614914 0.011937045 -0.07534695 3
1354227541101613960;orientation/AK8973 Compass;335.73438 0.390625 -1.703125 1
1354227541195424960;compass/AK8973 Magnetic Field;25.375 46.9375 -33.3125 3
1354227541195394960;accel/kr3dh;-0.29964766 -0.12258313 9.79303 3
1354227541195394960;linaccel/Linear Acceleration Sensor;0.043257892 -0.039507583 0.05120468 3
1354227541195333960;orientation/AK8973 Compass;335.53125 0.734375 -1.765625 1
1354227541291250960;compass/AK8973 Magnetic Field;25.125 47.4375 -33.3125 3
1354227541291219960;accel/kr3dh;-0.27240697 -0.040861044 9.697687 3
1354227541291219960;linaccel/Linear Acceleration Sensor;0.062410265 0.044948902 -0.034109116 3
1354227541291158960;orientation/AK8973 Compass;335.375 0.25 -1.625 1
1354227541384665283;wifi;00:17:df:a7:33:12,UNKNOWN,-69 00:22:90:39:07:12,UNKNOWN,-73 00:17:df:a7:4c:f2,UNKNOWN,-79 00:23:04:89:cd:b2,UNKNOWN,-84 00:17:df:a7:a7:62,UNKNOWN,-95 00:22:6b:98:8c:d6,UNKNOWN,-95 00:22:90:39:07:15,UNKNOWN,-74 00:17:df:a7:4c:f5,UNKNOWN,-80 00:23:04:89:cd:b5,UNKNOWN,-82 00:17:df:a8:60:65,UNKNOWN,-91 00:17:df:a7:33:10,UNKNOWN,-68 00:22:90:39:07:11,UNKNOWN,-72 00:22:90:39:07:10,UNKNOWN,-72 00:17:df:a7:33:16,UNKNOWN,-74 00:22:90:39:07:16,UNKNOWN,-75 00:17:df:a7:4c:f1,UNKNOWN,-79 00:17:df:a7:4c:f0,UNKNOWN,-79 00:17:df:a7:4c:f6,UNKNOWN,-80 00:23:04:89:cd:b0,UNKNOWN,-82 00:23:04:89:cd:b1,UNKNOWN,-83 00:17:df:a8:60:60,UNKNOWN,-84 00:17:df:a8:60:66,UNKNOWN,-87 00:17:df:a7:a7:61,UNKNOWN,-94 
1354227541387014960;compass/AK8973 Magnetic Field;25.375 47.6875 -33.3125 3
1354227541386983960;accel/kr3dh;-0.35412905 -0.095342435 9.765789 3
1354227541386983960;linaccel/Linear Acceleration Sensor;-0.035883904 -0.0076288953 0.038956642 3
1354227541386922960;orientation/AK8973 Compass;335.21875 0.5625 -2.0625 1
1354227541382000000;latLngE7Network;378754245 -1222587212 50.0 -1.0 -1.0
1354227541480703960;compass/AK8973 Magnetic Field;25.375 47.6875 -33.8125 3
1354227541480672960;orientation/AK8973 Compass;335.07813 0.21875 -1.90625 1
1354227541480672960;accel/kr3dh;-0.32688835 -0.040861044 9.847511 3
1354227541480672960;linaccel/Linear Acceleration Sensor;-0.022467017 0.045128923 0.11703396 3
1354227541574514960;compass/AK8973 Magnetic Field;25.375 47.4375 -33.5625 3
1354227541574483960;accel/kr3dh;-0.3405087 -0.14982383 9.765789 3
1354227541574483960;linaccel/Linear Acceleration Sensor;-0.038223922 -0.068728305 0.021995544 3
1354227541574453960;orientation/AK8973 Compass;334.9375 0.859375 -1.984375 1
1354227541669790960;accel/kr3dh;-0.313268 -0.06810174 9.738548 3
1354227541669790960;compass/AK8973 Magnetic Field;25.375 47.1875 -33.3125 3
1354227541669790960;linaccel/Linear Acceleration Sensor;-0.0016961694 0.01016476 -0.025650024 3
1354227541669759960;orientation/AK8973 Compass;334.79688 0.390625 -1.84375 1
1354227541716000000;rawNmea;$GPGSV,4,1,14,03,32,305,,06,48,292,,09,05,090,,14,22,181,*76
1354227541718000000;rawNmea;$GPGSV,4,2,14,15,26,049,,16,16,264,,18,74,014,,19,12,317,*76
1354227541720000000;rawNmea;$GPGSV,4,3,14,21,60,077,,22,54,258,,24,05,097,,27,06,219,*74
1354227541722000000;rawNmea;$GPGSV,4,4,14,29,10,154,,30,05,233,*72
1354227541729000000;rawNmea;$GPGGA,221901.4,,,,,0,,,,,,,,*75
1354227541734000000;rawNmea;$GPVTG,,T,,M,,N,,K,N*2C
1354227541738000000;rawNmea;$GPRMC,,V,,,,,,,,,,N*53
1354227541747000000;rawNmea;$GPGSA,A,1,,,,,,,,,,,,,,,*1E
1354227541764058960;compass/AK8973 Magnetic Field;25.125 47.1875 -33.0625 3
1354227541764028960;accel/kr3dh;-0.23154591 -0.08172209 9.724928 3
1354227541764028960;linaccel/Linear Acceleration Sensor;0.09036444 -3.6358088E-4 -0.05445957 3
1354227541763967960;orientation/AK8973 Compass;334.65625 0.484375 -1.375 1
1354227541859517960;compass/AK8973 Magnetic Field;25.125 47.6875 -33.0625 3
1354227541859487960;accel/kr3dh;-0.313268 -0.040861044 9.615966 3
1354227541859487960;linaccel/Linear Acceleration Sensor;0.0087291 0.045528177 -0.16067982 3
1354227541859456960;orientation/AK8973 Compass;334.5625 0.25 -1.875 1
1354227541954702960;compass/AK8973 Magnetic Field;25.375 47.6875 -33.5625 3
1354227541954671960;accel/kr3dh;-0.29964766 -0.0 9.670447 3
1354227541954671960;linaccel/Linear Acceleration Sensor;0.010224611 0.08467531 -0.08190727 3
1354227541954610960;orientation/AK8973 Compass;334.46875 0.0 -1.765625 1
1354227542048360960;orientation/AK8973 Compass;334.32813 0.875 -1.515625 1
1354227542048360960;accel/kr3dh;-0.25878662 -0.14982383 9.779409 3
1354227542048360960;compass/AK8973 Magnetic Field;25.875 47.6875 -33.8125 3
1354227542048360960;linaccel/Linear Acceleration Sensor;0.03629327 -0.07626894 0.06287956 3
1354227542142812960;compass/AK8973 Magnetic Field;25.875 47.4375 -34.0625 3
1354227542142781960;accel/kr3dh;-0.27240697 -0.095342435 9.738548 3
1354227542142781960;linaccel/Linear Acceleration Sensor;0.012730509 -0.033727728 0.049487114 3
1354227542142690960;orientation/AK8973 Compass;334.1875 0.5625 -1.59375 1
1354227542173361572;wifi;00:17:df:a7:33:12,UNKNOWN,-69 00:22:90:39:07:12,UNKNOWN,-69 00:17:df:a7:4c:f2,UNKNOWN,-79 00:22:90:39:65:b2,UNKNOWN,-95 00:17:df:a7:33:15,UNKNOWN,-70 00:22:90:39:07:15,UNKNOWN,-70 00:17:df:a7:4c:f5,UNKNOWN,-78 00:22:90:39:65:b5,UNKNOWN,-92 00:17:df:a7:33:11,UNKNOWN,-68 00:17:df:a7:33:10,UNKNOWN,-68 00:22:90:39:07:11,UNKNOWN,-69 00:17:df:a7:33:16,UNKNOWN,-69 00:22:90:39:07:16,UNKNOWN,-71 00:17:df:a7:4c:f0,UNKNOWN,-78 00:17:df:a7:4c:f1,UNKNOWN,-80 00:23:04:89:cd:b0,UNKNOWN,-82 00:23:04:89:cd:b6,UNKNOWN,-82 00:17:df:a7:4c:f6,UNKNOWN,-85 00:17:df:a8:60:60,UNKNOWN,-86 00:22:90:39:65:b6,UNKNOWN,-93 
1354227542236959960;orientation/AK8973 Compass;334.04688 0.5625 -1.84375 1
1354227542236959960;accel/kr3dh;-0.313268 -0.095342435 9.738548 3
1354227542236959960;compass/AK8973 Magnetic Field;25.875 46.9375 -33.5625 3
1354227542236959960;linaccel/Linear Acceleration Sensor;-0.033236593 -0.033589832 0.05189991 3
1354227542331533960;orientation/AK8973 Compass;333.95313 0.390625 -1.765625 1
1354227542331533960;accel/kr3dh;-0.29964766 -0.06810174 9.711308 3
1354227542331533960;compass/AK8973 Magnetic Field;25.375 47.1875 -33.5625 3
1354227542331533960;linaccel/Linear Acceleration Sensor;-0.020771056 0.0065433383 0.006175995 3
1354227542424978960;orientation/AK8973 Compass;333.85938 0.3125 -1.265625 1
1354227542424978960;accel/kr3dh;-0.21792556 -0.05448139 9.820271 3
1354227542424978960;compass/AK8973 Magnetic Field;25.125 47.1875 -33.5625 3
1354227542424978960;linaccel/Linear Acceleration Sensor;0.063671514 0.03334621 0.093188286 3
1354227542518178960;accel/kr3dh;-0.23154591 -0.0 9.629586 3
1354227542518178960;compass/AK8973 Magnetic Field;24.8125 47.4375 -33.3125 3
1354227542518178960;linaccel/Linear Acceleration Sensor;0.05138524 0.09006811 -0.11237049 3
1354227542518148960;orientation/AK8973 Compass;333.8125 0.0 -1.375 1
1354227542612203960;compass/AK8973 Magnetic Field;25.125 47.4375 -33.5625 3
1354227542612172960;accel/kr3dh;-0.35412905 -0.040861044 9.79303 3
1354227542612172960;linaccel/Linear Acceleration Sensor;-0.07716727 0.037128445 0.046066284 3
1354227542612111960;orientation/AK8973 Compass;333.76563 0.25 -2.0625 1
1354227542707265960;accel/kr3dh;-0.313268 -0.095342435 9.765789 3
1354227542707265960;compass/AK8973 Magnetic Field;25.625 47.6875 -33.0625 3
1354227542707265960;linaccel/Linear Acceleration Sensor;-0.04370144 -0.037602793 0.022011757 3
1354227542707235960;orientation/AK8973 Compass;333.6875 0.5625 -1.84375 1
1354227542721000000;rawNmea;$GPGSV,4,1,14,03,32,305,,06,48,292,,09,05,090,,14,22,181,*76
1354227542722000000;rawNmea;$GPGSV,4,2,14,15,26,049,,16,16,264,,18,74,014,,19,12,317,*76
1354227542729000000;rawNmea;$GPGSV,4,3,14,21,60,077,,22,54,258,,24,05,097,,27,06,219,*74
1354227542733000000;rawNmea;$GPGSV,4,4,14,29,10,154,,30,05,233,*72
1354227542739000000;rawNmea;$GPGGA,221902.4,,,,,0,,,,,,,,*76
1354227542743000000;rawNmea;$GPVTG,,T,,M,,N,,K,N*2C
1354227542747000000;rawNmea;$GPRMC,,V,,,,,,,,,,N*53
1354227542751000000;rawNmea;$GPGSA,A,1,,,,,,,,,,,,,,,*1E
1354227542802388960;compass/AK8973 Magnetic Field;25.375 47.4375 -33.0625 3
1354227542802358960;accel/kr3dh;-0.27240697 -0.095342435 9.79303 3
1354227542802358960;linaccel/Linear Acceleration Sensor;3.8161874E-4 -0.051945988 0.051797867 3
1354227542802327960;orientation/AK8973 Compass;333.625 0.5625 -1.59375 1
1354227542896779960;orientation/AK8973 Compass;333.5625 0.171875 -1.8125 1
1354227542896779960;accel/kr3dh;-0.313268 -0.027240695 9.861132 3
1354227542896779960;compass/AK8973 Magnetic Field;25.625 47.4375 -32.8125 3
1354227542896779960;linaccel/Linear Acceleration Sensor;-0.027282894 0.017244486 0.11220646 3
1354227543004111085;wifi;00:17:df:a7:33:12,UNKNOWN,-68 00:22:90:39:07:12,UNKNOWN,-72 00:17:df:a7:4c:f2,UNKNOWN,-79 00:23:04:89:cd:b2,UNKNOWN,-81 00:22:90:39:65:b2,UNKNOWN,-90 00:22:6b:98:8c:d6,UNKNOWN,-94 00:17:df:a7:33:15,UNKNOWN,-68 00:22:90:39:07:15,UNKNOWN,-70 00:17:df:a7:4c:f5,UNKNOWN,-80 00:23:04:89:cd:b5,UNKNOWN,-83 00:22:90:39:65:b5,UNKNOWN,-92 00:17:df:a7:33:11,UNKNOWN,-69 00:17:df:a7:33:16,UNKNOWN,-69 00:17:df:a7:33:10,UNKNOWN,-70 00:22:90:39:07:11,UNKNOWN,-71 00:22:90:39:07:10,UNKNOWN,-77 00:22:90:39:07:16,UNKNOWN,-78 00:17:df:a7:4c:f1,UNKNOWN,-79 00:23:04:89:cd:b1,UNKNOWN,-81 00:23:04:89:cd:b6,UNKNOWN,-83 00:17:df:a7:4c:f6,UNKNOWN,-85 00:17:df:a8:60:61,UNKNOWN,-86 00:17:df:a7:4c:f0,UNKNOWN,-86 00:22:90:39:65:b1,UNKNOWN,-92 00:23:04:89:bb:f6,UNKNOWN,-95 00:23:04:89:bb:f1,UNKNOWN,-95 
1354227543001546960;compass/AK8973 Magnetic Field;25.375 47.6875 -33.0625 3
1354227543001516960;accel/kr3dh;-0.24516626 -0.095342435 9.711308 3
1354227543001516960;linaccel/Linear Acceleration Sensor;0.053353652 -0.037286922 -0.059007645 3
1354227543001455960;orientation/AK8973 Compass;333.5 0.5625 -1.453125 1
1354227543094472960;accel/kr3dh;-0.313268 -0.05448139 9.724928 3
1354227543094472960;compass/AK8973 Magnetic Field;25.375 47.4375 -33.5625 3
1354227543094472960;linaccel/Linear Acceleration Sensor;-0.012811899 0.013550889 -0.0633564 3
1354227543094442960;orientation/AK8973 Compass;333.45313 0.3125 -1.84375 1
1354227543188253960;compass/AK8973 Magnetic Field;25.375 47.6875 -33.3125 3
1354227543188222960;accel/kr3dh;-0.2860273 -0.013620348 9.602345 3
1354227543188222960;linaccel/Linear Acceleration Sensor;0.008541763 0.057104476 -0.18636036 3
1354227543188192960;orientation/AK8973 Compass;333.42188 0.078125 -1.703125 1
1354227543282308960;accel/kr3dh;-0.2860273 -0.027240695 9.670447 3
1354227543282308960;compass/AK8973 Magnetic Field;25.375 47.9375 -33.3125 3
1354227543282308960;linaccel/Linear Acceleration Sensor;0.0022469163 0.03858664 -0.09248257 3
1354227543282277960;orientation/AK8973 Compass;333.39063 0.171875 -1.703125 1
1354227543378103960;compass/AK8973 Magnetic Field;25.375 47.6875 -33.0625 3
1354227543378072960;accel/kr3dh;-0.32688835 -0.0 9.697687 3
1354227543378072960;linaccel/Linear Acceleration Sensor;-0.040465295 0.0533501 -0.020986557 3
1354227543378011960;orientation/AK8973 Compass;333.375 0.0 -1.9375 1
1354227543473684960;compass/AK8973 Magnetic Field;25.375 47.6875 -32.5625 3
1354227543473653960;accel/kr3dh;-0.2860273 -0.05448139 9.711308 3
1354227543473653960;linaccel/Linear Acceleration Sensor;0.0034826994 -0.017219763 0.032022476 3
1354227543473623960;orientation/AK8973 Compass;333.34375 0.3125 -1.671875 1
1354227543568136960;orientation/AK8973 Compass;333.32813 0.3125 -2.234375 1
1354227543568136960;accel/kr3dh;-0.38136974 -0.05448139 9.79303 3
1354227543568136960;compass/AK8973 Magnetic Field;25.375 47.6875 -32.0625 3
1354227543568136960;linaccel/Linear Acceleration Sensor;-0.08498162 -0.029334025 0.12875366 3
1354227543661916960;accel/kr3dh;-0.29964766 -0.08172209 9.724928 3
1354227543661916960;linaccel/Linear Acceleration Sensor;0.0068187416 -0.058249913 0.047950745 3
1354227543661886960;orientation/AK8973 Compass;333.29688 0.484375 -1.765625 1
1354227543718000000;rawNmea;$GPGSV,4,1,14,03,32,305,,06,48,292,,09,05,090,,14,22,181,*76
1354227543719000000;rawNmea;$GPGSV,4,2,14,15,26,049,,16,16,264,,18,74,014,,19,12,317,*76
1354227543720000000;rawNmea;$GPGSV,4,3,14,21,60,077,,22,54,258,,24,05,097,,27,06,219,*74
1354227543723000000;rawNmea;$GPGSV,4,4,14,29,10,154,,30,05,233,*72
1354227543729000000;rawNmea;$GPGGA,221903.3,,,,,0,,,,,,,,*70
1354227543734000000;rawNmea;$GPVTG,,T,,M,,N,,K,N*2C
1354227543738000000;rawNmea;$GPRMC,,V,,,,,,,,,,N*53
1354227543742000000;rawNmea;$GPGSA,A,1,,,,,,,,,,,,,,,*1E
1354227543758992960;compass/AK8973 Magnetic Field;25.125 48.1875 -32.0625 3
1354227543758962960;accel/kr3dh;-0.2860273 -0.05448139 9.80665 3
1354227543758962960;linaccel/Linear Acceleration Sensor;0.03177187 -0.020710133 0.098278046 3
1354227543758901960;orientation/AK8973 Compass;333.29688 0.3125 -1.671875 1
