1354997854852467530;metadata_log_format;3 # nanosecond timing
1354997854854023926;metadata_system_time;1354997854854
1354997854855305664;metadata_surveyName;/sdcard/LocationTracker/1354997854842.txt
1354997854857075684;metadata_notes;
1354997854858815186;metadata_deviceInfo;Board: bryce Brand: Verizon Device: bryce Hardware: qcom Manufacturer: LGE Model: VS910 4G Product: bryce
1354997843253000000;latLngE7LastKnown;378754249 -1222587163 45.0 -1.0 -1.0
1354997854911396470;compass/AK8973 Magnetic Field;-36.125 14.0 -55.4375 3
1354997854911365470;accel/kr3dh;-0.19068487 -0.08172209 9.888372 3
1354997854911365470;linaccel/Linear Acceleration Sensor;0.0 0.0 0.0 3
1354997854911304470;orientation/AK8973 Compass;57.53125 0.46875 -1.09375 2
1354997855014637470;accel/kr3dh;-0.21792556 -0.05448139 9.901993 3
1354997855014637470;compass/AK8973 Magnetic Field;-38.1875 12.0 -52.375 3
1354997855014637470;linaccel/Linear Acceleration Sensor;-0.026721716 0.026721712 0.013360977 3
1354997855014606470;orientation/AK8973 Compass;65.46875 0.3125 -1.265625 2
1354997855108387470;accel/kr3dh;-0.16344418 -0.0 9.929234 3
1354997855108387470;compass/AK8973 Magnetic Field;-37.1875 16.0 -54.4375 3
1354997855108387470;linaccel/Linear Acceleration Sensor;0.029300451 0.07814009 0.039069176 3
1354997855108356470;orientation/AK8973 Compass;65.578125 0.0 -0.953125 2
1354997855203266470;compass/AK8973 Magnetic Field;-37.1875 14.25 -53.9375 3
1354997855203236470;accel/kr3dh;-0.10896278 -0.05448139 9.861132 3
1354997855203236470;linaccel/Linear Acceleration Sensor;0.084108375 0.01452877 -0.03300476 3
1354997855203175470;orientation/AK8973 Compass;65.84375 0.3125 -0.640625 2
1354997855297504470;orientation/AK8973 Compass;66.109375 0.46875 -0.953125 2
1354997855297504470;accel/kr3dh;-0.16344418 -0.08172209 9.861132 3
1354997855297504470;compass/AK8973 Magnetic Field;-37.1875 14.25 -53.6875 3
1354997855297504470;linaccel/Linear Acceleration Sensor;0.022956848 -0.02650895 -0.036810875 3
1354997855391407470;compass/AK8973 Magnetic Field;-36.9375 15.25 -54.1875 3
1354997855391376470;accel/kr3dh;-0.21792556 -0.095342435 9.779409 3
