1354227157150765624;metadata_log_format;3 # nanosecond timing
1354227157152901855;metadata_system_time;1354227157153
1354227157154305663;metadata_surveyName;/sdcard/LocationTracker/1354227157141.txt
1354227157156014647;metadata_notes;
1354227157157479491;metadata_deviceInfo;Board: bryce Brand: Verizon Device: bryce Hardware: qcom Manufacturer: LGE Model: VS910 4G Product: bryce
1354227139773000000;latLngE7LastKnown;378754106 -1222587065 50.0 -1.0 -1.0
1354227157201058257;compass/AK8973 Magnetic Field;17.0 59.75 -5.25 3
1354227157201027257;accel/kr3dh;-0.05448139 -0.040861044 9.643207 3
1354227157201027257;linaccel/Linear Acceleration Sensor;0.0 0.0 0.0 3
1354227157200997257;orientation/AK8973 Compass;338.95313 0.25 -0.34375 1
1354227157304726257;orientation/AK8973 Compass;339.21875 0.5625 -0.890625 1
1354227157304726257;accel/kr3dh;-0.14982383 -0.095342435 9.697687 3
1354227157304726257;compass/AK8973 Magnetic Field;18.0 59.75 -7.25 3
1354227157304726257;linaccel/Linear Acceleration Sensor;-0.09350194 -0.053429674 0.053429604 3
1354227157398323257;accel/kr3dh;-0.095342435 -0.12258313 9.697687 3
1354227157398323257;compass/AK8973 Magnetic Field;17.0 59.75 -6.25 3
1354227157398323257;linaccel/Linear Acceleration Sensor;-0.031722933 -0.075689085 0.04882717 3
1354227157398293257;orientation/AK8973 Compass;339.53125 0.734375 -0.5625 1
1354227157491402257;accel/kr3dh;-0.10896278 -0.06810174 9.711308 3
1354227157491402257;compass/AK8973 Magnetic Field;17.5 59.75 -6.0 3
1354227157491402257;linaccel/Linear Acceleration Sensor;-0.030587822 -0.009101003 0.05152321 3
1354227157491372257;orientation/AK8973 Compass;339.79688 0.390625 -0.640625 1
1354227157585701257;compass/AK8973 Magnetic Field;17.75 59.75 -5.75 3
1354227157585671257;accel/kr3dh;-0.095342435 -0.0 9.724928 3
1354227157585671257;linaccel/Linear Acceleration Sensor;2.5250763E-4 0.07449721 0.04842758 3
1354227157585640257;orientation/AK8973 Compass;340.03125 0.0 -0.5625 1
1354227157682961257;compass/AK8973 Magnetic Field;17.5 59.5 -5.5 3
1354227157682900257;accel/kr3dh;-0.19068487 -0.12258313 9.643207 3
1354227157682900257;linaccel/Linear Acceleration Sensor;-0.082062 -0.04035803 -0.050839424 3
1354227157682869257;orientation/AK8973 Compass;340.26563 0.734375 -1.125 1
1354227157780281257;compass/AK8973 Magnetic Field;17.5 59.25 -5.0 3
1354227157780251257;accel/kr3dh;-0.10896278 -0.013620348 9.724928 3
1354227157780251257;linaccel/Linear Acceleration Sensor;0.008833684 0.06366762 0.020658493 3
1354227157780190257;orientation/AK8973 Compass;340.46875 0.078125 -0.640625 1
1354227157874062257;orientation/AK8973 Compass;340.67188 0.734375 -0.890625 1
1354227157874062257;accel/kr3dh;-0.14982383 -0.12258313 9.697687 3
1354227157874062257;compass/AK8973 Magnetic Field;17.25 59.0 -5.25 3
1354227157874062257;linaccel/Linear Acceleration Sensor;-0.02290903 -0.054496586 -0.006980896 3
1354227157966774257;orientation/AK8973 Compass;340.875 0.0 -0.484375 1
1354227157966774257;accel/kr3dh;-0.08172209 -0.0 9.738548 3
1354227157966774257;compass/AK8973 Magnetic Field;17.0 58.75 -5.5 3
1354227157966774257;linaccel/Linear Acceleration Sensor;0.052937143 0.062278688 0.037446976 3
