1354130928552627197;metadata_log_format;3 # nanosecond timing
1354130928554244628;metadata_system_time;1354130928555
1354130928555862060;metadata_surveyName;/sdcard/LocationTracker/1354130928541.txt
1354130928557723632;metadata_notes;
1354130928559157958;metadata_deviceInfo;Board: bryce Brand: Verizon Device: bryce Hardware: qcom Manufacturer: LGE Model: VS910 4G Product: bryce
1354130903691000000;latLngE7LastKnown;378754460 -1222586705 50.0 -1.0 -1.0
1354130928603194054;compass/AK8973 Magnetic Field;21.0625 38.5625 21.0625 3
1354130928603133054;accel/kr3dh;0.12258313 -0.29964766 9.575105 3
1354130928603133054;linaccel/Linear Acceleration Sensor;0.0 0.0 0.0 3
1354130928603103054;orientation/AK8973 Compass;270.90625 1.796875 0.734375 1
1354130928709426054;accel/kr3dh;0.23154591 -0.27240697 9.507003 3
1354130928709426054;compass/AK8973 Magnetic Field;22.0625 36.5625 27.125 3
1354130928709426054;linaccel/Linear Acceleration Sensor;0.10668713 0.026671797 -0.066679955 3
1354130928709395054;orientation/AK8973 Compass;300.53125 1.65625 1.40625 1
1354130928804275054;accel/kr3dh;0.17706452 -0.17706452 9.479762 3
1354130928804275054;compass/AK8973 Magnetic Field;20.0625 37.5625 24.0625 3
1354130928804275054;linaccel/Linear Acceleration Sensor;0.043367878 0.11822428 -0.0875082 3
1354130928804244054;orientation/AK8973 Compass;316.60938 1.0625 1.0625 1
1354130928901595054;compass/AK8973 Magnetic Field;21.0625 38.5625 22.5625 3
1354130928901565054;accel/kr3dh;0.095342435 -0.21792556 9.520623 3
1354130928901565054;linaccel/Linear Acceleration Sensor;-0.055555426 0.06401269 -0.030464172 3
1354130928901504054;orientation/AK8973 Compass;324.26563 1.3125 0.59375 1
1354130928998672054;accel/kr3dh;-0.027240695 -0.27240697 9.520623 3
1354130928998672054;compass/AK8973 Magnetic Field;20.8125 39.875 21.8125 3
1354130928998672054;linaccel/Linear Acceleration Sensor;-0.18968616 -0.014184386 -0.008231163 3
1354130928998641054;orientation/AK8973 Compass;328.48438 1.65625 -0.171875 1
1354130929092605054;compass/AK8973 Magnetic Field;20.5625 39.625 23.0625 3
1354130929092574054;accel/kr3dh;0.0 -0.25878662 9.493382 3
1354130929092574054;linaccel/Linear Acceleration Sensor;-0.14902836 -0.022657812 -0.017781258 3
1354130929092513054;orientation/AK8973 Compass;328.76563 1.5625 -0.0 1
1354130929187667054;compass/AK8973 Magnetic Field;20.8125 39.875 24.8125 3
1354130929187606054;accel/kr3dh;-0.027240695 -0.29964766 9.575105 3
1354130929187606054;linaccel/Linear Acceleration Sensor;-0.13229796 -0.071164906 0.07117939 3
1354130929187575054;orientation/AK8973 Compass;329.01563 1.796875 -0.171875 1
1354130929281295054;accel/kr3dh;-0.06810174 -0.2860273 9.547864 3
1354130929281295054;compass/AK8973 Magnetic Field;20.3125 41.125 27.375 3
1354130929281295054;linaccel/Linear Acceleration Sensor;-0.11585948 -0.047819525 0.040247917 3
1354130929281264054;orientation/AK8973 Compass;329.32813 1.703125 -0.421875 1
1354130929374160054;accel/kr3dh;-0.05448139 -0.27240697 9.561484 3
1354130929374160054;compass/AK8973 Magnetic Field;15.75 42.625 34.1875 3
1354130929374160054;linaccel/Linear Acceleration Sensor;-0.051062517 -0.014891654 0.04144287 3
1354130929374129054;orientation/AK8973 Compass;334.60938 1.625 -0.34375 1
