1353894195269055418;metadata_log_format;3 # nanosecond timing
1353894195269940428;metadata_system_time;1353894195270
1353894195270306639;metadata_surveyName;/sdcard/LocationTracker/1353894195221.txt
1353894195270886473;metadata_notes;
1353894195271405272;metadata_deviceInfo;Board: bryce Brand: Verizon Device: bryce Hardware: qcom Manufacturer: LGE Model: VS910 4G Product: bryce
1353856623678000000;latLngE7LastKnown;378756222 -1222782500 45.0 -1.0 -1.0
1353894195230480404;accel/kr3dh;-0.47671217 -0.10896278 9.738548 3
1353894195323406404;accel/kr3dh;-0.47671217 -0.05448139 9.602345 3
1353894195323406404;compass/AK8973 Magnetic Field;-9.1875 -22.4375 -24.3125 3
1353894195323406404;linaccel/Linear Acceleration Sensor;0.0 0.0 0.0 3
1353894195323376404;orientation/AK8973 Compass;155.5625 0.328125 -2.859375 1
1353894195415844404;orientation/AK8973 Compass;155.54688 0.390625 -2.96875 1
1353894195415844404;accel/kr3dh;-0.50395286 -0.06810174 9.684067 3
1353894195415844404;compass/AK8973 Magnetic Field;-9.1875 -22.4375 -24.0625 3
1353894195415844404;linaccel/Linear Acceleration Sensor;-0.026877046 -0.013438523 0.080631256 3
1353894195509045404;compass/AK8973 Magnetic Field;-8.9375 -22.1875 -23.8125 3
1353894195509014404;orientation/AK8973 Compass;155.5625 0.46875 -2.828125 1
1353894195509014404;accel/kr3dh;-0.47671217 -0.08172209 9.643207 3
1353894195509014404;linaccel/Linear Acceleration Sensor;0.00208807 -0.02582362 0.03403759 3
1353894195606579404;compass/AK8973 Magnetic Field;-8.9375 -21.9375 -23.5625 3
1353894195606548404;orientation/AK8973 Compass;155.54688 0.5625 -2.96875 1
1353894195606548404;accel/kr3dh;-0.50395286 -0.095342435 9.684067 3
1353894195606548404;linaccel/Linear Acceleration Sensor;-0.021431684 -0.035255454 0.06089115 3
1353894195700237404;accel/kr3dh;-0.50395286 -0.05448139 9.670447 3
1353894195700237404;compass/AK8973 Magnetic Field;-8.9375 -21.6875 -23.5625 3
1353894195700237404;linaccel/Linear Acceleration Sensor;-0.016881138 0.012756724 0.028948784 3
1353894195700207404;orientation/AK8973 Compass;155.51563 0.34375 -3.0 1
1353894195792706404;orientation/AK8973 Compass;155.59375 0.5625 -2.90625 1
1353894195792706404;accel/kr3dh;-0.4903325 -0.095342435 9.684067 3
1353894195792706404;compass/AK8973 Magnetic Field;-8.6875 -22.6875 -23.8125 3
1353894195792706404;linaccel/Linear Acceleration Sensor;0.0014142096 -0.020561613 0.025203705 3
1353894195887524404;accel/kr3dh;-0.50395286 -0.05448139 9.697687 3
1353894195887524404;compass/AK8973 Magnetic Field;-8.6875 -22.4375 -24.5625 3
1353894195887524404;linaccel/Linear Acceleration Sensor;-0.007993281 0.024866294 0.02550888 3
