1354143248471972168;metadata_log_format;3 # nanosecond timing
1354143248474016846;metadata_system_time;1354143248474
1354143248475573243;metadata_surveyName;/sdcard/LocationTracker/1354143248463.txt
1354143248477434815;metadata_notes;
1354143248479235352;metadata_deviceInfo;Board: bryce Brand: Verizon Device: bryce Hardware: qcom Manufacturer: LGE Model: VS910 4G Product: bryce
1354143091105000000;latLngE7LastKnown;378754377 -1222587041 50.0 -1.0 -1.0
1354143248525438581;compass/AK8973 Magnetic Field;-7.25 34.5625 -49.75 3
1354143248525316581;accel/kr3dh;-0.06810174 -0.12258313 9.697687 3
1354143248525316581;linaccel/Linear Acceleration Sensor;0.0 0.0 0.0 3
1354143248525285581;orientation/AK8973 Compass;17.078125 0.734375 -0.390625 1
1354143248637102581;compass/AK8973 Magnetic Field;-7.25 35.5625 -50.75 3
1354143248637071581;orientation/AK8973 Compass;16.78125 0.0 -0.5625 1
1354143248637071581;accel/kr3dh;-0.095342435 -0.0 9.711308 3
1354143248637071581;linaccel/Linear Acceleration Sensor;-0.026573703 0.119581684 0.013286591 3
1354143248729387581;accel/kr3dh;-0.17706452 -0.14982383 9.615966 3
1354143248729387581;compass/AK8973 Magnetic Field;-7.25 37.5625 -47.75 3
1354143248729387581;linaccel/Linear Acceleration Sensor;-0.104837544 -0.038924336 -0.08197403 3
1354143248729356581;orientation/AK8973 Compass;16.515625 0.890625 -1.0625 1
1354143248824724581;accel/kr3dh;-0.13620348 -0.027240695 9.765789 3
1354143248824724581;compass/AK8973 Magnetic Field;-7.25 35.8125 -49.5 3
1354143248824724581;linaccel/Linear Acceleration Sensor;-0.052371502 0.068755 0.0705452 3
1354143248824693581;orientation/AK8973 Compass;16.265625 0.171875 -0.8125 1
1354143248920213581;compass/AK8973 Magnetic Field;-7.25 36.0625 -49.5 3
1354143248920183581;accel/kr3dh;-0.13620348 -0.05448139 9.765789 3
1354143248920183581;linaccel/Linear Acceleration Sensor;-0.031442016 0.02703723 0.07352543 3
1354143248920152581;orientation/AK8973 Compass;16.03125 0.3125 -0.8125 1
1354143249014940581;compass/AK8973 Magnetic Field;-7.0 35.8125 -49.25 3
1354143249014909581;orientation/AK8973 Compass;15.828125 0.0 -1.28125 1
1354143249014909581;accel/kr3dh;-0.21792556 -0.0 9.765789 3
1354143249014909581;linaccel/Linear Acceleration Sensor;-0.089429855 0.06959199 0.06740379 3
1354143249109850581;accel/kr3dh;-0.10896278 -0.040861044 9.697687 3
1354143249109850581;compass/AK8973 Magnetic Field;-7.0 35.5625 -49.75 3
1354143249109850581;linaccel/Linear Acceleration Sensor;0.039398275 0.015830133 -0.019330978 3
1354143249109819581;orientation/AK8973 Compass;15.59375 0.25 -0.640625 1
1354143249206346581;compass/AK8973 Magnetic Field;-7.0 35.5625 -50.0 3
1354143249206316581;accel/kr3dh;-0.14982383 -0.08172209 9.670447 3
1354143249206316581;linaccel/Linear Acceleration Sensor;0.0109384805 -0.03880363 -0.06590176 3
1354143249206255581;orientation/AK8973 Compass;15.390625 0.46875 -0.890625 1
