1364534158790268556;metadata_log_format;3 # nanosecond timing
1364534158790848390;metadata_system_time;1364534158791
1364534158791245119;metadata_surveyName;/sdcard/LocationTracker/1364534158765.txt
1364534158791947023;metadata_notes;
1364534158792465822;metadata_deviceInfo;Board: bryce Brand: Verizon Device: bryce Hardware: qcom Manufacturer: LGE Model: VS910 4G Product: bryce
1364534137501000000;latLngE7LastKnown;378749115 -1222585034 55.0 -1.0 -1.0
1364534158841049291;orientation/AK8973 Compass;17.0625 5.65625 4.453125 1
1364534158841049291;accel/kr3dh;0.7627395 -0.9670447 9.738548 3
1364534158841049291;compass/AK8973 Magnetic Field;-21.125 104.875 8.75 3
1364534158841049291;linaccel/Linear Acceleration Sensor;0.0 0.0 0.0 3
1364534158934036291;accel/kr3dh;0.7491191 -0.92618364 9.643207 3
1364534158934036291;compass/AK8973 Magnetic Field;-22.125 106.875 11.75 3
1364534158934036291;linaccel/Linear Acceleration Sensor;-0.013435066 0.04030502 -0.09404564 3
1364534158934006291;orientation/AK8973 Compass;16.734375 5.46875 4.421875 1
1364534159030685291;compass/AK8973 Magnetic Field;-20.125 102.8125 12.75 3
1364534159030655291;accel/kr3dh;0.7627395 -0.89894295 9.615966 3
1364534159030655291;linaccel/Linear Acceleration Sensor;0.0011146069 0.06370962 -0.11289501 3
1364534159030624291;orientation/AK8973 Compass;16.390625 5.328125 4.515625 1
1364534159125809291;accel/kr3dh;0.7354988 -0.92618364 9.697687 3
1364534159125809291;compass/AK8973 Magnetic Field;-21.125 104.875 11.25 3
1364534159125809291;linaccel/Linear Acceleration Sensor;-0.024090528 0.026302159 -0.010734558 3
1364534159125778291;orientation/AK8973 Compass;16.09375 5.4375 4.3125 1
1364534159222030291;compass/AK8973 Magnetic Field;-21.375 105.375 11.5 3
1364534159222000291;orientation/AK8973 Compass;15.8125 5.46875 4.34375 1
1364534159222000291;accel/kr3dh;0.7354988 -0.92618364 9.656827 3
1364534159222000291;linaccel/Linear Acceleration Sensor;-0.020590842 0.010940373 -0.024140358 3
1364534159319443291;compass/AK8973 Magnetic Field;-20.625 104.625 11.25 3
1364534159319412291;orientation/AK8973 Compass;15.53125 5.375 4.34375 1
1364534159319412291;accel/kr3dh;0.7354988 -0.9125633 9.643207 3
1364534159319412291;linaccel/Linear Acceleration Sensor;-0.01516211 0.010746419 -0.016889572 3
1364534159414871291;compass/AK8973 Magnetic Field;-21.125 104.875 10.75 3
1364534159414841291;accel/kr3dh;0.7627395 -0.89894295 9.670447 3
1364534159414841291;linaccel/Linear Acceleration Sensor;0.01821512 0.016987085 0.018530846 3
1364534159414779291;orientation/AK8973 Compass;15.28125 5.296875 4.484375 1
1364534159508591291;orientation/AK8973 Compass;15.046875 5.46875 4.421875 1
1364534159508591291;accel/kr3dh;0.7491191 -0.92618364 9.656827 3
1364534159508591291;compass/AK8973 Magnetic Field;-21.125 104.625 10.25 3
1364534159508591291;linaccel/Linear Acceleration Sensor;0.008356571 -0.012943566 0.004954338 3
1364534159601578291;orientation/AK8973 Compass;14.828125 5.46875 4.421875 1
1364534159601608291;compass/AK8973 Magnetic Field;-20.875 104.375 10.5 3
1364534159652603760;wifi;00:24:14:31:e6:21,UNKNOWN,-74 00:24:14:31:f6:e1,UNKNOWN,-76 00:24:14:31:f9:41,UNKNOWN,-78 00:24:14:31:eb:b1,UNKNOWN,-95 00:24:14:31:f8:a1,UNKNOWN,-95 00:24:14:31:e6:23,UNKNOWN,-78 00:24:14:31:f9:43,UNKNOWN,-86 00:24:14:31:f6:e3,UNKNOWN,-87 00:24:14:31:eb:b3,UNKNOWN,-91 00:24:14:31:f8:a3,UNKNOWN,-96 00:24:14:31:e6:20,UNKNOWN,-74 00:24:14:31:e6:29,UNKNOWN,-75 00:24:14:31:f6:e9,UNKNOWN,-76 00:24:14:31:f6:e0,UNKNOWN,-76 00:24:14:31:f9:49,UNKNOWN,-77 00:24:14:31:f9:40,UNKNOWN,-77 00:24:14:31:e6:24,UNKNOWN,-79 00:24:14:31:e6:22,UNKNOWN,-79 00:24:14:31:f9:42,UNKNOWN,-85 00:24:14:31:f9:44,UNKNOWN,-86 00:24:14:31:f6:e2,UNKNOWN,-88 00:24:14:31:eb:b2,UNKNOWN,-92 00:24:14:31:f8:a9,UNKNOWN,-93 00:24:14:31:f8:a4,UNKNOWN,-94 00:24:14:31:f8:a0,UNKNOWN,-94 
1364534159633000000;latLngE7Network;378748969 -1222585005 55.0 -1.0 -1.0
1364534159694809291;orientation/AK8973 Compass;14.625 5.6875 5.046875 1
1364534159694809291;accel/kr3dh;0.8580819 -0.9670447 9.656827 3
1364534159694809291;compass/AK8973 Magnetic Field;-21.125 104.625 10.25 3
1364534159694809291;linaccel/Linear Acceleration Sensor;0.09705454 -0.04665482 -0.004254341 3
1364534159788650291;compass/AK8973 Magnetic Field;-20.875 104.875 10.0 3
1364534159788620291;accel/kr3dh;0.7218784 -0.8036005 9.684067 3
1364534159788620291;linaccel/Linear Acceleration Sensor;-0.056976974 0.123132646 0.020292282 3
1364534159788559291;orientation/AK8973 Compass;14.421875 4.734375 4.265625 1
1364534159882919291;orientation/AK8973 Compass;14.21875 4.953125 5.046875 1
1364534159882919291;accel/kr3dh;0.8580819 -0.84446156 9.697687 3
1364534159882919291;compass/AK8973 Magnetic Field;-20.625 105.125 10.25 3
1364534159882919291;linaccel/Linear Acceleration Sensor;0.0615049 0.08311474 0.032485962 3
1364534159976761291;compass/AK8973 Magnetic Field;-20.625 105.125 10.0 3
1364534159976730291;accel/kr3dh;0.8036005 -0.939804 9.847511 3
1364534159976730291;linaccel/Linear Acceleration Sensor;-0.0029451847 -0.026151955 0.17596436 3
1364534159976669291;orientation/AK8973 Compass;14.03125 5.4375 4.65625 1
1364534160074112291;compass/AK8973 Magnetic Field;-20.625 104.875 10.75 3
1364534160074081291;orientation/AK8973 Compass;13.859375 5.46875 4.34375 1
1364534160074081291;accel/kr3dh;0.7354988 -0.92618364 9.643207 3
1364534160074081291;linaccel/Linear Acceleration Sensor;-0.073170066 -0.034654915 -0.04666996 3
1364534160168991291;compass/AK8973 Magnetic Field;-20.625 104.875 11.0 3
1364534160168960291;accel/kr3dh;0.7354988 -0.92618364 9.697687 3
1364534160168960291;linaccel/Linear Acceleration Sensor;-0.06853002 -0.044385493 -0.016530037 3
1364534160168930291;orientation/AK8973 Compass;13.703125 5.4375 4.3125 1
1364534160263717291;compass/AK8973 Magnetic Field;-20.875 104.375 11.0 3
1364534160263687291;accel/kr3dh;0.7627395 -0.89894295 9.670447 3
1364534160263687291;linaccel/Linear Acceleration Sensor;-0.02757603 -0.008620799 -0.057891846 3
1364534160263656291;orientation/AK8973 Compass;13.5625 5.296875 4.484375 1
1364534160359421291;compass/AK8973 Magnetic Field;-20.875 104.125 11.5 3
1364534160359390291;accel/kr3dh;0.7627395 -0.9125633 9.670447 3
1364534160359390291;linaccel/Linear Acceleration Sensor;-0.007968247 -0.006218672 -0.051794052 3
1364534160359329291;orientation/AK8973 Compass;13.4375 5.375 4.484375 1
1364534160398239747;wifi;00:24:14:31:f6:e1,UNKNOWN,-74 00:24:14:31:e6:21,UNKNOWN,-76 00:24:14:31:f9:41,UNKNOWN,-78 00:24:14:31:f8:a1,UNKNOWN,-93 00:24:14:31:eb:b1,UNKNOWN,-95 00:24:14:31:e6:23,UNKNOWN,-72 00:24:14:31:f6:e3,UNKNOWN,-87 00:24:14:31:f8:a3,UNKNOWN,-92 00:24:14:31:eb:b3,UNKNOWN,-96 00:24:14:31:e6:22,UNKNOWN,-72 00:24:14:31:e6:24,UNKNOWN,-72 00:24:14:31:e6:20,UNKNOWN,-75 00:24:14:31:e6:29,UNKNOWN,-75 00:24:14:31:f6:e0,UNKNOWN,-75 00:24:14:31:f6:e9,UNKNOWN,-75 00:24:14:31:f9:49,UNKNOWN,-78 00:24:14:31:f9:40,UNKNOWN,-78 00:24:14:31:f6:e2,UNKNOWN,-84 00:24:14:31:f6:e4,UNKNOWN,-85 00:24:14:31:f9:42,UNKNOWN,-88 00:24:14:31:f9:44,UNKNOWN,-88 00:24:14:31:f8:a4,UNKNOWN,-91 00:24:14:31:f8:a2,UNKNOWN,-92 00:24:14:31:eb:b2,UNKNOWN,-93 00:24:14:31:eb:b4,UNKNOWN,-94 00:24:14:31:eb:b0,UNKNOWN,-95 00:24:14:31:eb:b9,UNKNOWN,-95 00:24:14:31:f8:a0,UNKNOWN,-95 00:24:14:31:f8:a9,UNKNOWN,-95 
1364534160462173291;accel/kr3dh;0.7491191 -0.89894295 9.656827 3
1364534160462173291;compass/AK8973 Magnetic Field;-21.125 103.8125 10.5 3
1364534160462173291;linaccel/Linear Acceleration Sensor;-0.0052743554 0.018024981 -0.04362011 3
1364534160462143291;orientation/AK8973 Compass;13.328125 5.296875 4.421875 1
1364534160555710291;orientation/AK8973 Compass;13.21875 5.375 4.515625 1
1364534160555710291;accel/kr3dh;0.7627395 -0.9125633 9.643207 3
1364534160555710291;linaccel/Linear Acceleration Sensor;0.0142349005 0.005210817 -0.036427498 3
1364534160648971291;orientation/AK8973 Compass;13.125 5.375 4.515625 1
1364534160649002291;compass/AK8973 Magnetic Field;-21.375 104.375 10.5 3
1364534160698000000;rawNmea;$GPGSV,3,1,12,01,05,035,,02,12,181,,04,35,153,,08,08,140,*73
1364534160701000000;rawNmea;$GPGSV,3,2,12,09,68,170,,12,09,286,,15,23,251,,17,66,037,*7D
1364534160703000000;rawNmea;$GPGSV,3,3,12,24,37,310,,26,17,208,,28,33,077,,27,,,*4D
1364534160706000000;rawNmea;$GPGGA,,,,,,0,,,,,,,,*66
1364534160708000000;rawNmea;$GPVTG,,T,,M,,N,,K,N*2C
1364534160723000000;rawNmea;$GPRMC,,V,,,,,,,,,,N*53
1364534160724000000;rawNmea;$GPGSA,A,1,,,,,,,,,,,,,,,*1E
1364534160741897291;accel/kr3dh;0.7627395 -0.89894295 9.656827 3
1364534160741897291;compass/AK8973 Magnetic Field;-21.125 104.125 10.25 3
1364534160741897291;linaccel/Linear Acceleration Sensor;0.0044857264 0.0040926337 0.011559486 3
1364534160741867291;orientation/AK8973 Compass;13.03125 5.296875 4.515625 1
1364534160834579291;compass/AK8973 Magnetic Field;-20.875 104.625 10.75 3
1364534160834549291;accel/kr3dh;0.7899802 -0.92618364 9.670447 3
1364534160834549291;linaccel/Linear Acceleration Sensor;0.027417064 -0.026402414 0.033825874 3
1364534160834518291;orientation/AK8973 Compass;12.9375 5.46875 4.65625 1
1364534160930099291;compass/AK8973 Magnetic Field;-20.625 104.875 10.5 3
1364534160930069291;accel/kr3dh;0.7627395 -0.89894295 9.697687 3
1364534160930069291;linaccel/Linear Acceleration Sensor;-0.0032551289 0.0032969713 0.057338715 3
1364534160930008291;orientation/AK8973 Compass;12.828125 5.265625 4.484375 1
1364534161025131291;compass/AK8973 Magnetic Field;-20.125 104.375 11.0 3
1364534161025101291;accel/kr3dh;0.7763598 -0.9125633 9.670447 3
1364534161025101291;linaccel/Linear Acceleration Sensor;0.00648427 -0.006303072 0.019260406 3
1364534161025039291;orientation/AK8973 Compass;12.71875 5.375 4.5625 1
1364534161121017291;compass/AK8973 Magnetic Field;-20.375 104.625 11.0 3
1364534161120987291;accel/kr3dh;0.7627395 -0.89894295 9.643207 3
1364534161120987291;linaccel/Linear Acceleration Sensor;-0.010199547 0.010200262 -0.021413803 3
1364534161120926291;orientation/AK8973 Compass;12.625 5.328125 4.515625 1
1364534161174271241;wifi;00:24:14:31:e6:21,UNKNOWN,-74 00:24:14:31:f6:e1,UNKNOWN,-75 00:24:14:31:f9:41,UNKNOWN,-80 00:24:14:31:f8:a1,UNKNOWN,-90 00:24:14:31:eb:b1,UNKNOWN,-93 00:24:14:31:e6:23,UNKNOWN,-73 00:24:14:31:f6:e3,UNKNOWN,-83 00:24:14:31:f9:43,UNKNOWN,-85 00:24:14:31:f8:a3,UNKNOWN,-94 00:24:14:31:eb:b3,UNKNOWN,-95 00:24:14:31:f6:e9,UNKNOWN,-72 00:24:14:31:e6:22,UNKNOWN,-74 00:24:14:31:e6:29,UNKNOWN,-74 00:24:14:31:e6:24,UNKNOWN,-74 00:24:14:31:e6:20,UNKNOWN,-75 00:24:14:31:f6:e0,UNKNOWN,-75 00:24:14:31:f9:49,UNKNOWN,-80 00:24:14:31:f9:40,UNKNOWN,-80 00:24:14:31:f9:44,UNKNOWN,-85 00:24:14:31:f9:42,UNKNOWN,-86 00:24:14:31:f6:e2,UNKNOWN,-86 00:24:14:31:f8:a9,UNKNOWN,-90 00:24:14:31:eb:b9,UNKNOWN,-93 00:24:14:31:f8:a2,UNKNOWN,-94 00:24:14:31:f8:a4,UNKNOWN,-94 00:24:14:31:f8:a0,UNKNOWN,-92 
1364534161215378291;compass/AK8973 Magnetic Field;-20.625 104.625 11.25 3
1364534161215347291;accel/kr3dh;0.7627395 -0.88532263 9.643207 3
1364534161215347291;linaccel/Linear Acceleration Sensor;-0.010790467 0.02393663 -0.029780388 3
1364534161215317291;orientation/AK8973 Compass;12.546875 5.234375 4.515625 1
1364534161309585291;compass/AK8973 Magnetic Field;-21.125 104.375 11.5 3
1364534161309524291;accel/kr3dh;0.7627395 -0.9125633 9.670447 3
1364534161309524291;linaccel/Linear Acceleration Sensor;-0.008755505 -0.0061361194 -0.00137043 3
1364534161309494291;orientation/AK8973 Compass;12.484375 5.375 4.484375 1
1364534161403244291;compass/AK8973 Magnetic Field;-21.125 104.875 10.75 3
1364534161403213291;orientation/AK8973 Compass;12.421875 5.203125 4.515625 1
1364534161403213291;accel/kr3dh;0.7627395 -0.88532263 9.656827 3
1364534161403213291;linaccel/Linear Acceleration Sensor;-0.0052663684 0.016811907 -0.007546425 3
1364534161497055291;compass/AK8973 Magnetic Field;-21.125 104.625 11.0 3
1364534161496994291;accel/kr3dh;0.7627395 -0.92618364 9.629586 3
1364534161496994291;linaccel/Linear Acceleration Sensor;-0.0019186139 -0.027355433 -0.02763462 3
1364534161496963291;orientation/AK8973 Compass;12.375 5.46875 4.515625 1
1364534161595077291;compass/AK8973 Magnetic Field;-20.875 104.625 10.75 3
1364534161595047291;accel/kr3dh;0.7627395 -0.89894295 9.643207 3
1364534161595047291;linaccel/Linear Acceleration Sensor;2.3025274E-4 -4.1139126E-4 -0.009303093 3
1364534161594986291;orientation/AK8973 Compass;12.3125 5.328125 4.515625 1
1364534161689895291;compass/AK8973 Magnetic Field;-20.625 104.375 10.75 3
1364534161689865291;accel/kr3dh;0.7491191 -0.89894295 9.643207 3
1364534161689865291;linaccel/Linear Acceleration Sensor;-0.0124529 0.0021211505 -0.005259514 3
1364534161689834291;orientation/AK8973 Compass;12.25 5.328125 4.421875 1
1364534161703000000;rawNmea;$GPGSV,3,1,12,01,05,035,,02,12,181,,04,35,153,,08,08,140,*73
