1364532031435305664;metadata_log_format;3 # nanosecond timing
1364532031435763427;metadata_system_time;1364532031436
1364532031436099121;metadata_surveyName;/sdcard/LocationTracker/1364532031422.txt
1364532031436556884;metadata_notes;
1364532031437014648;metadata_deviceInfo;Board: bryce Brand: Verizon Device: bryce Hardware: qcom Manufacturer: LGE Model: VS910 4G Product: bryce
1364532000514000000;latLngE7LastKnown;378749492 -1222585087 55.0 -1.0 -1.0
1364532031476534210;accel/kr3dh;1.9340894 -0.6401563 9.289077 3
1364532031476534210;compass/AK8973 Magnetic Field;-48.4375 98.8125 19.875 3
1364532031476534210;linaccel/Linear Acceleration Sensor;0.0 0.0 0.0 3
1364532031476504210;orientation/AK8973 Compass;23.140625 3.859375 11.75 1
1364532031568880210;orientation/AK8973 Compass;23.375 3.71875 12.0 1
1364532031568880210;accel/kr3dh;2.0566726 -0.6401563 9.643207 3
1364532031568880210;compass/AK8973 Magnetic Field;-48.4375 98.8125 18.8125 3
1364532031568880210;linaccel/Linear Acceleration Sensor;0.12095177 5.9604645E-8 0.3494177 3
1364532031666293210;compass/AK8973 Magnetic Field;-46.375 98.8125 18.8125 3
1364532031666262210;accel/kr3dh;2.0566726 -0.6810174 9.602345 3
1364532031666262210;linaccel/Linear Acceleration Sensor;0.11057186 -0.04021591 0.2792139 3
1364532031666231210;orientation/AK8973 Compass;23.546875 3.96875 12.0625 1
1364532031764590210;compass/AK8973 Magnetic Field;-47.9375 99.0625 19.3125 3
1364532031764529210;accel/kr3dh;2.0430522 -0.6946377 9.479762 3
1364532031764529210;linaccel/Linear Acceleration Sensor;0.07095623 -0.049960732 0.08653927 3
1364532031764498210;orientation/AK8973 Compass;23.75 4.09375 12.125 1
1364532031860903210;compass/AK8973 Magnetic Field;-47.9375 99.0625 19.0625 3
1364532031860873210;accel/kr3dh;2.002191 -0.6810174 9.507003 3
1364532031860873210;linaccel/Linear Acceleration Sensor;-0.0045335293 -0.02676773 0.027312279 3
1364532031860842210;orientation/AK8973 Compass;23.9375 4.0 11.859375 1
1364532031955477210;compass/AK8973 Magnetic Field;-48.1875 99.0625 19.0625 3
1364532031955447210;accel/kr3dh;2.0158114 -0.6537767 9.507003 3
1364532031955447210;linaccel/Linear Acceleration Sensor;-0.017763138 0.0135756135 -0.032837868 3
1364532031955416210;orientation/AK8973 Compass;24.109375 3.828125 11.953125 1
1364532032050112210;compass/AK8973 Magnetic Field;-48.9375 99.3125 19.0625 3
1364532032050082210;accel/kr3dh;1.9885708 -0.667397 9.507003 3
1364532032050082210;linaccel/Linear Acceleration Sensor;-0.05332768 0.010004163 -0.04909897 3
1364532032050051210;orientation/AK8973 Compass;24.296875 3.921875 11.78125 1
1364532032144595210;orientation/AK8973 Compass;24.46875 3.84375 11.78125 1
1364532032144595210;accel/kr3dh;1.9885708 -0.6537767 9.520623 3
1364532032144595210;compass/AK8973 Magnetic Field;-48.9375 99.0625 18.8125 3
1364532032144595210;linaccel/Linear Acceleration Sensor;-0.044626117 0.025426567 -0.021912575 3
1364532032249148436;wifi;c0:c1:c0:23:05:83,UNKNOWN,-68 00:24:14:31:e6:21,UNKNOWN,-74 00:24:14:31:f8:a1,UNKNOWN,-83 00:24:14:31:f9:41,UNKNOWN,-86 00:24:14:31:f6:e1,UNKNOWN,-85 00:24:14:31:f9:43,UNKNOWN,-77 00:24:14:31:e6:23,UNKNOWN,-79 00:24:14:31:f8:a3,UNKNOWN,-86 00:24:14:31:f6:e3,UNKNOWN,-88 00:24:14:31:eb:b3,UNKNOWN,-93 00:24:14:31:e6:20,UNKNOWN,-73 00:24:14:31:e6:29,UNKNOWN,-73 00:24:14:31:f9:44,UNKNOWN,-77 00:24:14:31:f9:42,UNKNOWN,-78 00:24:14:31:e6:24,UNKNOWN,-79 00:24:14:31:e6:22,UNKNOWN,-79 00:24:14:31:f8:a9,UNKNOWN,-82 00:24:14:31:f8:a0,UNKNOWN,-83 00:24:14:31:f6:e0,UNKNOWN,-84 00:24:14:31:f6:e9,UNKNOWN,-85 00:24:14:31:f8:a2,UNKNOWN,-86 00:24:14:31:f8:a4,UNKNOWN,-86 00:24:14:31:f9:40,UNKNOWN,-87 00:24:14:31:f9:49,UNKNOWN,-87 00:24:14:31:f6:e2,UNKNOWN,-88 00:24:14:31:f6:e4,UNKNOWN,-88 00:24:14:31:eb:b0,UNKNOWN,-95 00:24:14:31:eb:b9,UNKNOWN,-96 00:24:14:31:eb:b4,UNKNOWN,-96 
1364532032240969210;compass/AK8973 Magnetic Field;-48.9375 99.5625 18.8125 3
1364532032240938210;accel/kr3dh;1.7297841 -0.54481393 9.929234 3
1364532032240938210;linaccel/Linear Acceleration Sensor;-0.28219807 0.12699819 0.4008236 3
1364532032240908210;orientation/AK8973 Compass;24.625 3.109375 9.859375 1
1364532032243000000;latLngE7Network;378749275 -1222585624 55.0 -1.0 -1.0
1364532032334658210;accel/kr3dh;1.8932283 -0.7218784 9.193735 3
1364532032334658210;compass/AK8973 Magnetic Field;-48.6875 99.5625 19.3125 3
1364532032334658210;linaccel/Linear Acceleration Sensor;-0.084119916 -0.06459373 -0.34555626 3
1364532032334627210;orientation/AK8973 Compass;24.765625 4.390625 11.609375 1
1364532032429690210;compass/AK8973 Magnetic Field;-48.4375 99.3125 19.625 3
1364532032429629210;accel/kr3dh;2.002191 -0.6537767 9.316318 3
1364532032429629210;linaccel/Linear Acceleration Sensor;0.07246184 -0.012207091 -0.24585152 3
1364532032429598210;orientation/AK8973 Compass;24.90625 3.921875 12.09375 1
1364532032525362210;compass/AK8973 Magnetic Field;-48.1875 99.5625 19.625 3
1364532032525332210;accel/kr3dh;1.96133 -0.6810174 9.275456 3
1364532032525332210;linaccel/Linear Acceleration Sensor;0.06950128 -0.04480219 -0.27010822 3
1364532032525271210;orientation/AK8973 Compass;25.015625 4.109375 11.921875 1
1364532032620180210;compass/AK8973 Magnetic Field;-48.4375 99.5625 19.875 3
1364532032620150210;accel/kr3dh;1.9885708 -0.667397 9.425281 3
1364532032620150210;linaccel/Linear Acceleration Sensor;0.100382924 -0.022654057 -0.046105385 3
1364532032620119210;orientation/AK8973 Compass;25.125 3.96875 11.890625 1
1364532032698000000;rawNmea;$GPGSV,4,1,13,01,14,045,,02,,,,04,20,161,,08,22,132,*41
1364532032702000000;rawNmea;$GPGSV,4,2,13,09,86,230,,11,,,,12,,,,15,30,268,*73
