1354226625499002686;metadata_log_format;3 # nanosecond timing
1354226625499460450;metadata_system_time;1354226625499
1354226625499796143;metadata_surveyName;/sdcard/LocationTracker/1354226625489.txt
1354226625500223389;metadata_notes;
1354226625500589600;metadata_deviceInfo;Board: bryce Brand: Verizon Device: bryce Hardware: qcom Manufacturer: LGE Model: VS910 4G Product: bryce
1354226613320000000;latLngE7LastKnown;378754189 -1222586923 50.0 -1.0 -1.0
1354226625557107280;compass/AK8973 Magnetic Field;25.125 28.5 -28.5 3
1354226625557077280;orientation/AK8973 Compass;325.46875 0.5625 0.25 1
1354226625557077280;accel/kr3dh;0.040861044 -0.095342435 9.670447 3
1354226625557077280;linaccel/Linear Acceleration Sensor;0.0 0.0 0.0 3
1354226625652902280;orientation/AK8973 Compass;321.29688 0.171875 0.5625 1
1354226625652902280;accel/kr3dh;0.095342435 -0.027240695 9.820271 3
1354226625652902280;compass/AK8973 Magnetic Field;26.125 28.5 -28.5 3
1354226625652902280;linaccel/Linear Acceleration Sensor;0.053664673 0.06708084 0.14757729 3
1354226625748208280;accel/kr3dh;0.040861044 -0.0 9.779409 3
1354226625748208280;compass/AK8973 Magnetic Field;25.125 27.5 -28.5 3
1354226625748208280;linaccel/Linear Acceleration Sensor;-0.0045290925 0.08827656 0.09490204 3
1354226625748178280;orientation/AK8973 Compass;321.0625 0.0 0.25 1
1354226625844217280;compass/AK8973 Magnetic Field;25.125 28.25 -28.25 3
1354226625844186280;accel/kr3dh;0.05448139 -0.027240695 9.615966 3
1354226625844186280;linaccel/Linear Acceleration Sensor;0.0022721216 0.045188457 -0.093398094 3
1354226625844156280;orientation/AK8973 Compass;320.875 0.171875 0.34375 1
1354226625939432280;accel/kr3dh;0.06810174 -0.13620348 9.711308 3
1354226625939432280;compass/AK8973 Magnetic Field;24.8125 28.25 -28.25 3
1354226625939432280;linaccel/Linear Acceleration Sensor;0.009818677 -0.0852534 -0.021144867 3
1354226625939371280;orientation/AK8973 Compass;320.70313 0.8125 0.390625 1
1354226626033273280;accel/kr3dh;0.040861044 0.013620348 9.697687 3
1354226626033273280;compass/AK8973 Magnetic Field;24.8125 28.25 -27.75 3
1354226626033273280;linaccel/Linear Acceleration Sensor;-0.019785453 0.050596133 -0.03805256 3
1354226626033243280;orientation/AK8973 Compass;320.57813 -0.078125 0.25 1
1354226626128793280;compass/AK8973 Magnetic Field;24.5625 28.25 -27.5 3
1354226626128732280;accel/kr3dh;0.040861044 -0.0 9.643207 3
1354226626128732280;linaccel/Linear Acceleration Sensor;-0.018560588 0.036010135 -0.07629776 3
1354226626128702280;orientation/AK8973 Compass;320.46875 0.0 0.25 1
1354226626224588280;compass/AK8973 Magnetic Field;25.125 28.0 -27.25 3
1354226626224557280;accel/kr3dh;0.040861044 -0.08172209 9.670447 3
1354226626224557280;linaccel/Linear Acceleration Sensor;-0.014542185 -0.043111786 -0.02693367 3
1354226626224527280;orientation/AK8973 Compass;320.29688 0.484375 0.25 1
1354226626319040280;orientation/AK8973 Compass;320.07813 0.484375 0.484375 1
1354226626319040280;accel/kr3dh;0.08172209 -0.08172209 9.697687 3
1354226626319040280;compass/AK8973 Magnetic Field;25.375 27.5 -27.0 3
1354226626319040280;linaccel/Linear Acceleration Sensor;0.031412207 -0.04364869 0.01845169 3
1354226626421701662;wifi;00:22:90:39:07:12,UNKNOWN,-66 00:17:df:a7:33:12,UNKNOWN,-74 00:17:df:a7:4c:f2,UNKNOWN,-77 00:23:04:89:cd:b2,UNKNOWN,-80 b8:c7:5d:08:bd:fd,UNKNOWN,-88 00:22:90:39:07:15,UNKNOWN,-65 00:17:df:a7:33:15,UNKNOWN,-68 00:17:df:a7:4c:f5,UNKNOWN,-76 00:23:04:89:cd:b5,UNKNOWN,-81 00:22:90:39:07:16,UNKNOWN,-65 00:22:90:39:07:10,UNKNOWN,-65 00:22:90:39:07:11,UNKNOWN,-66 00:17:df:a7:33:10,UNKNOWN,-68 00:17:df:a7:33:16,UNKNOWN,-68 00:17:df:a7:33:11,UNKNOWN,-74 00:17:df:a7:4c:f1,UNKNOWN,-76 00:17:df:a7:4c:f6,UNKNOWN,-76 00:17:df:a7:4c:f0,UNKNOWN,-78 00:23:04:89:cd:b1,UNKNOWN,-82 00:23:04:89:cd:b0,UNKNOWN,-87 
1354226626416879280;compass/AK8973 Magnetic Field;24.3125 27.25 -27.5 3
1354226626416849280;accel/kr3dh;0.08172209 -0.12258313 9.670447 3
1354226626416849280;linaccel/Linear Acceleration Sensor;0.033470556 -0.08117959 0.0012254715 3
1354226626416818280;orientation/AK8973 Compass;319.92188 0.734375 0.46875 1
1354226626405000000;latLngE7Network;378754482 -1222587355 50.0 -1.0 -1.0
1354226626508920280;orientation/AK8973 Compass;319.82813 0.0 0.484375 1
1354226626508920280;accel/kr3dh;0.08172209 -0.0 9.629586 3
1354226626508920280;compass/AK8973 Magnetic Field;24.0625 27.5 -27.5 3
1354226626508920280;linaccel/Linear Acceleration Sensor;0.028975412 0.05361551 -0.037963867 3
1354226626602518280;orientation/AK8973 Compass;319.79688 0.078125 0.25 1
1354226626602518280;accel/kr3dh;0.040861044 -0.013620348 9.588725 3
1354226626602518280;compass/AK8973 Magnetic Field;23.3125 27.25 -27.75 3
1354226626602518280;linaccel/Linear Acceleration Sensor;-0.021650877 0.053877927 -0.07869434 3
