1354227311085772704;metadata_log_format;3 # nanosecond timing
1354227311087329101;metadata_system_time;1354227311087
1354227311088885497;metadata_surveyName;/sdcard/LocationTracker/1354227311074.txt
1354227311090838622;metadata_notes;
1354227311092333983;metadata_deviceInfo;Board: bryce Brand: Verizon Device: bryce Hardware: qcom Manufacturer: LGE Model: VS910 4G Product: bryce
1354227296023000000;latLngE7LastKnown;378753994 -1222587424 50.0 -1.0 -1.0
1354227311141802824;compass/AK8973 Magnetic Field;2.875 39.625 -47.75 3
1354227311141771824;accel/kr3dh;0.0 0.027240695 9.684067 3
1354227311141771824;linaccel/Linear Acceleration Sensor;0.0 0.0 0.0 3
1354227311141710824;orientation/AK8973 Compass;355.34375 -0.171875 -0.0 1
1354227311236589824;compass/AK8973 Magnetic Field;1.8125 42.625 -47.75 3
1354227311236559824;orientation/AK8973 Compass;355.51563 -0.25 -0.5625 1
1354227311236559824;accel/kr3dh;-0.095342435 0.040861044 9.765789 3
1354227311236559824;linaccel/Linear Acceleration Sensor;-0.09396236 0.013423197 0.080537796 3
1354227311328722824;compass/AK8973 Magnetic Field;1.8125 41.625 -48.75 3
1354227311328691824;orientation/AK8973 Compass;355.64063 0.171875 -0.0 1
1354227311328691824;accel/kr3dh;0.0 -0.027240695 9.643207 3
1354227311328691824;linaccel/Linear Acceleration Sensor;0.0074195853 -0.054821774 -0.04668045 3
1354227311424150824;compass/AK8973 Magnetic Field;2.0625 41.125 -48.0 3
1354227311424089824;accel/kr3dh;-0.040861044 0.06810174 9.765789 3
1354227311424089824;linaccel/Linear Acceleration Sensor;-0.02156689 0.041905824 0.067733765 3
1354227311424059824;orientation/AK8973 Compass;355.75 -0.390625 -0.25 1
1354227311518663824;accel/kr3dh;0.0 -0.0 9.684067 3
1354227311518663824;compass/AK8973 Magnetic Field;1.8125 41.875 -48.25 3
1354227311518663824;linaccel/Linear Acceleration Sensor;0.030329546 -0.023281474 -0.021739006 3
1354227311518633824;orientation/AK8973 Compass;355.85938 0.0 -0.0 1
1354227311612963824;compass/AK8973 Magnetic Field;1.3125 41.375 -48.5 3
1354227311612932824;accel/kr3dh;-0.040861044 0.05448139 9.684067 3
1354227311612932824;linaccel/Linear Acceleration Sensor;-0.006666299 0.032826956 -0.026461601 3
1354227311612902824;orientation/AK8973 Compass;356.03125 -0.34375 -0.25 1
1354227311707323824;orientation/AK8973 Compass;356.20313 -0.25 -0.0 1
1354227311707323824;accel/kr3dh;0.0 0.040861044 9.80665 3
1354227311707323824;compass/AK8973 Magnetic Field;0.8125 41.125 -48.25 3
1354227311707323824;linaccel/Linear Acceleration Sensor;0.031071514 0.017335493 0.09460831 3
1354227311800035824;orientation/AK8973 Compass;356.42188 -0.3125 -0.3125 1
1354227311800035824;accel/kr3dh;-0.05448139 0.05448139 9.765789 3
1354227311800035824;compass/AK8973 Magnetic Field;0.5625 41.625 -48.5 3
1354227311800035824;linaccel/Linear Acceleration Sensor;-0.028776728 0.025740154 0.050839424 3
1354227311893877824;compass/AK8973 Magnetic Field;0.3125 41.375 -48.5 3
1354227311893816824;accel/kr3dh;-0.040861044 -0.027240695 9.738548 3
1354227311893816824;linaccel/Linear Acceleration Sensor;-0.018158987 -0.06237617 0.012644768 3
1354227311893785824;orientation/AK8973 Compass;356.64063 0.171875 -0.25 1
1354227312004351807;wifi;00:23:04:89:cd:b2,UNKNOWN,-68 00:17:df:a7:33:12,UNKNOWN,-72 00:22:90:39:07:12,UNKNOWN,-75 00:17:df:a8:60:62,UNKNOWN,-86 00:23:04:89:bb:f2,UNKNOWN,-96 00:23:04:89:cd:b5,UNKNOWN,-67 00:17:df:a7:33:15,UNKNOWN,-71 00:22:90:39:07:15,UNKNOWN,-76 00:17:df:a8:60:65,UNKNOWN,-86 00:23:04:89:bb:f5,UNKNOWN,-92 00:23:04:89:cd:b6,UNKNOWN,-65 00:23:04:89:cd:b1,UNKNOWN,-68 00:17:df:a7:33:10,UNKNOWN,-73 00:17:df:a7:33:16,UNKNOWN,-73 00:17:df:a7:33:11,UNKNOWN,-74 00:22:90:39:07:11,UNKNOWN,-75 00:22:90:39:07:16,UNKNOWN,-75 00:22:90:39:07:10,UNKNOWN,-76 00:17:df:a7:4c:f6,UNKNOWN,-83 00:17:df:a8:60:61,UNKNOWN,-85 00:17:df:a8:60:60,UNKNOWN,-86 00:17:df:a7:4c:f0,UNKNOWN,-86 00:23:04:89:bb:f6,UNKNOWN,-91 00:23:04:89:bb:f1,UNKNOWN,-92 00:23:04:89:bb:f0,UNKNOWN,-93 
1354227311996141824;compass/AK8973 Magnetic Field;0.5625 41.125 -48.5 3
1354227311996111824;accel/kr3dh;0.013620348 -0.0 9.643207 3
1354227311996111824;linaccel/Linear Acceleration Sensor;0.038170043 -0.036406074 -0.098937035 3
1354227311996080824;orientation/AK8973 Compass;356.79688 0.0 0.078125 1
1354227311999000000;latLngE7Network;378754045 -1222587730 45.0 -1.0 -1.0
1354227312088396824;accel/kr3dh;-0.027240695 0.040861044 9.711308 3
1354227312088396824;compass/AK8973 Magnetic Field;0.5625 41.125 -48.75 3
1354227312088396824;linaccel/Linear Acceleration Sensor;-1.5048496E-4 0.011902478 -0.03496647 3
1354227312088365824;orientation/AK8973 Compass;356.96875 -0.25 -0.171875 1
1354227312184526824;compass/AK8973 Magnetic Field;0.5625 41.125 -49.0 3
1354227312184496824;accel/kr3dh;-0.06810174 0.12258313 9.80665 3
1354227312184496824;linaccel/Linear Acceleration Sensor;-0.04131088 0.103940554 0.07261276 3
1354227312184465824;orientation/AK8973 Compass;357.14063 -0.734375 -0.390625 1
