1354226396653448976;metadata_log_format;3 # nanosecond timing
1354226396659644044;metadata_system_time;1354226396660
1354226396660651124;metadata_surveyName;/sdcard/LocationTracker/1354226396630.txt
1354226396662115967;metadata_notes;
1354226396663977541;metadata_deviceInfo;Board: bryce Brand: Verizon Device: bryce Hardware: qcom Manufacturer: LGE Model: VS910 4G Product: bryce
1354226129752000000;latLngE7LastKnown;378754193 -1222587128 45.0 -1.0 -1.0
1354226396738379307;orientation/AK8973 Compass;4.5625 0.171875 -9.328125 1
1354226396738379307;accel/kr3dh;-1.5935807 -0.027240695 9.711308 3
1354226396738379307;compass/AK8973 Magnetic Field;10.9375 32.5625 -55.8125 3
1354226396738379307;linaccel/Linear Acceleration Sensor;0.0 0.0 0.0 3
1354226396830694307;compass/AK8973 Magnetic Field;10.9375 32.5625 -54.8125 3
1354226396830664307;orientation/AK8973 Compass;0.65625 0.171875 -9.390625 1
1354226396830664307;accel/kr3dh;-1.6208214 -0.027240695 9.820271 3
1354226396830664307;linaccel/Linear Acceleration Sensor;-0.026879191 0.0 0.10751724 3
1354226396923193307;orientation/AK8973 Compass;0.515625 -0.171875 -9.609375 1
1354226396923193307;accel/kr3dh;-1.6344417 0.027240695 9.643207 3
1354226396923193307;compass/AK8973 Magnetic Field;10.9375 33.5625 -58.875 3
1354226396923193307;linaccel/Linear Acceleration Sensor;-0.03825295 0.053751774 -0.075431824 3
1354226397019781307;compass/AK8973 Magnetic Field;10.9375 32.8125 -56.3125 3
1354226397019751307;accel/kr3dh;-1.5799603 0.08172209 9.615966 3
1354226397019751307;linaccel/Linear Acceleration Sensor;0.022033095 0.102861755 -0.10954952 3
1354226397019720307;orientation/AK8973 Compass;0.296875 -0.484375 -9.328125 1
1354226397117773307;compass/AK8973 Magnetic Field;10.6875 32.25 -56.5625 3
1354226397117743307;accel/kr3dh;-1.607201 0.027240695 9.643207 3
1354226397117743307;linaccel/Linear Acceleration Sensor;0.0014531612 0.032892384 -0.07540417 3
1354226397117712307;orientation/AK8973 Compass;0.140625 -0.171875 -9.46875 1
1354226397214941307;compass/AK8973 Magnetic Field;10.6875 32.5625 -56.8125 3
1354226397214911307;accel/kr3dh;-1.525479 0.027240695 9.602345 3
1354226397214911307;linaccel/Linear Acceleration Sensor;0.08429623 0.009783132 -0.08931637 3
1354226397214880307;orientation/AK8973 Compass;359.95313 -0.171875 -9.015625 1
1354226397315100307;compass/AK8973 Magnetic Field;10.6875 31.75 -56.3125 3
1354226397315069307;accel/kr3dh;-1.5935807 -0.0 9.547864 3
1354226397315069307;linaccel/Linear Acceleration Sensor;0.007381916 -0.036895696 -0.10566616 3
1354226397315039307;orientation/AK8973 Compass;359.8125 0.0 -9.46875 1
1354226397409094307;compass/AK8973 Magnetic Field;10.6875 31.5 -56.5625 3
