1354062208197644045;metadata_log_format;3 # nanosecond timing
1354062208199414064;metadata_system_time;1354062208199
1354062208200787355;metadata_surveyName;/sdcard/LocationTracker/1354062208175.txt
1354062208202557375;metadata_notes;
1354062208204052736;metadata_deviceInfo;Board: bryce Brand: Verizon Device: bryce Hardware: qcom Manufacturer: LGE Model: VS910 4G Product: bryce
1354062191802000000;latLngE7LastKnown;378754551 -1222587040 50.0 -1.0 -1.0
1354062208272350105;orientation/AK8973 Compass;281.76563 0.078125 -0.3125 1
1354062208272350105;accel/kr3dh;-0.05448139 -0.013620348 9.874752 3
1354062208272350105;compass/AK8973 Magnetic Field;38.25 6.3125 -80.0625 3
1354062208272350105;linaccel/Linear Acceleration Sensor;0.0 0.0 0.0 3
1354062208364727105;orientation/AK8973 Compass;281.79688 0.171875 -0.5625 1
1354062208364727105;accel/kr3dh;-0.095342435 -0.027240695 9.888372 3
1354062208364727105;compass/AK8973 Magnetic Field;38.25 8.3125 -81.125 3
1354062208364727105;linaccel/Linear Acceleration Sensor;-0.040316723 -0.013438908 0.013437271 3
1354062208458294105;compass/AK8973 Magnetic Field;39.25 7.3125 -81.125 3
1354062208458264105;orientation/AK8973 Compass;281.70313 0.171875 -0.3125 1
1354062208458264105;accel/kr3dh;-0.05448139 -0.027240695 9.888372 3
1354062208458264105;linaccel/Linear Acceleration Sensor;0.0031490214 -0.012381783 0.0123806 3
1354062208554424105;compass/AK8973 Magnetic Field;38.75 7.3125 -81.125 3
1354062208554394105;accel/kr3dh;-0.05448139 -0.0 9.874752 3
1354062208554394105;linaccel/Linear Acceleration Sensor;0.008016054 0.01719962 -0.0037870407 3
1354062208554363105;orientation/AK8973 Compass;281.64063 0.0 -0.3125 1
1354062208650219105;compass/AK8973 Magnetic Field;38.75 7.5625 -81.375 3
1354062208650189105;accel/kr3dh;-0.040861044 -0.013620348 9.915613 3
1354062208650189105;linaccel/Linear Acceleration Sensor;0.025005136 0.0054764794 0.033625603 3
1354062208650097105;orientation/AK8973 Compass;281.59375 0.078125 -0.21875 1
