1354997235285195558;metadata_log_format;3 # nanosecond timing
1354997235286782472;metadata_system_time;1354997235287
1354997235288125245;metadata_surveyName;/sdcard/LocationTracker/1354997235266.txt
1354997235290322510;metadata_notes;
1354997235292000977;metadata_deviceInfo;Board: bryce Brand: Verizon Device: bryce Hardware: qcom Manufacturer: LGE Model: VS910 4G Product: bryce
1354997221885000000;latLngE7LastKnown;378754532 -1222586550 45.0 -1.0 -1.0
1354997235334908276;compass/AK8973 Magnetic Field;-45.25 -0.125 -75.6875 3
1354997235334847276;accel/kr3dh;-1.1849703 0.7218784 9.861132 3
1354997235334847276;linaccel/Linear Acceleration Sensor;0.0 0.0 0.0 3
1354997235334816276;orientation/AK8973 Compass;54.40625 -4.140625 -6.84375 2
1354997235446144276;orientation/AK8973 Compass;68.8125 -4.3125 -6.5625 2
1354997235446144276;accel/kr3dh;-1.1168685 0.7354988 9.697687 3
1354997235446144276;compass/AK8973 Magnetic Field;-44.25 0.875 -73.625 3
1354997235446144276;linaccel/Linear Acceleration Sensor;0.06645584 0.01329124 -0.1594944 3
1354997235570443276;compass/AK8973 Magnetic Field;-41.1875 -0.125 -73.625 3
1354997235570412276;accel/kr3dh;-1.1304889 0.7899802 9.80665 3
1354997235570412276;linaccel/Linear Acceleration Sensor;0.04234171 0.06371629 -0.027956009 3
1354997235570382276;orientation/AK8973 Compass;76.203125 -4.5625 -6.5625 2
1354997235670571276;compass/AK8973 Magnetic Field;-43.25 0.625 -74.625 3
1354997235670540276;accel/kr3dh;-1.0896279 0.6810174 9.820271 3
1354997235670540276;linaccel/Linear Acceleration Sensor;0.06648922 -0.052850783 0.015471458 3
1354997235670479276;orientation/AK8973 Compass;79.96875 -3.953125 -6.3125 2
1354997235766945276;compass/AK8973 Magnetic Field;-42.75 0.625 -74.375 3
1354997235766915276;accel/kr3dh;-1.1032481 0.7899802 9.861132 3
1354997235766915276;linaccel/Linear Acceleration Sensor;0.03212595 0.04786694 0.079372406 3
1354997235766854276;orientation/AK8973 Compass;80.15625 -4.5625 -6.359375 2
1354997235862557276;compass/AK8973 Magnetic Field;-42.0 0.375 -74.875 3
1354997235862496276;accel/kr3dh;-1.1441092 0.8036005 9.779409 3
1354997235862496276;linaccel/Linear Acceleration Sensor;-0.027277708 0.056011617 -7.2193146E-4 3
1354997235862465276;orientation/AK8973 Compass;80.328125 -4.671875 -6.640625 2
1354997235957711276;compass/AK8973 Magnetic Field;-42.75 0.375 -75.4375 3
1354997235957680276;accel/kr3dh;-1.1577295 0.7354988 9.779409 3
1354997235957680276;linaccel/Linear Acceleration Sensor;-0.050435424 -0.017769694 -0.015457153 3
1354997235957619276;orientation/AK8973 Compass;80.53125 -4.28125 -6.734375 2
