1354058632975106201;metadata_log_format;3 # nanosecond timing
1354058632976235352;metadata_system_time;1354058632977
1354058632977303468;metadata_surveyName;/sdcard/LocationTracker/1354058632960.txt
1354058632995247804;metadata_notes;
1354058632996285401;metadata_deviceInfo;Board: bryce Brand: Verizon Device: bryce Hardware: qcom Manufacturer: LGE Model: VS910 4G Product: bryce
1354058603769000000;latLngE7LastKnown;378754444 -1222586469 50.0 -1.0 -1.0
1354058633049995698;compass/AK8973 Magnetic Field;-18.375 36.5625 -1.1875 3
1354058633049965698;accel/kr3dh;-0.040861044 0.2860273 9.861132 3
1354058633049965698;linaccel/Linear Acceleration Sensor;0.0 0.0 0.0 3
1354058633049934698;orientation/AK8973 Compass;28.96875 -1.65625 -0.21875 1
1354058633145241698;compass/AK8973 Magnetic Field;-18.375 36.5625 -2.1875 3
1354058633145210698;orientation/AK8973 Compass;28.828125 -1.171875 -0.3125 1
1354058633145210698;accel/kr3dh;-0.05448139 0.20430522 9.997335 3
1354058633145210698;linaccel/Linear Acceleration Sensor;-0.013420116 -0.080520704 0.134202 3
1354058633242592698;compass/AK8973 Magnetic Field;-18.375 35.5625 -0.1875 3
1354058633242561698;orientation/AK8973 Compass;28.734375 -1.421875 -0.25 1
1354058633242561698;accel/kr3dh;-0.040861044 0.24516626 9.820271 3
1354058633242561698;linaccel/Linear Acceleration Sensor;0.0011617355 -0.033246174 -0.0518322 3
1354058633336494698;compass/AK8973 Magnetic Field;-18.875 36.3125 -0.9375 3
1354058633336464698;accel/kr3dh;0.0 0.23154591 9.847511 3
1354058633336464698;linaccel/Linear Acceleration Sensor;0.04308142 -0.033561513 -0.037979126 3
1354058633336433698;orientation/AK8973 Compass;28.65625 -1.34375 -0.0 1
1354058633432258698;compass/AK8973 Magnetic Field;-19.125 36.0625 -1.4375 3
1354058633432228698;accel/kr3dh;-0.040861044 0.3677494 9.765789 3
1354058633432228698;linaccel/Linear Acceleration Sensor;6.7370385E-4 0.1173349 -0.12457657 3
1354058633432197698;orientation/AK8973 Compass;28.609375 -2.15625 -0.25 1
1354058633529243698;compass/AK8973 Magnetic Field;-19.375 35.8125 -0.6875 3
1354058633529213698;accel/kr3dh;-0.08172209 0.313268 9.861132 3
1354058633529213698;linaccel/Linear Acceleration Sensor;-0.044848062 0.06508076 -0.014298439 3
1354058633529152698;orientation/AK8973 Compass;28.59375 -1.8125 -0.484375 1
1354058633624946698;compass/AK8973 Magnetic Field;-19.125 36.3125 -0.6875 3
1354058633624885698;accel/kr3dh;-0.040861044 0.20430522 9.80665 3
1354058633624885698;linaccel/Linear Acceleration Sensor;-0.006151397 -0.059427217 -0.041618347 3
1354058633624855698;orientation/AK8973 Compass;28.546875 -1.203125 -0.25 1
1354058633718635698;orientation/AK8973 Compass;28.4375 -1.65625 -0.484375 1
1354058633718635698;accel/kr3dh;-0.08172209 0.2860273 9.847511 3
1354058633718635698;compass/AK8973 Magnetic Field;-18.375 36.3125 -1.1875 3
1354058633718635698;linaccel/Linear Acceleration Sensor;-0.04228407 0.0028994381 0.022058487 3
1354058633811531698;orientation/AK8973 Compass;28.34375 -1.421875 0.25 1
1354058633811531698;accel/kr3dh;0.040861044 0.24516626 9.820271 3
1354058633811531698;compass/AK8973 Magnetic Field;-18.375 36.3125 -0.1875 3
1354058633811531698;linaccel/Linear Acceleration Sensor;0.08856749 -0.04449655 0.0045366287 3
1354058633928780520;wifi;00:17:df:a7:4c:f2,UNKNOWN,-73 00:22:90:39:07:12,UNKNOWN,-84 00:17:df:a7:4c:f5,UNKNOWN,-74 00:22:90:39:07:15,UNKNOWN,-82 00:17:df:a7:4c:f6,UNKNOWN,-72 00:17:df:a7:4c:f0,UNKNOWN,-73 00:17:df:a7:4c:f1,UNKNOWN,-73 00:22:90:39:07:10,UNKNOWN,-83 00:22:90:39:07:16,UNKNOWN,-83 00:22:90:39:07:11,UNKNOWN,-83 dc:7b:94:35:25:00,UNKNOWN,-95 
1354058633922462698;compass/AK8973 Magnetic Field;-18.375 36.3125 -0.4375 3
1354058633922432698;accel/kr3dh;0.0 0.24516626 9.888372 3
1354058633922432698;linaccel/Linear Acceleration Sensor;0.048672434 -0.03233619 0.0678339 3
1354058633922371698;orientation/AK8973 Compass;28.25 -1.421875 -0.0 1
1354058633896000000;latLngE7Network;378754501 -1222586434 50.0 -1.0 -1.0
1354058634016121698;compass/AK8973 Magnetic Field;-19.125 36.0625 -0.4375 3
1354058634016090698;orientation/AK8973 Compass;28.234375 -1.421875 -0.3125 1
1354058634016090698;accel/kr3dh;-0.05448139 0.24516626 9.80665 3
1354058634016090698;linaccel/Linear Acceleration Sensor;-0.017454814 -0.018272802 -0.023525238 3
1354058634111641698;compass/AK8973 Magnetic Field;-19.9375 36.0625 0.0625 3
1354058634111610698;accel/kr3dh;-0.095342435 0.27240697 9.915613 3
1354058634111610698;linaccel/Linear Acceleration Sensor;-0.07440539 0.020106971 0.074282646 3
1354058634111549698;orientation/AK8973 Compass;28.28125 -1.5625 -0.5625 1
1354058634207374698;compass/AK8973 Magnetic Field;-19.9375 36.0625 -0.1875 3
1354058634207344698;accel/kr3dh;-0.095342435 0.21792556 9.833891 3
1354058634207344698;linaccel/Linear Acceleration Sensor;-0.076911874 -0.028951034 -0.017170906 3
1354058634207313698;orientation/AK8973 Compass;28.328125 -1.265625 -0.5625 1
1354058634301979698;orientation/AK8973 Compass;28.359375 -1.421875 -0.0 1
1354058634301979698;accel/kr3dh;0.0 0.24516626 9.765789 3
1354058634301979698;compass/AK8973 Magnetic Field;-19.9375 36.3125 -0.1875 3
1354058634301979698;linaccel/Linear Acceleration Sensor;0.034192804 -6.00487E-4 -0.091386795 3
1354058634395424698;orientation/AK8973 Compass;28.359375 -1.765625 -0.171875 1
1354058634395424698;accel/kr3dh;-0.027240695 0.29964766 9.779409 3
1354058634395424698;compass/AK8973 Magnetic Field;-19.6875 36.3125 -0.1875 3
1354058634395424698;linaccel/Linear Acceleration Sensor;0.026900103 0.05382575 -0.07463074 3
1354058634489631698;compass/AK8973 Magnetic Field;-19.375 36.5625 -0.1875 3
1354058634489601698;accel/kr3dh;-0.027240695 0.35412905 9.874752 3
1354058634489601698;linaccel/Linear Acceleration Sensor;0.034282945 0.10496931 0.036663055 3
1354058634489540698;orientation/AK8973 Compass;28.328125 -2.046875 -0.171875 1
1354058634585853698;accel/kr3dh;-0.19068487 0.25878662 9.915613 3
1354058634585853698;compass/AK8973 Magnetic Field;-19.375 36.8125 -0.1875 3
1354058634585853698;linaccel/Linear Acceleration Sensor;-0.13558847 -0.0032807589 0.09557438 3
1354058634585823698;orientation/AK8973 Compass;28.296875 -1.484375 -1.09375 1
1354058634681587698;compass/AK8973 Magnetic Field;-19.9375 36.8125 0.0625 3
1354058634681526698;accel/kr3dh;-0.027240695 0.27240697 9.861132 3
1354058634681526698;linaccel/Linear Acceleration Sensor;0.024248136 -0.009221941 0.042181015 3
1354058634681495698;orientation/AK8973 Compass;28.3125 -1.59375 -0.171875 1
1354058634716774905;wifi;00:17:df:a7:4c:f2,UNKNOWN,-69 00:22:90:39:07:12,UNKNOWN,-80 00:17:df:a7:33:12,UNKNOWN,-95 00:22:90:39:07:15,UNKNOWN,-81 dc:7b:94:35:24:25,UNKNOWN,-90 00:17:df:a7:33:15,UNKNOWN,-92 00:17:df:a7:4c:f6,UNKNOWN,-77 00:22:90:39:07:16,UNKNOWN,-80 00:22:90:39:07:11,UNKNOWN,-81 00:22:90:39:07:10,UNKNOWN,-81 00:17:df:a7:33:16,UNKNOWN,-92 00:17:df:a7:33:10,UNKNOWN,-93 00:17:df:a7:33:11,UNKNOWN,-92 
1354058634771000000;rawNmea;$GPGSV,3,1,12,14,48,180,34,03,42,275,,06,50,251,,09,14,068,*7D
1354058634774000000;rawNmea;$GPGSV,3,2,12,15,07,039,,16,02,243,,18,54,045,,19,31,307,*75
1354058634776000000;rawNmea;$GPGSV,3,3,12,21,42,109,,22,69,306,,24,14,074,,27,,,*48
1354058634779274698;compass/AK8973 Magnetic Field;-19.9375 36.5625 0.0625 3
1354058634779243698;accel/kr3dh;-0.095342435 0.313268 9.929234 3
