1354061976935453370;metadata_log_format;3 # nanosecond timing
1354061976936246827;metadata_system_time;1354061976942
1354061976936643555;metadata_surveyName;/sdcard/LocationTracker/1354061976925.txt
1354061976937162354;metadata_notes;
1354061976937925293;metadata_deviceInfo;Board: bryce Brand: Verizon Device: bryce Hardware: qcom Manufacturer: LGE Model: VS910 4G Product: bryce
1354058929423000000;latLngE7LastKnown;378754460 -1222586705 50.0 -1.0 -1.0
1354061976985990122;accel/kr3dh;0.14982383 0.32688835 9.833891 3
1354061976985990122;compass/AK8973 Magnetic Field;9.9375 45.625 -27.5 3
1354061976985990122;linaccel/Linear Acceleration Sensor;0.0 0.0 0.0 3
1354061976985959122;orientation/AK8973 Compass;345.73438 -1.90625 0.859375 1
1354061977083310122;accel/kr3dh;0.19068487 0.3949901 9.861132 3
1354061977083310122;compass/AK8973 Magnetic Field;10.9375 46.6875 -26.5 3
1354061977083310122;linaccel/Linear Acceleration Sensor;0.040217265 0.06702882 0.026812553 3
1354061977083280122;orientation/AK8973 Compass;345.78125 -2.296875 1.125 1
1354061977179838122;compass/AK8973 Magnetic Field;9.9375 46.6875 -27.5 3
1354061977179807122;orientation/AK8973 Compass;345.90625 -2.21875 0.875 1
1354061977179807122;accel/kr3dh;0.14982383 0.38136974 9.874752 3
1354061977179807122;linaccel/Linear Acceleration Sensor;-0.0035312474 0.047760785 0.03788185 3
1354061977278531122;compass/AK8973 Magnetic Field;10.1875 46.375 -27.0 3
1354061977278501122;accel/kr3dh;0.16344418 0.3949901 9.874752 3
1354061977278501122;linaccel/Linear Acceleration Sensor;0.0047068 0.047672033 0.030777931 3
1354061977278470122;orientation/AK8973 Compass;346.0 -2.296875 0.953125 1
1354061977377836122;compass/AK8973 Magnetic Field;10.1875 46.6875 -26.75 3
1354061977377805122;accel/kr3dh;0.14982383 0.3677494 9.847511 3
1354061977377805122;linaccel/Linear Acceleration Sensor;-0.013411 0.0018432736 -0.007323265 3
1354061977377775122;orientation/AK8973 Compass;346.09375 -2.125 0.875 1
1354061977473996122;accel/kr3dh;0.16344418 0.38136974 9.847511 3
1354061977473996122;compass/AK8973 Magnetic Field;10.1875 46.375 -27.25 3
